metric,value,unit,notes
speed.m_s.p50,1.1345001,m/s,source=sensor_gps.vel_m_s
speed.m_s.p95,7.7775004249999995,m/s,source=sensor_gps.vel_m_s
speed.m_s.max,9.081,m/s,source=sensor_gps.vel_m_s
flap_frequency.mean_hz,1.2692254269876808,Hz,field=frequency_hz
flap_frequency.std_hz,1.5768514112271625,Hz,field=frequency_hz
flap_frequency.min_hz,-2.19221,Hz,field=frequency_hz
flap_frequency.p5_hz,-0.005418182769999998,Hz,field=frequency_hz
flap_frequency.p50_hz,0.00048652923,Hz,field=frequency_hz
flap_frequency.p95_hz,3.78065277,Hz,field=frequency_hz
flap_frequency.max_hz,4.655859,Hz,field=frequency_hz
corr.freq_vs_roll_deg,-0.05105482244471225,,pearson
corr.freq_vs_pitch_deg,-0.07889076658085525,,pearson
corr.freq_vs_abs(p),0.4835610953364141,,pearson
corr.freq_vs_abs(q),0.22621826002270157,,pearson
corr.freq_vs_abs(r),0.2413240163671206,,pearson
manual.roll.sat_ratio,0.02303455182774161,,threshold=0.95
corr.freq_vs_manual_roll,-0.0009877091790645375,,pearson
actuator_outputs.output[0].min,1000.0,,
actuator_outputs.output[0].max,2153.0,,
actuator_outputs.output[0].top_ratio,0.00025043826696719256,,>= max-1%range
actuator_outputs.output[0].bottom_ratio,0.04933633859253694,,<= min+1%range
corr.freq_vs_output[0],0.19015252457441867,,pearson
actuator_outputs.output[1].min,1000.0,,
actuator_outputs.output[1].max,2111.0,,
actuator_outputs.output[1].top_ratio,0.00025043826696719256,,>= max-1%range
actuator_outputs.output[1].bottom_ratio,0.11645379413974455,,<= min+1%range
corr.freq_vs_output[1],-0.3036633339167126,,pearson
actuator_outputs.output[2].min,1000.0,,
actuator_outputs.output[2].max,1982.0,,
actuator_outputs.output[2].top_ratio,0.001753067868770348,,>= max-1%range
actuator_outputs.output[2].bottom_ratio,0.581267217630854,,<= min+1%range
corr.freq_vs_output[2],0.9767624838776433,,pearson
actuator_outputs.output[3].min,0.0,,
actuator_outputs.output[3].max,1000.0,,
actuator_outputs.output[3].top_ratio,0.00025043826696719256,,>= max-1%range
actuator_outputs.output[3].bottom_ratio,0.9997495617330328,,<= min+1%range
corr.freq_vs_output[3],,,pearson
actuator_outputs.output[4].min,800.0,,
actuator_outputs.output[4].max,1800.0,,
actuator_outputs.output[4].top_ratio,0.0015026296018031556,,>= max-1%range
actuator_outputs.output[4].bottom_ratio,0.026796894565489608,,<= min+1%range
corr.freq_vs_output[4],-0.35552208455635986,,pearson
actuator_outputs.output[5].min,0.0,,
actuator_outputs.output[5].max,1000.0,,
actuator_outputs.output[5].top_ratio,0.00025043826696719256,,>= max-1%range
actuator_outputs.output[5].bottom_ratio,0.9997495617330328,,<= min+1%range
corr.freq_vs_output[5],,,pearson
actuator_outputs.output[6].min,0.0,,
actuator_outputs.output[6].max,1000.0,,
actuator_outputs.output[6].top_ratio,0.00025043826696719256,,>= max-1%range
actuator_outputs.output[6].bottom_ratio,0.9997495617330328,,<= min+1%range
corr.freq_vs_output[6],,,pearson
actuator_outputs.output[7].min,0.0,,
actuator_outputs.output[7].max,1000.0,,
actuator_outputs.output[7].top_ratio,0.00025043826696719256,,>= max-1%range
actuator_outputs.output[7].bottom_ratio,0.9997495617330328,,<= min+1%range
corr.freq_vs_output[7],,,pearson
attitude_error.roll_rms_deg,65.67213766327308,deg,
attitude_error.pitch_rms_deg,17.099841302284073,deg,
rates_error.p_rms,0.938742956633677,rad/s,
rates_error.q_rms,0.7131947100163929,rad/s,
rates_error.r_rms,0.5065946303390286,rad/s,
