timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning
64538312,64537713,0,nan,nan,-0.11353734,0.77138096,1.3191231,0.0,0.0,0.0,-0.0028116906,-0.0027223462,-0.016458398,0.010829149,0.18634441,-0.5509003,7.9364494e-05,-0.037410572,0.015214319,-0.019003399,0.6426066,0.003085822,-1.8868052,0.0,0.00021577664,nan,0.00999999,1e-04,0.0,0.013210787,0.27496338,0.03969521,0.05703967,inf,inf,inf,inf,inf,1,1,1,1,2,1,2,1,0,0,0,0,0,1,0,0
64548289,64547688,0,nan,nan,-0.11358348,0.771377,1.3192253,0.0,0.0,0.0,-0.0034876682,-0.002544381,-0.01610085,0.011161897,0.18634441,-0.5509003,7.9364494e-05,-0.06781014,0.01569277,0.028849257,0.6426049,0.0030868107,-1.8868062,0.0,0.00021581458,nan,0.00999999,1e-04,0.0,0.013501742,0.27520773,0.040165,0.05715546,inf,inf,inf,inf,inf,1,1,1,1,2,1,2,1,0,0,0,0,0,1,0,0
64638024,64637470,0,nan,nan,-0.11417332,0.77121663,1.3200054,0.0,0.0,0.0,-0.0067085843,-0.005028665,-0.015081254,0.011794731,0.18634441,-0.5509003,7.9364494e-05,-0.039641283,-0.027049143,0.0048863078,0.64259684,0.0030958415,-1.8868077,0.0,0.0002161723,nan,0.00999999,1e-04,0.0,0.016436681,0.27577257,0.04441556,0.058150608,inf,inf,inf,inf,inf,1,1,1,1,2,1,2,1,0,0,0,0,0,1,0,0
64737855,64737227,0,nan,nan,-0.1152098,0.7707619,1.3215381,0.0,0.0,0.0,-0.0121401865,-0.0072478633,-0.014259807,0.0127868345,0.18634441,-0.5509003,7.9364494e-05,-0.09448822,-0.056635868,0.017627433,0.64259803,0.0030951118,-1.8867841,0.0,0.00021528662,nan,0.00999999,1e-04,0.0,0.012902633,0.27439582,0.03915221,0.056893595,inf,inf,inf,inf,inf,1,1,1,1,2,1,2,1,0,0,0,0,0,1,0,0
64837529,64836984,0,nan,nan,-0.11674388,0.7699039,1.3224199,0.0,0.0,0.0,-0.016720071,-0.010803198,-0.015131508,0.011381971,0.18634441,-0.5509003,7.9364494e-05,-0.061070893,-0.03949664,-0.053466152,0.6425814,0.0031051282,-1.8867785,0.0,0.00021568252,nan,0.00999999,1e-04,0.0,0.016060844,0.27604693,0.043894563,0.05804009,inf,inf,inf,inf,inf,1,1,1,1,2,1,2,1,0,0,0,0,0,1,0,0
64937341,64936741,0,nan,nan,-0.118592195,0.7688109,1.3233876,0.0,0.0,0.0,-0.021388408,-0.015099684,-0.0138930045,0.012230003,0.18634441,-0.5509003,7.9364494e-05,-0.057598874,-0.09445714,-0.05762279,0.642574,0.0031044802,-1.8867778,0.0,0.00021482602,nan,0.00999999,1e-04,0.0,0.012649856,0.27470404,0.038757212,0.056811016,inf,inf,inf,inf,inf,1,1,1,1,2,1,2,1,0,0,0,0,0,1,0,0
65037103,65036498,0,nan,nan,-0.120800175,0.76746225,1.3242896,0.0,0.0,0.0,-0.023461027,-0.015424715,-0.013722042,0.011934865,0.18634441,-0.5509003,7.9364494e-05,0.025493149,-0.04484452,-0.00085400516,0.6425243,0.0031143664,-1.8868275,0.0,0.0002152083,nan,0.00999999,1e-04,0.0,0.01571175,0.27546716,0.043420166,0.057897195,inf,inf,inf,inf,inf,1,1,1,1,2,1,2,1,0,0,0,0,0,1,0,0
65136851,65136255,0,nan,nan,-0.12253059,0.76639915,1.3252977,0.0,0.0,0.0,-0.023953287,-0.015668144,-0.013068176,0.012250681,0.18634441,-0.5509003,7.9364494e-05,-0.011015803,0.027960682,0.021729195,0.6425017,0.0031132672,-1.8868474,0.0,0.00021435478,nan,0.00999999,1e-04,0.0,0.012355275,0.2741389,0.038221866,0.05666457,inf,inf,inf,inf,inf,1,1,1,1,2,1,2,1,0,0,0,0,0,1,0,0
65236581,65236013,0,nan,nan,-0.124126725,0.7653635,1.326306,0.0,0.0,0.0,-0.022534499,-0.015273514,-0.01390392,0.011147944,0.18634441,-0.5509003,7.9364494e-05,-0.007115912,0.0009279441,-0.004179706,0.6424524,0.0031232722,-1.8868906,0.0,0.00021475091,nan,0.00999999,1e-04,0.0,0.015390304,0.27577403,0.042997148,0.05781473,inf,inf,inf,inf,inf,1,1,1,1,2,1,2,1,0,0,0,0,0,1,0,0
65336415,65335770,0,nan,nan,-0.12486373,0.76484555,1.3275332,0.0,0.0,0.0,-0.020188924,-0.013616636,-0.0140038,0.011042786,0.18634441,-0.5509003,7.9364494e-05,-0.0136913685,-0.013795381,-0.018747788,0.6424545,0.0031213018,-1.8868835,0.0,0.00021389374,nan,0.00999999,1e-04,0.0,0.012082444,0.2744185,0.03771128,0.056552205,inf,inf,inf,inf,inf,1,1,1,1,2,1,2,1,0,0,0,0,0,1,0,0
