timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,is_logging,num_messages
115823714,63.984375,135273.52,0,16,60543,65536,0,3,1,207
116826883,167.39941,166.79195,0,16,3473,65536,0,3,1,207
117827849,208.29785,103.90947,0,16,4793,65536,0,3,1,207
118828831,250.48535,83.3398,0,16,4551,65536,0,3,1,207
119829839,292.32227,72.960205,0,16,4785,65536,0,3,1,207
120830834,336.66504,67.23091,0,16,2401,65536,0,3,1,207
121831823,380.91602,63.395313,0,16,235,65536,0,3,1,207
122832851,423.06152,60.354504,0,16,64,65536,0,3,1,207
123833816,465.19727,58.072895,0,16,117,65536,0,3,1,207
124834821,503.62598,55.886536,0,16,3745,65536,0,3,1,207
125835839,549.2334,54.85423,0,18,137,65536,0,3,1,207
126837026,588.35547,53.419914,0,18,3117,65536,0,3,1,207
127838306,633.4209,52.718895,0,18,117,65536,0,3,1,207
128838838,673.6465,51.756863,0,19,2894,65536,0,3,1,207
129839816,716.2461,51.099937,0,19,3482,65536,0,3,1,207
130840986,762.2666,50.75773,0,19,170,65536,0,3,1,207
131841885,804.73145,50.23718,0,19,258,65536,0,3,1,207
132842868,844.2246,49.603,0,19,3495,65536,0,3,1,207
133843859,890.6367,49.423206,0,21,597,65536,0,3,1,207
