timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
10920035,10723777,0,31.185545184589856,117.19760209035604,0,0.811801,0.811801,-3448314.0,-13046347.0,-3448314.0,-13046347.0,4.6616783,4.649075,102030800000.0,1464439000000.0,102030800000.0,1464439000000.0,1,1,0
11146626,10949742,0,31.18554518580599,117.19760168829801,0,0.7885441,0.7885441,-3448313.2,-13046343.0,-22.775558,-22.617998,5.187261,5.115739,91692810000.0,1330850300000.0,4.0,4.0,1,1,0
11412597,11224766,0,31.18554538484344,117.19760078827429,0,0.7259041,0.7259041,-3448312.5,-13046338.0,-24.12659,-23.835903,5.820924,5.681503,81711145000.0,1198323400000.0,-4.0,-4.0,1,1,0
11915011,11725885,0,31.185545683977317,117.19759959312888,0,0.6496361,0.6496361,-3448310.8,-13046328.0,-27.102308,-26.493769,7.3453517,7.0191984,64753040000.0,969949300000.0,-4.0,-4.0,1,1,0
12417512,12224761,0,31.185545902463776,117.19759749709002,0,0.59444106,0.59444106,-3448309.0,-13046319.0,-30.411575,-29.406387,9.248638,8.647356,51427398000.0,787322440000.0,-4.0,-4.0,1,1,0
12919905,12726746,0,31.185545774514374,117.19759580611155,0,0.5490811,0.5490811,-3448307.2,-13046309.0,-33.977917,-32.492256,11.544988,10.557467,41198215000.0,644875100000.0,-4.0,-4.0,1,1,0
13422313,13226852,0,31.185546169641764,117.19759531467099,0,0.51122504,0.51122504,-3448305.8,-13046300.0,-37.555542,-35.692894,14.104187,12.739825,33722790000.0,534405900000.0,-4.0,-4.0,1,1,0
13914859,13724745,0,31.18554626687622,117.19759481757379,0,0.47886404,0.47886404,-3448304.2,-13046292.0,-41.380928,-38.924667,17.123814,15.151297,27776061000.0,449349600000.0,-4.0,-4.0,1,1,0
14417268,14227773,0,31.185546488728328,117.19759461289615,0,0.45158407,0.45158407,-3448302.8,-13046283.0,-45.423347,-42.307182,20.632805,17.898975,23052206000.0,380369240000.0,-4.0,-4.0,1,1,0
14919735,14727745,0,31.18554648603017,117.19759401447378,0,0.42771605,0.42771605,-3448301.0,-13046274.0,-49.58042,-45.75699,24.58218,20.93702,19348617000.0,325175740000.0,-4.0,-4.0,1,1,0
15422166,15224746,0,31.1855469237586,117.19759370419807,0,0.400689,0.400689,-3448299.2,-13046265.0,-53.816628,-49.260983,28.962294,24.266447,16422412000.0,280560270000.0,-4.0,-4.0,1,1,0
15816174,15624746,0,31.185546918743636,117.19759299725611,0,0.38068905,0.38068905,-3448297.5,-13046259.0,-56.97406,-52.030506,32.460434,27.071737,14652614000.0,251487170000.0,-4.0,-4.0,1,1,0
16417161,16224746,0,31.185547021715735,117.19759199967393,0,0.35402504,0.35402504,-3448295.2,-13046249.0,-62.02139,-56.328068,38.466526,31.728514,12364766000.0,214576220000.0,-4.0,-4.0,1,1,0
