timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
9556202,4259850,4325386,0,0,0,0,0,0,0,0,407.8172,401.0119,2039.0859,2005.0594,0.087114565,0.010953021,4.6683e-10,-2.6266174,-0.20344713,-9.80182,0.04413931,-0.018296208,0.0072658225,0.039770793,0.002207239,0.011934764,0.00037337156,0.0022448336,0.0003444686,9.0,nan
10498936,4259850,4325386,0,0,0,0,0,0,0,0,407.80695,401.01166,2039.0348,2005.0583,0.06043844,0.009979179,4.508414e-10,-2.3433006,-0.52862614,-9.7080345,0.00013936368,-0.09371445,0.050536655,0.00754484,0.0010156694,0.007949737,0.000100011704,0.00019286074,0.0004771367,9.5,nan
11541180,4259850,4325386,0,0,0,0,0,0,0,0,407.80002,401.01135,2039.0,2005.0568,0.32773116,0.021348083,4.184123e-09,-2.6508856,-0.5419472,-9.76893,-0.34337482,0.08999502,0.022029987,0.97816396,0.70323986,0.8795726,0.024231479,0.0015454403,0.00079657487,9.5,nan
12588542,4259850,4325386,0,0,0,0,0,0,0,0,407.7779,401.01108,2038.8895,2005.0553,0.7437125,0.030797692,2.748749e-09,-0.54334086,-0.13122003,-9.321378,-0.12164094,0.015610651,0.09828842,0.47140983,0.45815673,0.32562718,0.0013964375,0.00931996,0.0006257802,9.5,nan
13531168,4259850,4325386,0,0,0,0,0,0,0,0,407.7703,401.01083,2038.8514,2005.0542,1.2908216,0.048563436,1.5198232e-08,-0.33730933,-0.2888315,-10.146987,-0.19906126,0.40585652,-0.07339878,8.831394,2.185933,3.000769,0.015271714,0.018960997,0.0010097555,9.5,nan
14578532,4259850,4325386,0,0,0,0,0,0,0,0,407.7638,401.0106,2038.819,2005.053,1.5563965,0.07448943,1.7614058e-08,0.69721437,-0.07173274,-9.719719,-0.20497133,-0.14967377,0.29961514,0.6992909,1.2617909,1.372981,0.07928378,0.010633876,0.0018968354,9.5,nan
15521155,4259850,4325386,0,0,0,0,0,0,0,0,407.75897,401.0104,2038.7948,2005.0519,1.7935567,0.091414385,6.2889214e-08,-0.8765626,-0.16512753,-10.628043,0.23503478,-1.2164171,0.07664084,5.279804,4.7159476,6.2153134,0.016570264,0.039739545,0.0007159615,9.5,nan
16568530,4259850,4325386,0,0,0,0,0,0,0,0,407.76794,401.01016,2038.8396,2005.0508,1.4979234,0.08602122,1.2199377e-08,-0.9675622,-1.7619368,-10.583251,0.017939517,0.93897784,-0.17342606,0.16131365,0.040594853,0.057868432,0.009351716,0.002217572,0.0028794974,10.0,nan
17511183,4259850,4325386,0,0,0,0,0,0,0,0,407.7648,401.00998,2038.824,2005.0498,0.4038884,0.04580097,7.598451e-08,-3.2037969,-0.89352125,-8.124289,0.06399818,-2.2359703,0.070523284,0.32792345,0.37169713,0.30591416,0.10624198,0.016399583,0.00070068304,9.5,nan
18558509,4259850,4325386,0,0,0,0,0,0,0,0,407.7627,401.00974,2038.8136,2005.0486,0.57713723,0.043015234,2.7690241e-08,-9.554964,-1.8416014,0.8640925,0.16028328,-0.8569611,-0.15312271,0.58375216,0.8270484,0.73661333,0.0038718167,0.00045961846,0.0027805485,9.5,nan
