timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
19881007,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
20387717,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
20894694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
21400833,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
21906713,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
22412734,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
22918723,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
23424968,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
23930967,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
24436924,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
24942771,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
25448708,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
25954696,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
26460870,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
26966694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
27472697,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
27978716,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
28484695,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
28991056,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
29496707,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
30002876,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
30508708,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
31014695,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
31520851,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
31971704,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
32477711,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
32985694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
33491704,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
33998137,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
34503716,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
35009806,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
35515696,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
36021703,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
36527694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
37033720,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
37539698,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
38045710,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
38551721,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
39057694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
39564157,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
40069695,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
40575695,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
41082694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
41588989,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
42094868,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
42600833,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
43106694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
43612696,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
44118695,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
44624695,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
45130891,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
45636705,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
46142694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
46648711,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
47155048,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
47660976,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
48166696,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
48673694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
49180017,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
49685806,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
50082729,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
50093838,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
50104967,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
50610756,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
51116693,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
51358695,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
51864832,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
52370837,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
52876694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
53382696,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
53888694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
54394868,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
54900693,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
55406694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
55913183,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
56418713,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
56925281,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
57430693,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
57936695,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
58442695,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
58948759,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
59454962,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
59960698,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
60466695,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
60972715,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
61479058,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
61984985,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
62490753,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
62997714,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
63504058,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
64009782,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
64516694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
65022847,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
65528916,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
66034694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
66540695,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
67046790,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
67552698,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
68058695,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
68564723,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
69070694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
69576694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
70082694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
70588838,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
71094703,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
71600715,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
72107695,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
72613694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
73119694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
73625714,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
74131738,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
74637701,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
75143694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
75649711,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
76155697,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
76661910,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
77167713,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
77673713,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
78179694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
78685696,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
79191703,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
79697693,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
80203694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
80709695,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
81215694,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
81721847,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
82227861,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
82733696,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
