timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,termination_switch,gear_switch,transition_switch,photo_switch,video_switch,engage_main_motor_switch,payload_power_switch
82022566,81999339,2,1,1,0,0,0,0,0,0,0,0,0,0,0
82554473,82531344,3,4,1,0,0,0,0,0,0,0,0,0,0,0
83574072,83550935,3,4,1,0,0,0,0,0,0,0,0,0,0,0
84593682,84570557,3,4,1,0,0,0,0,0,0,0,0,0,0,0
85615752,85592638,3,4,1,0,0,0,0,0,0,0,0,0,0,0
86637854,86614705,3,4,1,0,0,0,0,0,0,0,0,0,0,0
87657602,87634320,3,4,1,0,0,0,0,0,0,0,0,0,0,0
88677122,88653954,3,4,1,0,0,0,0,0,0,0,0,0,0,0
89699163,89676090,3,4,1,0,0,0,0,0,0,0,0,0,0,0
90718768,90695651,3,4,1,0,0,0,0,0,0,0,0,0,0,0
91738393,91715260,3,4,1,0,0,0,0,0,0,0,0,0,0,0
92758034,92734898,3,4,1,0,0,0,0,0,0,0,0,0,0,0
93777736,93754501,3,4,1,0,0,0,0,0,0,0,0,0,0,0
94799710,94776575,3,4,1,0,0,0,0,0,0,0,0,0,0,0
95819372,95796203,3,4,1,0,0,0,0,0,0,0,0,0,0,0
96838941,96815836,3,4,1,0,0,0,0,0,0,0,0,0,0,0
97861098,97837916,3,4,1,0,0,0,0,0,0,0,0,0,0,0
98883127,98859996,3,4,1,0,0,0,0,0,0,0,0,0,0,0
99902767,99879613,3,4,1,0,0,0,0,0,0,0,0,0,0,0
100922372,100899225,3,4,1,0,0,0,0,0,0,0,0,0,0,0
101941991,101918843,3,4,1,0,0,0,0,0,0,0,0,0,0,0
102944363,102921224,3,4,1,0,0,0,0,0,0,0,0,0,0,0
103964108,103940857,3,4,1,0,0,0,0,0,0,0,0,0,0,0
104986074,104962945,3,4,1,0,0,0,0,0,0,0,0,0,0,0
106005743,105982561,3,4,1,0,0,0,0,0,0,0,0,0,0,0
107025314,107002199,3,4,1,0,0,0,0,0,0,0,0,0,0,0
108044945,108021810,3,4,1,0,0,0,0,0,0,0,0,0,0,0
109047314,109024187,3,4,1,0,0,0,0,0,0,0,0,0,0,0
110066937,110043816,3,4,1,0,0,0,0,0,0,0,0,0,0,0
111067000,111043745,3,4,1,0,0,0,0,0,0,0,0,0,0,0
112086579,112063364,3,4,1,0,0,0,0,0,0,0,0,0,0,0
113108648,113085453,3,4,1,0,0,0,0,0,0,0,0,0,0,0
114128235,114105073,3,4,1,0,0,0,0,0,0,0,0,0,0,0
115147863,115124705,3,4,1,0,0,0,0,0,0,0,0,0,0,0
116167560,116144341,3,4,1,0,0,0,0,0,0,0,0,0,0,0
117187136,117163978,3,4,1,0,0,0,0,0,0,0,0,0,0,0
118209176,118186067,3,4,1,0,0,0,0,0,0,0,0,0,0,0
119228816,119205738,3,4,1,0,0,0,0,0,0,0,0,0,0,0
120248441,120225330,3,4,1,0,0,0,0,0,0,0,0,0,0,0
121268154,121244951,3,4,1,0,0,0,0,0,0,0,0,0,0,0
122287737,122264581,3,4,1,0,0,0,0,0,0,0,0,0,0,0
123309866,123286714,3,4,1,0,0,0,0,0,0,0,0,0,0,0
124329476,124306430,3,4,1,0,0,0,0,0,0,0,0,0,0,0
