timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
94909893,94909309,0.3010522,-0.018624196,0.008725162,0.95338595,1.0,0.0,0.0,0.0,0
95412450,95411761,0.30237785,-0.019558305,0.0061605056,0.9529676,1.0,0.0,0.0,0.0,0
95909605,95909287,0.3013888,-0.018683571,0.008705343,0.9532786,1.0,0.0,0.0,0.0,0
96407392,96406812,0.30231714,-0.018541833,0.008876098,0.95298576,1.0,0.0,0.0,0.0,0
96910041,96909264,0.30315885,-0.018292774,0.009542143,0.9527167,1.0,0.0,0.0,0.0,0
97412276,97411717,0.30304867,-0.01842298,0.009562061,0.9527491,1.0,0.0,0.0,0.0,0
97910119,97909243,0.30336365,-0.019005967,0.0082762875,0.9526494,1.0,0.0,0.0,0.0,0
98411938,98411695,0.30325443,-0.019817568,0.006213637,0.95268327,1.0,0.0,0.0,0.0,0
98909989,98909222,0.3020268,-0.018016947,0.011136642,0.9530642,1.0,0.0,0.0,0.0,0
99406987,99406748,0.30245584,-0.018507296,0.009687617,0.9529345,1.0,0.0,0.0,0.0,0
99909668,99909201,0.30224404,-0.018202007,0.010703445,0.9529967,1.0,0.0,0.0,0.0,0
100411890,100411654,0.30185527,-0.01756347,0.012532115,0.9531096,1.0,0.0,0.0,0.0,0
100909861,100909180,0.30120766,-0.016279014,0.016450161,0.95327765,1.0,0.0,0.0,0.0,0
