timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
94572783,94572507,0.25562972,-0.037301227,0.005861988,0.96603715,1.0,0.0,0.0,0.0,0
94578168,94577495,0.25563568,-0.03732999,0.005838412,0.9660346,1.0,0.0,0.0,0.0,0
94622648,94622384,0.25568902,-0.037339773,0.0057110116,0.9660209,1.0,0.0,0.0,0.0,0
94672532,94672260,0.2556675,-0.037330654,0.005832692,0.9660262,1.0,0.0,0.0,0.0,0
94727919,94727124,0.25553745,-0.03712146,0.006476462,0.9660646,1.0,0.0,0.0,0.0,0
94777675,94777001,0.2552895,-0.03687999,0.0075673303,0.9661314,1.0,0.0,0.0,0.0,0
94822171,94821890,0.25509802,-0.036547143,0.008546754,0.96618646,1.0,0.0,0.0,0.0,0
94877502,94876754,0.2549244,-0.036330957,0.009348058,0.966233,1.0,0.0,0.0,0.0,0
94927363,94926630,0.25495166,-0.036302436,0.009375674,0.96622664,1.0,0.0,0.0,0.0,0
94977232,94976506,0.25502428,-0.036446944,0.008937039,0.96620625,1.0,0.0,0.0,0.0,0
95021661,95021395,0.25517568,-0.03660953,0.008255259,0.9661662,1.0,0.0,0.0,0.0,0
95077007,95076259,0.2554116,-0.036776047,0.0074513787,0.966104,1.0,0.0,0.0,0.0,0
95127005,95126136,0.25564918,-0.03700381,0.0068934513,0.9660367,1.0,0.0,0.0,0.0,0
95176696,95176013,0.25578594,-0.037039712,0.006664902,0.9660007,1.0,0.0,0.0,0.0,0
95226612,95225889,0.25593683,-0.03701517,0.0066888533,0.96596146,1.0,0.0,0.0,0.0,0
95276523,95275765,0.25599548,-0.036950488,0.006792932,0.9659477,1.0,0.0,0.0,0.0,0
95326389,95325642,0.25605989,-0.03692147,0.0069017448,0.96593094,1.0,0.0,0.0,0.0,0
95376192,95375518,0.25610384,-0.036958806,0.0068157045,0.9659184,1.0,0.0,0.0,0.0,0
95426161,95425395,0.2562007,-0.037049033,0.0065395874,0.96589124,1.0,0.0,0.0,0.0,0
95476027,95475271,0.25622594,-0.037131976,0.006162293,0.96588385,1.0,0.0,0.0,0.0,0
95525897,95525147,0.2562607,-0.03719951,0.0058806506,0.9658737,1.0,0.0,0.0,0.0,0
95575724,95575024,0.25623837,-0.037189893,0.0058408617,0.9658803,1.0,0.0,0.0,0.0,0
95625591,95624900,0.25617325,-0.03706803,0.0061924187,0.96590006,1.0,0.0,0.0,0.0,0
95675439,95674777,0.2559832,-0.03693497,0.0066251,0.9659527,1.0,0.0,0.0,0.0,0
95725393,95724653,0.25579894,-0.03669148,0.007259702,0.96600616,1.0,0.0,0.0,0.0,0
95775190,95774530,0.25559822,-0.036554042,0.00766591,0.9660615,1.0,0.0,0.0,0.0,0
95825067,95824407,0.25552016,-0.036409743,0.008147004,0.9660835,1.0,0.0,0.0,0.0,0
95875039,95874283,0.25539696,-0.036198027,0.008640772,0.96611977,1.0,0.0,0.0,0.0,0
95924898,95924159,0.25524098,-0.03596738,0.00937987,0.96616274,1.0,0.0,0.0,0.0,0
95974693,95974036,0.255048,-0.035677437,0.010043916,0.9662178,1.0,0.0,0.0,0.0,0
96024646,96023912,0.25495803,-0.035545103,0.010519586,0.9662413,1.0,0.0,0.0,0.0,0
96074556,96073789,0.25488266,-0.03541014,0.010930122,0.9662617,1.0,0.0,0.0,0.0,0
96124469,96123665,0.2548776,-0.035303265,0.0112186065,0.96626353,1.0,0.0,0.0,0.0,0
96174313,96173542,0.25494274,-0.03515694,0.011476168,0.96624863,1.0,0.0,0.0,0.0,0
96224108,96223418,0.25504482,-0.03513801,0.011588989,0.96622115,1.0,0.0,0.0,0.0,0
96278535,96278282,0.25514594,-0.035062686,0.011466703,0.9661986,1.0,0.0,0.0,0.0,0
96323952,96323171,0.25539288,-0.03514056,0.011167823,0.9661341,1.0,0.0,0.0,0.0,0
96373706,96373048,0.25571567,-0.035311002,0.010354744,0.9660515,1.0,0.0,0.0,0.0,0
96423571,96422924,0.25615922,-0.03571202,0.009180425,0.96593106,1.0,0.0,0.0,0.0,0
96478054,96477788,0.25662717,-0.036015924,0.007935839,0.96580666,1.0,0.0,0.0,0.0,0
96523458,96522677,0.25686625,-0.036218364,0.0073793414,0.96573997,1.0,0.0,0.0,0.0,0
96573279,96572554,0.25697622,-0.036244273,0.0072588148,0.96571064,1.0,0.0,0.0,0.0,0
96627700,96627418,0.25709218,-0.03614291,0.0077629075,0.9656796,1.0,0.0,0.0,0.0,0
96677559,96677294,0.25693643,-0.035892602,0.008616799,0.96572316,1.0,0.0,0.0,0.0,0
96722961,96722183,0.25687116,-0.035651144,0.009446275,0.96574163,1.0,0.0,0.0,0.0,0
96772742,96772060,0.25676093,-0.035435595,0.010177147,0.9657715,1.0,0.0,0.0,0.0,0
96827180,96826924,0.25673878,-0.035267197,0.010664732,0.9657783,1.0,0.0,0.0,0.0,0
96877050,96876800,0.25674877,-0.03529651,0.010578325,0.9657755,1.0,0.0,0.0,0.0,0
96922433,96921689,0.25687757,-0.03542719,0.010313636,0.96573937,1.0,0.0,0.0,0.0,0
96976809,96976553,0.25689197,-0.03557097,0.009788717,0.9657357,1.0,0.0,0.0,0.0,0
97026703,97026430,0.2569582,-0.035649825,0.009716693,0.96571594,1.0,0.0,0.0,0.0,0
97076561,97076306,0.25689012,-0.03564438,0.009806183,0.9657333,1.0,0.0,0.0,0.0,0
97121970,97121195,0.2568448,-0.03550523,0.010316135,0.96574515,1.0,0.0,0.0,0.0,0
97176320,97176060,0.2566427,-0.035423324,0.010824358,0.96579635,1.0,0.0,0.0,0.0,0
97226199,97225936,0.2566482,-0.035320085,0.011124553,0.9657952,1.0,0.0,0.0,0.0,0
97276085,97275812,0.25657326,-0.03533536,0.0110678505,0.96581525,1.0,0.0,0.0,0.0,0
97325947,97325690,0.2566804,-0.035379246,0.0107988445,0.96578825,1.0,0.0,0.0,0.0,0
97375826,97375565,0.25670314,-0.03552048,0.010327221,0.96578217,1.0,0.0,0.0,0.0,0
97425706,97425442,0.25673923,-0.03555601,0.010275422,0.96577185,1.0,0.0,0.0,0.0,0
97475572,97475318,0.25661868,-0.0353615,0.010752336,0.96580577,1.0,0.0,0.0,0.0,0
97525491,97525195,0.25649953,-0.035247475,0.011256375,0.96583587,1.0,0.0,0.0,0.0,0
97575327,97575071,0.25641376,-0.03507064,0.011700446,0.96585983,1.0,0.0,0.0,0.0,0
97625202,97624948,0.2564015,-0.03504916,0.011706434,0.96586376,1.0,0.0,0.0,0.0,0
97675089,97674824,0.25649276,-0.035200767,0.011304333,0.96583885,1.0,0.0,0.0,0.0,0
97725017,97724701,0.25663617,-0.03542546,0.010672321,0.96579975,1.0,0.0,0.0,0.0,0
97774837,97774578,0.2568038,-0.035679854,0.009817797,0.96575487,1.0,0.0,0.0,0.0,0
97824715,97824454,0.2569232,-0.035855442,0.009113067,0.96572345,1.0,0.0,0.0,0.0,0
97874582,97874331,0.2570312,-0.035984192,0.008763678,0.9656932,1.0,0.0,0.0,0.0,0
97924478,97924207,0.25708857,-0.035966236,0.008810243,0.96567816,1.0,0.0,0.0,0.0,0
97974359,97974084,0.25709176,-0.03588097,0.008944777,0.9656793,1.0,0.0,0.0,0.0,0
98024245,98023960,0.2571899,-0.03589498,0.008879509,0.96565324,1.0,0.0,0.0,0.0,0
98074092,98073837,0.25727186,-0.036023434,0.008309169,0.9656316,1.0,0.0,0.0,0.0,0
98123983,98123714,0.25745806,-0.0364514,0.006922486,0.9655769,1.0,0.0,0.0,0.0,0
98173881,98173590,0.25769037,-0.036908414,0.0052732755,0.965508,1.0,0.0,0.0,0.0,0
98223732,98223466,0.25779715,-0.037228584,0.0042422493,0.96547234,1.0,0.0,0.0,0.0,0
98273592,98273343,0.25778615,-0.037333626,0.003914398,0.9654726,1.0,0.0,0.0,0.0,0
98323485,98323219,0.25751877,-0.03708977,0.0046846736,0.9655498,1.0,0.0,0.0,0.0,0
98378752,98378084,0.2571585,-0.03676531,0.005773295,0.96565235,1.0,0.0,0.0,0.0,0
98423217,98422972,0.25687456,-0.036509134,0.0067780847,0.96573114,1.0,0.0,0.0,0.0,0
98473090,98472850,0.2565969,-0.03594139,0.008212588,0.96581507,1.0,0.0,0.0,0.0,0
98522969,98522725,0.2562349,-0.035611697,0.009494321,0.96591175,1.0,0.0,0.0,0.0,0
98578309,98577590,0.25594193,-0.035140444,0.011106242,0.9659895,1.0,0.0,0.0,0.0,0
98622725,98622478,0.25559205,-0.03478858,0.012409217,0.96607894,1.0,0.0,0.0,0.0,0
98672599,98672355,0.2553543,-0.03435469,0.013682415,0.9661401,1.0,0.0,0.0,0.0,0
98727877,98727219,0.24316975,-0.027705403,0.023588382,0.9693011,1.0,0.0,0.0,0.0,0
98777763,98777096,0.24325238,-0.027869707,0.023078585,0.9692879,1.0,0.0,0.0,0.0,0
98822231,98821985,0.24339637,-0.028069781,0.022308432,0.969264,1.0,0.0,0.0,0.0,0
98872111,98871861,0.24360628,-0.028364927,0.02141728,0.9692227,1.0,0.0,0.0,0.0,0
98927353,98926725,0.24380738,-0.028653035,0.020439636,0.9691848,1.0,0.0,0.0,0.0,0
98977253,98976602,0.24394847,-0.028864522,0.019842867,0.9691555,1.0,0.0,0.0,0.0,0
99021745,99021491,0.24397683,-0.028837545,0.019815264,0.9691497,1.0,0.0,0.0,0.0,0
99077048,99076355,0.24385361,-0.02866745,0.020434849,0.9691729,1.0,0.0,0.0,0.0,0
99126865,99126232,0.24369282,-0.028581986,0.02087212,0.9692065,1.0,0.0,0.0,0.0,0
99176806,99176108,0.24376543,-0.02858934,0.02079084,0.9691898,1.0,0.0,0.0,0.0,0
99221264,99220997,0.24383599,-0.028719451,0.020425482,0.96917593,1.0,0.0,0.0,0.0,0
99276583,99275861,0.24399492,-0.028859224,0.019766752,0.9691455,1.0,0.0,0.0,0.0,0
99326396,99325738,0.2440911,-0.029034026,0.01927768,0.96912587,1.0,0.0,0.0,0.0,0
99376261,99375614,0.2441443,-0.02917008,0.018946173,0.9691149,1.0,0.0,0.0,0.0,0
99426145,99425491,0.24409997,-0.029178178,0.019061534,0.9691236,1.0,0.0,0.0,0.0,0
99476109,99475367,0.24399063,-0.029069332,0.019438993,0.96914697,1.0,0.0,0.0,0.0,0
99525875,99525244,0.24389052,-0.028914418,0.019866161,0.96916807,1.0,0.0,0.0,0.0,0
99575771,99575121,0.24381368,-0.028766995,0.02029738,0.9691829,1.0,0.0,0.0,0.0,0
99625690,99624997,0.24376257,-0.028753746,0.020426886,0.9691934,1.0,0.0,0.0,0.0,0
99675616,99674874,0.24371082,-0.028676076,0.020616636,0.9692047,1.0,0.0,0.0,0.0,0
99725389,99724750,0.24368685,-0.028686417,0.020581389,0.96921116,1.0,0.0,0.0,0.0,0
99775319,99774627,0.24373285,-0.028700698,0.020400535,0.969203,1.0,0.0,0.0,0.0,0
