timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
164121055,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
165128680,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
166136258,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
167144121,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
168151699,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
169159059,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
170166716,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
171174297,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
172181898,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
173189602,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
174197076,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
175204718,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
176212302,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
177219909,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
178227529,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
179235078,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
180242698,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
181250275,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
182257917,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
183265499,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
184273095,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
185280753,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
186288359,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
187296018,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
188303520,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
189311113,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
190318668,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
191326296,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
192333876,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
193341783,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
194349359,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
195356649,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
196364206,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
197371863,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
198379443,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
199387059,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
200394680,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
201402188,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
202409742,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
203417363,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
204424862,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
205432436,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
206440046,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
207447588,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
208455172,61157869,8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
208545059,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
209552513,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
210560093,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
211567707,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
212575247,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
213582830,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
214590455,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
215597991,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
216605563,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
217613157,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
218620753,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
219628376,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
220635987,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
221643513,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
222651080,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
223658816,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
224666310,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
225673847,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
226681421,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
227689033,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
228696632,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
229704235,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
230711832,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
231719418,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
232727061,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
233734767,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
234742420,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
235749822,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
236757404,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
237765016,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
238772724,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
239780237,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
240787775,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
241795421,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
242802990,208354981,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
