timestamp,command,result_param2,target_component,result,result_param1,target_system,from_external
123289279,512,0,190,2,0,255,0
140129665,512,0,190,2,0,255,0
141069687,512,0,190,2,0,255,0
142069392,512,0,190,2,0,255,0
142762898,512,0,190,2,0,255,0
142994083,512,0,190,2,0,255,0
144113251,512,0,190,2,0,255,0
145220805,512,0,190,2,0,255,0
247381708,512,0,190,2,0,255,0
253233690,512,0,190,2,0,255,0
260853908,512,0,190,2,0,255,0
272331051,512,0,190,2,0,255,0
273269690,512,0,190,2,0,255,0
276109690,512,0,190,2,0,255,0
