timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
164021375,0,0,0,1,0,0,0,0,0,0,0,0
165028983,0,0,0,1,0,0,0,0,0,0,0,0
166036595,0,0,0,1,0,0,0,0,0,0,0,0
167044199,0,0,0,1,0,0,0,0,0,0,0,0
168051771,0,0,0,1,0,0,0,0,0,0,0,0
169059349,0,0,0,1,0,0,0,0,0,0,0,0
170067000,0,0,0,1,0,0,0,0,0,0,0,0
171074535,0,0,0,1,0,0,0,0,0,0,0,0
172082248,0,0,0,1,0,0,0,0,0,0,0,0
173089750,0,0,0,1,0,0,0,0,0,0,0,0
174097396,0,0,0,1,0,0,0,0,0,0,0,0
175104984,0,0,0,1,0,0,0,0,0,0,0,0
176112608,0,0,0,1,0,0,0,0,0,0,0,0
177120188,0,0,0,1,0,0,0,0,0,0,0,0
178127866,0,0,0,1,0,0,0,0,0,0,0,0
179135497,0,0,0,1,0,0,0,0,0,0,0,0
180073128,0,0,0,0,0,0,0,0,0,0,0,0
181080865,0,0,0,0,0,0,0,0,0,0,0,0
182088357,0,0,0,0,0,0,0,0,0,0,0,0
183096050,0,0,0,0,0,0,0,0,0,0,0,0
184103687,0,0,0,0,0,0,0,0,0,0,0,0
185111220,0,0,0,0,0,0,0,0,0,0,0,0
186118760,0,0,0,0,0,0,0,0,0,0,0,0
187126352,0,0,0,0,0,0,0,0,0,0,0,0
188133980,0,0,0,0,0,0,0,0,0,0,0,0
189141553,0,0,0,0,0,0,0,0,0,0,0,0
190149396,0,0,0,0,0,0,0,0,0,0,0,0
191156731,0,0,0,0,0,0,0,0,0,0,0,0
192164352,0,0,0,0,0,0,0,0,0,0,0,0
193171972,0,0,0,0,0,0,0,0,0,0,0,0
194179511,0,0,0,0,0,0,0,0,0,0,0,0
195187178,0,0,0,0,0,0,0,0,0,0,0,0
196194832,0,0,0,0,0,0,0,0,0,0,0,0
197202445,0,0,0,0,0,0,0,0,0,0,0,0
198209946,0,0,0,0,0,0,0,0,0,0,0,0
199217477,0,0,0,0,0,0,0,0,0,0,0,0
200225082,0,0,0,0,0,0,0,0,0,0,0,0
201232653,0,0,0,0,0,0,0,0,0,0,0,0
202240182,0,0,0,0,0,0,0,0,0,0,0,0
203247780,0,0,0,0,0,0,0,0,0,0,0,0
204255320,0,0,0,0,0,0,0,0,0,0,0,0
205262951,0,0,0,0,0,0,0,0,0,0,0,0
206270502,0,0,0,0,0,0,0,0,0,0,0,0
207278080,0,0,0,0,0,0,0,0,0,0,0,0
208285647,0,0,0,0,0,0,0,0,0,0,0,0
209293241,0,0,0,0,0,0,0,0,0,0,0,0
210300851,0,0,0,0,0,0,0,0,0,0,0,0
211308501,0,0,0,0,0,0,0,0,0,0,0,0
212315930,0,0,0,0,0,0,0,0,0,0,0,0
213323546,0,0,0,0,0,0,0,0,0,0,0,0
213343672,0,0,0,1,0,0,0,0,0,0,0,0
214351041,0,0,0,1,0,0,0,0,0,0,0,0
215298790,0,0,0,1,0,0,0,0,0,0,0,1
216306360,0,0,0,1,0,0,0,0,0,0,0,1
217313959,0,0,0,1,0,0,0,0,0,0,0,1
218321523,0,0,0,1,0,0,0,0,0,0,0,1
219329127,0,0,0,1,0,0,0,0,0,0,0,1
220336702,0,0,0,1,0,0,0,0,0,0,0,1
221344511,0,0,0,1,0,0,0,0,0,0,0,1
222351857,0,0,0,1,0,0,0,0,0,0,0,1
223359480,0,0,0,1,0,0,0,0,0,0,0,1
224367087,0,0,0,1,0,0,0,0,0,0,0,1
225374709,0,0,0,1,0,0,0,0,0,0,0,1
226382343,0,0,0,1,0,0,0,0,0,0,0,1
227389886,0,0,0,1,0,0,0,0,0,0,0,1
228397441,0,0,0,1,0,0,0,0,0,0,0,1
229405048,0,0,0,1,0,0,0,0,0,0,0,1
230312821,0,0,0,1,0,0,0,0,0,0,0,0
231320448,0,0,0,1,0,0,0,0,0,0,0,0
231669590,0,0,0,1,0,0,0,0,0,0,0,1
232677226,0,0,0,1,0,0,0,0,0,0,0,1
