timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
20145011,4259850,4259850,2490378,0,0,0.0849532,0.084953226,0.0,0.0,4325386,4325386,2490378,0,0,0.0010128303,0.0010128297,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
20150005,4259850,4259850,2490378,0,0,0.08798658,0.08798661,0.0,0.0,4325386,4325386,2490378,0,0,0.00080027274,0.00080027204,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
20349591,4259850,4259850,2490378,0,0,0.11804847,0.11804844,0.0,0.0,4325386,4325386,2490378,0,0,0.00038519793,0.00038519784,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
20549170,4259850,4259850,2490378,0,0,0.11524565,0.11524574,0.0,0.0,4325386,4325386,2490378,0,0,0.00087570347,0.0008757035,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
20748764,4259850,4259850,2490378,0,0,0.14500874,0.14500873,0.0,0.0,4325386,4325386,2490378,0,0,0.0007870889,0.00078708894,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
20948335,4259850,4259850,2490378,0,0,0.12603335,0.1260334,0.0,0.0,4325386,4325386,2490378,0,0,0.0006113999,0.0006113998,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
21147928,4259850,4259850,2490378,0,0,0.10430402,0.10430401,0.0,0.0,4325386,4325386,2490378,0,0,0.00028685672,0.00028685696,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
21347509,4259850,4259850,2490378,0,0,0.088853575,0.0888536,0.0,0.0,4325386,4325386,2490378,0,0,0.00097134203,0.0009713423,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
21547098,4259850,4259850,2490378,0,0,0.0938227,0.093822666,0.0,0.0,4325386,4325386,2490378,0,0,0.0006222009,0.0006222015,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
21746687,4259850,4259850,2490378,0,0,0.08650836,0.08650835,0.0,0.0,4325386,4325386,2490378,0,0,0.00023915015,0.00023915051,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
