timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
39328917,39135232,39140848,31.185592897634233,117.19754684416914,0,0.25,0.25,0.03379278,-0.03265201,0.03618628,-0.033495985,0.26694268,0.26695985,0.00017111568,0.00015974743,0.00022523149,-0.00017666661,1,0,1
39831529,39635690,39643495,31.185594690902906,117.19754644285916,0,0.25,0.25,0.00355085,-0.055536304,0.021372106,-0.04057702,0.2661572,0.26617283,1.8949006e-06,0.0004635005,0.00011040938,-0.00026633986,1,0,1
40344135,40152702,40155998,31.185595318232142,117.19754686991219,0,0.25,0.25,-0.038254227,-0.08950318,-0.005092682,-0.06056594,0.26735896,0.2673244,0.0002189395,0.0011986663,-2.3970168e-05,-0.0006147101,1,0,1
40826978,40634691,40638933,31.18559513388892,117.1975465274209,0,0.25,0.25,-0.049090765,-0.083148874,-0.029238036,-0.073585734,0.26624587,0.26620135,0.0003620568,0.0010388731,-0.0002032316,-0.0008603287,1,0,1
41330172,41134694,41141581,31.185594780539983,117.19754678819234,0,0.25,0.25,-0.052662455,-0.11070778,-0.044446994,-0.09195188,0.26573864,0.26567158,0.0004174529,0.001845318,-0.00035201944,-0.0013314431,1,0,1
41832249,41634700,41644228,31.18559491839343,117.19754704486219,0,0.25,0.25,-0.04888181,-0.14234269,-0.048655123,-0.11384295,0.2654735,0.2653655,0.0003600256,0.0030541182,-0.0003812674,-0.002033745,1,0,1
42325121,42133714,42137020,31.1855948145823,117.19754724802439,0,0.25,0.25,-0.051014908,-0.16949183,-0.047282103,-0.13916388,0.2666026,0.26641518,0.00039047192,0.0043131895,-0.00034821322,-0.003026109,1,0,1
42827696,42632690,42639668,31.185594825363147,117.19754756338402,0,0.25,0.25,-0.031608395,-0.17269166,-0.042073034,-0.1582756,0.26598182,0.26581535,0.00015024946,0.004487688,-0.00027617588,-0.0038504633,1,0,1
43330474,43134690,43142316,31.185594919437694,117.19754776583842,0,0.25,0.25,-0.022928491,-0.20314208,-0.031672772,-0.17530319,0.26705045,0.26686746,7.874403e-05,0.0061853477,-0.00016672965,-0.0046976,1,0,1
43823216,43634051,43635109,31.185594778664328,117.197548124579,0,0.25,0.25,-0.008211889,-0.17723954,-0.019601222,-0.17983809,0.26609096,0.26597178,1.0137153e-05,0.004724389,-8.084165e-05,-0.0048973183,1,0,1
44326121,44135690,44137757,31.18559459129264,117.1975483363298,0,0.25,0.25,0.001237504,-0.1780704,-0.008898888,-0.17843525,0.26703984,0.26696062,2.293914e-07,0.004751123,-3.457029e-05,-0.0047974973,1,0,1
44828444,44635690,44640405,31.18559460481244,117.19754835053149,0,0.25,0.25,0.0040641637,-0.15936923,-0.002007864,-0.17080814,0.26615563,0.26612973,2.4823712e-06,0.0038174696,-1.3136267e-05,-0.0043953885,1,0,1
45341450,45147693,45152910,31.185594711592735,117.19754835145227,0,0.25,0.25,-0.01566925,-0.15363841,-0.0034280256,-0.15960228,0.26719502,0.26723817,3.6755988e-05,0.003533142,-1.37125035e-05,-0.00384238,1,0,1
45833731,45636690,45645703,31.185594594429507,117.19754833620128,0,0.25,0.25,-0.0050441036,-0.12842925,-0.0030691477,-0.14137863,0.26615775,0.26622158,3.823745e-06,0.002478247,-6.632236e-06,-0.0030457254,1,0,1
46326571,46133693,46138496,31.18559448323023,117.19754822701256,0,0.25,0.25,-0.001129194,-0.12024453,-0.0010280259,-0.12749735,0.26687536,0.2670002,1.911123e-07,0.0021661029,-2.4309927e-06,-0.0024797393,1,0,1
46829257,46635690,46641146,31.185594508141428,117.19754815311384,0,0.25,0.25,0.0018987242,-0.09557078,9.884261e-05,-0.1123306,0.2660288,0.26614943,5.420697e-07,0.0013727287,-8.5972374e-07,-0.0019389665,1,0,1
47322093,47133712,47133939,31.185594516425088,117.19754796337715,0,0.25,0.25,0.0052112564,-0.07656349,0.0017660565,-0.09647745,0.26534796,0.26546687,4.0938235e-06,0.0008832693,6.3038203e-07,-0.0014454157,1,0,1
47824692,47633704,47636589,31.185594559219542,117.19754780787429,0,0.25,0.25,0.005374759,-0.07396871,0.0038787518,-0.08427777,0.2650428,0.26516733,4.359754e-06,0.000825346,2.8316356e-06,-0.0011037785,1,0,1
48327509,48133709,48139239,31.185594563138796,117.19754781286821,0,0.25,0.25,0.005550023,-0.070004486,0.004669682,-0.076620534,0.26613674,0.26629493,4.6296136e-06,0.00073612033,4.6044242e-06,-0.0009041719,1,0,1
48829935,48633702,48641889,31.185594459485028,117.19754790454009,0,0.25,0.25,0.0062574777,-0.06453684,0.0059612216,-0.07030664,0.26558888,0.26572007,5.897239e-06,0.00062697614,6.277844e-06,-0.0007564534,1,0,1
49322731,49132693,49134683,31.185594588720374,117.1975476351738,0,0.25,0.25,-0.007017072,-0.05712493,9.321884e-05,-0.06496703,0.26643148,0.2665869,7.3924143e-06,0.0004896351,-7.028687e-07,-0.00064472796,1,0,1
49825584,49632694,49637333,31.185594460330492,117.19754760140677,0,0.25,0.25,0.0019825997,-0.044471785,-0.0024486717,-0.057095762,0.2657516,0.2658701,5.916354e-07,0.00029754976,-2.9975392e-06,-0.00050347374,1,0,1
50328057,50136842,50139984,31.185594150815525,117.19754780371686,0,0.25,0.25,0.005266455,-0.042911317,1.1264194e-05,-0.04739581,0.266682,0.2667976,4.1600933e-06,0.00027607163,-2.966402e-07,-0.0003547121,1,0,1
50850920,50652690,50662346,31.185593828719593,117.19754784846077,0,0.25,0.25,0.01466577,-0.049056683,0.008317671,-0.045953434,0.26612255,0.26621667,3.2328688e-05,0.0003615939,1.7247743e-05,-0.00032523338,1,0,1
51323653,51133696,51135429,31.185593275488813,117.1975480620063,0,0.25,0.25,0.036397118,-0.05877315,0.019490087,-0.051755965,0.2665777,0.26666626,0.00019877887,0.00051814324,7.7468445e-05,-0.0004100385,1,0,1
51826149,51633705,51638080,31.185593040542948,117.19754841749737,0,0.25,0.25,0.026417168,-0.0709354,0.025248986,-0.06132499,0.2658105,0.2658777,0.00010501719,0.0007570144,0.00010824351,-0.00057796197,1,0,1
52328837,52134912,52140731,31.185592891706506,117.1975488541224,0,0.25,0.25,0.020963378,-0.0915732,0.024824137,-0.078026526,0.2666886,0.26675627,6.591407e-05,0.0012574252,9.8724435e-05,-0.0009515792,1,0,1
52831508,52637690,52643383,31.18559263142846,117.1975490024686,0,0.25,0.25,0.022468466,-0.0872824,0.024189662,-0.083966896,0.26590246,0.26594847,7.594243e-05,0.0011458185,9.112163e-05,-0.0010786777,1,0,1
53334085,53136693,53146034,31.185592527759137,117.19754909517957,0,0.25,0.25,0.020391343,-0.08779561,0.019714357,-0.085035816,0.2667775,0.26681703,6.234512e-05,0.0011555587,6.339895e-05,-0.001095352,1,0,1
53826904,53637694,53638830,31.185592624129253,117.19754919124443,0,0.25,0.25,0.0038455303,-0.089640535,0.012567307,-0.08513943,0.2658467,0.26587242,2.2250574e-06,0.0012089146,3.33995e-05,-0.0010936073,1,0,1
