timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
38958962,0.0,0.84462464,0.015756238,0.14359891,-0.51550007,0.014778346,0.0,0.0,0,0
38964079,0.0,0.84501636,0.015647057,0.14361086,-0.51485777,0.014778346,0.0,0.0,0,0
39013081,0.0,0.8494217,0.01440891,0.14374036,-0.5075567,0.014778346,0.0,0.0,0,0
39062422,0.0,0.8549785,0.012819666,0.14389081,-0.49813944,0.014778346,0.0,0.0,0,0
39106769,0.0,0.8610441,0.011047905,0.14403768,-0.4875799,0.014778346,0.0,0.0,0,0
39160939,0.0,0.86913276,0.008620763,0.14420329,-0.47301093,0.014778346,0.0,0.0,0,0
39210236,0.0,0.87633055,0.0063938317,0.14431919,-0.45953873,0.014778346,0.0,0.0,0,0
39259489,0.0,0.88370883,0.0040391963,0.14440426,-0.445185,0.014778346,0.0,0.0,0,0
39308775,0.0,0.89107746,0.0016078718,0.1444518,-0.43024647,0.014778346,0.0,0.0,0,0
39363253,0.0,0.8986173,-0.0009715191,0.14445747,-0.41426805,0.014778346,0.0,0.0,0,0
39412239,0.0,0.9038278,-0.0028138433,0.14443333,-0.4027734,0.014778346,0.0,0.0,0,0
39456628,0.0,0.9072814,-0.00406434,0.14440356,-0.3949324,0.014778346,0.0,0.0,0,0
39510794,0.0,0.9100072,-0.005068942,0.1443718,-0.38861033,0.014778346,0.0,0.0,0,0
39560100,0.0,0.9116089,-0.005666839,0.14434956,-0.38483804,0.014778346,0.0,0.0,0,0
39609361,0.0,0.9124927,-0.0041841096,0.14629324,-0.38201818,0.014778346,0.0,0.0,0,0
39658641,0.0,0.9071534,0.0744725,0.1433388,-0.38856205,0.014778346,0.0,0.0,0,0
39712848,0.0,0.8924195,0.19061475,0.07796621,-0.40146556,0.014778346,0.0,0.0,0,0
39762404,0.0,0.9210283,0.013762044,0.032678377,-0.38787827,0.014778346,0.0,0.0,0,0
39811402,0.0,0.9176831,-0.031633712,0.12390985,-0.37616923,0.014778346,0.0,0.0,0,0
39860677,0.0,0.90394366,-0.12097743,0.22759075,-0.34125164,0.014778346,0.0,0.0,0,0
39909945,0.0,0.9036326,-0.10552497,0.24144156,-0.3376665,0.014778346,0.0,0.0,0,0
39959296,0.0,0.9114439,-0.0080850925,0.19426405,-0.36258274,0.014778346,0.0,0.0,0,0
40008505,0.0,0.91750026,-0.007917547,0.14424361,-0.370573,0.014778346,0.0,0.0,0,0
40062710,0.0,0.9177346,-0.0080088405,0.14423858,-0.36999223,0.014778346,0.0,0.0,0,0
40111990,0.0,0.9174449,-0.007895995,0.1442448,-0.3707101,0.014778346,0.0,0.0,0,0
40161525,0.0,0.9170962,-0.007760463,0.14425215,-0.37157196,0.014778346,0.0,0.0,0,0
40210563,0.0,0.9172156,-0.007806843,0.14424965,-0.37127703,0.014778346,0.0,0.0,0,0
40259874,0.0,0.9181461,-0.008169459,0.14422956,-0.36897004,0.014778346,0.0,0.0,0,0
40309127,0.0,0.9195667,-0.008727408,0.14419688,-0.36541504,0.014778346,0.0,0.0,0,0
40358445,0.0,0.9204291,-0.009068693,0.14417583,-0.36323744,0.014778346,0.0,0.0,0,0
40412592,0.0,0.9201234,-0.008947486,0.1441834,-0.3640111,0.014778346,0.0,0.0,0,0
40461888,0.0,0.918964,-0.008490067,0.14421105,-0.36692804,0.014778346,0.0,0.0,0,0
40511155,0.0,0.9172921,-0.00783657,0.14424804,-0.37108803,0.014778346,0.0,0.0,0,0
40560460,0.0,0.9154297,-0.0071169646,0.14428534,-0.37565887,0.014778346,0.0,0.0,0,0
40609721,0.0,0.913588,-0.0064136777,0.14431831,-0.38011593,0.014778346,0.0,0.0,0,0
40658996,0.0,0.91193706,-0.005790049,0.14434467,-0.3840598,0.014778346,0.0,0.0,0,0
40708261,0.0,0.9105958,-0.0052879932,0.14436394,-0.3872291,0.014778346,0.0,0.0,0,0
40762524,0.0,0.90935636,-0.0048276098,0.14438006,-0.3901309,0.014778346,0.0,0.0,0,0
40811775,0.0,0.90828776,-0.004433374,0.14439271,-0.3926124,0.014778346,0.0,0.0,0,0
40861057,0.0,0.90717196,-0.004024341,0.14440468,-0.39518368,0.014778346,0.0,0.0,0,0
40910329,0.0,0.9062085,-0.003673264,0.14441404,-0.39738795,0.014778346,0.0,0.0,0,0
40959614,0.0,0.90553147,-0.0034276827,0.14442007,-0.39892837,0.014778346,0.0,0.0,0,0
41008877,0.0,0.9050987,-0.003271204,0.14442371,-0.3999093,0.014778346,0.0,0.0,0,0
41058147,0.0,0.90477395,-0.0031540282,0.14442632,-0.40064347,0.014778346,0.0,0.0,0,0
41112376,0.0,0.9045267,-0.0030649668,0.14442824,-0.40120134,0.014778346,0.0,0.0,0,0
41161643,0.0,0.9043026,-0.0029843492,0.14442992,-0.40170616,0.014778346,0.0,0.0,0,0
41210917,0.0,0.9037409,-0.0027826899,0.14443395,-0.40296838,0.014778346,0.0,0.0,0,0
41260225,0.0,0.9027566,-0.0024308397,0.1444403,-0.4051687,0.014778346,0.0,0.0,0,0
41309713,0.0,0.9014555,-0.0019686641,0.14444733,-0.40805516,0.014778346,0.0,0.0,0,0
41358766,0.0,0.90008456,-0.0014851278,0.14445311,-0.4110704,0.014778346,0.0,0.0,0,0
41408032,0.0,0.899016,-0.0011106959,0.14445648,-0.41340208,0.014778346,0.0,0.0,0,0
41462235,0.0,0.8982832,-0.0008551002,0.14445822,-0.41499212,0.014778346,0.0,0.0,0,0
41511511,0.0,0.89781827,-0.00069346005,0.14445908,-0.41599697,0.014778346,0.0,0.0,0,0
41560800,0.0,0.8973184,-0.00052010943,0.14445981,-0.41707405,0.014778346,0.0,0.0,0,0
41610174,0.0,0.8967902,-0.00033740254,0.14446035,-0.4182086,0.014778346,0.0,0.0,0,0
41659402,0.0,0.8964416,-0.00021707296,0.14446059,-0.41895545,0.014778346,0.0,0.0,0,0
41708660,0.0,0.89638996,-0.00019929878,0.1444606,-0.41906574,0.014778346,0.0,0.0,0,0
41757933,0.0,0.8964969,-0.0002361694,0.14446056,-0.41883695,0.014778346,0.0,0.0,0,0
41812124,0.0,0.89664614,-0.00028765196,0.14446047,-0.41851744,0.014778346,0.0,0.0,0,0
41861412,0.0,0.89667994,-0.00029934003,0.14446044,-0.41844487,0.014778346,0.0,0.0,0,0
41910682,0.0,0.89670444,-0.0003077764,0.14446042,-0.4183925,0.014778346,0.0,0.0,0,0
41959983,0.0,0.8968229,-0.0003487107,0.14446032,-0.41813838,0.014778346,0.0,0.0,0,0
42009272,0.0,0.89698964,-0.0004063278,0.14446017,-0.41778067,0.014778346,0.0,0.0,0,0
42058520,0.0,0.8969883,-0.00040584733,0.14446017,-0.41778368,0.014778346,0.0,0.0,0,0
42107857,0.0,0.89665526,-0.00029081048,0.14446045,-0.41849783,0.014778346,0.0,0.0,0,0
42162024,0.0,0.89595,-4.7797384e-05,0.14446074,-0.4200056,0.014778346,0.0,0.0,0,0
42211280,0.0,0.89517313,0.00021887475,0.14446059,-0.42165878,0.014778346,0.0,0.0,0,0
42260558,0.0,0.8944129,0.00047885717,0.14445996,-0.42326912,0.014778346,0.0,0.0,0,0
42309837,0.0,0.8937267,0.0007126215,0.144459,-0.4247159,0.014778346,0.0,0.0,0,0
42359147,0.0,0.8930923,0.00092807144,0.14445777,-0.42604837,0.014778346,0.0,0.0,0,0
42408402,0.0,0.8925922,0.0010974397,0.14445658,-0.42709517,0.014778346,0.0,0.0,0,0
42457679,0.0,0.89231974,0.0011895247,0.14445585,-0.42766407,0.014778346,0.0,0.0,0,0
42511930,0.0,0.892355,0.001177602,0.14445595,-0.42759043,0.014778346,0.0,0.0,0,0
42561197,0.0,0.8927699,0.001037316,0.14445703,-0.42672366,0.014778346,0.0,0.0,0,0
42610446,0.0,0.89346117,0.0008028852,0.14445852,-0.42527425,0.014778346,0.0,0.0,0,0
42659734,0.0,0.89422774,0.0005420016,0.14445972,-0.42366004,0.014778346,0.0,0.0,0,0
42709004,0.0,0.8949432,0.00029761816,0.14446044,-0.42214665,0.014778346,0.0,0.0,0,0
42758287,0.0,0.8955649,8.452186e-05,0.14446072,-0.42082608,0.014778346,0.0,0.0,0,0
42807566,0.0,0.8958806,-2.3922184e-05,0.14446075,-0.42015365,0.014778346,0.0,0.0,0,0
42861767,0.0,0.8957803,1.0542279e-05,0.14446075,-0.4203674,0.014778346,0.0,0.0,0,0
