timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_filtered,innovation_variance,test_ratio,test_ratio_filtered,estimator_instance,innovation_rejected,fused
78222683,78032090,78032090,0,0.0,0.09,-2.7424693,-2.7424693,6.61449,0.0454828,0.0454828,0,0,1
78381928,78191765,78191765,0,0.0,0.09,-2.080892,-2.5823338,3.4401097,0.05034853,0.022286728,0,0,1
78701240,78511113,78511113,0,0.0,0.09,-0.16399373,-1.6736375,0.12886858,0.0083477115,0.0024501448,0,0,1
79180307,78990136,78990136,0,0.0,0.09,-0.19570048,-0.8421875,0.0915143,0.016739976,-0.008818898,0,0,1
79659374,79469159,79469159,0,0.0,0.09,-0.1265647,-0.43803075,0.09238677,0.0069354614,-0.0077983974,0,0,1
80138313,79948182,79948182,0,0.0,0.09,-0.27946278,-0.32820418,0.09204619,0.033939242,-0.018231835,0,0,1
80617420,80427204,80427204,0,0.0,0.09,-0.227783,-0.28705618,0.09171506,0.022628821,-0.02413797,0,0,1
81096586,80906226,80906226,0,0.0,0.09,-0.1290293,-0.21037503,0.09164565,0.0072664926,-0.01639413,0,0,1
81575439,81385248,81385248,0,0.0,0.09,-0.1288528,-0.15645017,0.09144316,0.0072626728,-0.010431935,0,0,1
82214214,82023944,82023944,0,0.0,0.09,-0.11604869,-0.13823141,0.09130941,0.0058996323,-0.008486835,0,0,1
82693163,82502964,82502964,0,0.0,0.09,-0.08195587,-0.111903735,0.09135795,0.0029408564,-0.0058295885,0,0,1
83172201,82981985,82981985,0,0.0,0.09,-0.11070086,-0.10517146,0.09151873,0.0053561414,-0.005030072,0,0,1
83651360,83461005,83461005,0,0.0,0.09,-0.06138427,-0.09045306,0.091504514,0.0016471444,-0.003855144,0,0,1
84130170,83940025,83940025,0,0.0,0.09,-0.12188895,-0.10050782,0.0916604,0.006483461,-0.004628522,0,0,1
84609212,84419044,84419044,0,0.0,0.09,-0.09431963,-0.104098365,0.12188098,0.0029196325,-0.004079787,0,0,1
85088202,84898063,84898063,0,0.0,0.09,-0.11302354,-0.095073454,0.11857527,0.00430927,-0.0033379623,0,0,1
85567244,85377082,85377082,0,0.0,0.09,-0.06734805,-0.1012,0.1109201,0.0016356853,-0.003878609,0,0,1
86205897,86015773,86015773,0,0.0,0.09,-0.09635025,-0.08116759,0.1031325,0.0036005608,-0.0027190582,0,0,1
86684918,86494791,86494791,0,0.0,0.09,-0.06845093,-0.07614684,0.100833684,0.001858716,-0.0023620636,0,0,1
87163981,86973809,86973809,0,0.0,0.09,-0.08080385,-0.07387229,0.10048659,0.002599058,-0.002218883,0,0,1
87642964,87452827,87452827,0,0.0,0.09,-0.0895158,-0.08062134,0.09975247,0.0032131847,-0.00264239,0,0,1
88122018,87931844,87931844,0,0.0,0.09,-0.12670752,-0.100645564,0.09702009,0.0066191633,-0.0043113157,0,0,1
88601202,88410861,88410861,0,0.0,0.09,-0.18415135,-0.13893548,0.09474452,0.014317121,-0.008756166,0,0,1
89080017,88889877,88889877,0,0.0,0.09,-0.27146047,-0.19709411,0.09344591,0.031543717,-0.018107854,0,0,1
89718759,89528565,89528565,0,0.0,0.09,-0.45919642,-0.33857015,0.09273932,0.09094798,-0.05514267,0,0,1
90197723,90007581,90007581,0,0.0,0.09,-0.36939308,-0.3662323,0.09235819,0.059096545,-0.06074606,0,0,1
90676835,90486597,90486597,0,0.0,0.09,-0.30980498,-0.3385538,0.092094064,0.041687433,-0.05112396,0,0,1
91156014,90965613,90965613,0,0.0,0.09,-0.43803737,-0.38183075,0.092334956,0.08312204,-0.064626426,0,0,1
91634833,91444628,91444628,0,0.0,0.09,-0.26983806,-0.34378827,0.09177691,0.031734597,-0.053225335,0,0,1
92113832,91923643,91923643,0,0.0,0.09,-0.16658512,-0.25340837,0.09142158,0.012141816,-0.0316078,0,0,1
92592842,92402657,92402657,0,0.0,0.09,-0.07347825,-0.15756227,0.09136514,0.0023637256,-0.015522334,0,0,1
93071976,92881671,92881671,0,0.0,0.09,-0.09543983,-0.121819966,0.091461934,0.0039836294,-0.008967641,0,0,1
93710571,93520356,93520356,0,0.0,0.09,-0.07474035,-0.09662431,0.09164023,0.0024382828,-0.0050562625,0,0,1
94189609,93999369,93999369,0,0.0,0.09,-0.119822815,-0.097071774,0.092127874,0.00623373,-0.004624512,0,0,1
94668683,94478382,94478382,0,0.0,0.09,-0.20218694,-0.1476933,0.09190997,0.017791132,-0.010625821,0,0,1
95147612,94957394,94957394,0,0.0,0.09,-0.15383165,-0.14518806,0.09173389,0.010318619,-0.009714853,0,0,1
95626564,95436408,95436408,0,0.0,0.09,-0.25451463,-0.18927132,0.091629975,0.028277954,-0.016765973,0,0,1
96105599,95915419,95915419,0,0.0,0.09,-0.22546524,-0.21045277,0.091532916,0.022214772,-0.019986078,0,0,1
96584597,96394431,96394431,0,0.0,0.09,-0.2006653,-0.2094067,0.09139694,0.017622717,-0.01946701,0,0,1
97223320,97033113,97033113,0,0.0,0.09,-0.14217049,-0.17085232,0.09151417,0.008834675,-0.013239266,0,0,1
97702237,97512124,97512124,0,0.0,0.09,-0.19544479,-0.17644735,0.092028774,0.016602924,-0.013837565,0,0,1
98181503,97991135,97991135,0,0.0,0.09,-0.123288386,-0.15373711,0.09179784,0.00662326,-0.010671555,0,0,1
98660312,98470146,98470146,0,0.0,0.09,-0.15298566,-0.13605961,0.09165673,0.010214029,-0.008513055,0,0,1
99139298,98949156,98949156,0,0.0,0.09,-0.13605763,-0.14857167,0.09150729,0.008091892,-0.009986085,0,0,1
99618299,99428166,99428166,0,0.0,0.09,-0.11871697,-0.11739733,0.09170747,0.0061472505,-0.0066172183,0,0,1
100097578,99907176,99907176,0,0.0,0.09,-0.21353503,-0.16329992,0.09183484,0.019860527,-0.0126745505,0,0,1
100576451,100386186,100386186,0,0.0,0.09,-0.14083418,-0.1563436,0.09212031,0.008612332,-0.011129054,0,0,1
101215260,101024865,101024865,0,0.0,0.09,-0.17014137,-0.16829354,0.09158219,0.012643545,-0.012603795,0,0,1
101694058,101503874,101503874,0,0.0,0.09,-0.10728777,-0.14623648,0.09130668,0.0050426396,-0.009722804,0,0,1
102173448,101982883,101982883,0,0.0,0.09,-0.13564107,-0.13324656,0.09125064,0.008065039,-0.008024721,0,0,1
102652180,102461892,102461892,0,0.0,0.09,-0.07902147,-0.12616019,0.09127773,0.0027364364,-0.007451902,0,0,1
103131314,102940900,102940900,0,0.0,0.09,-0.008549567,-0.06273572,0.09140415,3.198765e-05,-0.0033669136,0,0,1
103610164,103419908,103419908,0,0.0,0.09,-0.09284844,-0.06766457,0.09150685,0.003768388,-0.0028425984,0,0,1
104089158,103898916,103898916,0,0.0,0.09,-0.108232275,-0.09288323,0.09165159,0.0051125027,-0.004350259,0,0,1
104568106,104377924,104377924,0,0.0,0.09,-0.11642169,-0.10248758,0.09174315,0.0059095467,-0.00487515,0,0,1
105206712,105016601,105016601,0,0.0,0.09,-0.15216553,-0.12643932,0.09191456,0.010076467,-0.007222593,0,0,1
105685768,105495608,105495608,0,0.0,0.09,-0.12931193,-0.13038395,0.09185719,0.007281554,-0.0075276643,0,0,1
106164938,105974615,105974615,0,0.0,0.09,-0.09977827,-0.11316447,0.09183649,0.0043362733,-0.005736172,0,0,1
106643746,106453622,106453622,0,0.0,0.09,-0.12296706,-0.11110126,0.09186068,0.0065842737,-0.005480231,0,0,1
107122809,106932629,106932629,0,0.0,0.09,-0.11235776,-0.11296977,0.09194303,0.005492212,-0.0056084343,0,0,1
107601752,107411635,107411635,0,0.0,0.09,-0.15262647,-0.121272,0.092004515,0.010127694,-0.0065623643,0,0,1
108081061,107890641,107890641,0,0.0,0.09,-0.11620485,-0.12228402,0.09216327,0.005860715,-0.0065849936,0,0,1
108719656,108529316,108529316,0,0.0,0.09,-0.102969036,-0.112184115,0.09229629,0.0045950375,-0.0055162394,0,0,1
109198490,109008322,109008322,0,0.0,0.09,-0.10269268,-0.11293693,0.092696875,0.0045506544,-0.005582033,0,0,1
109677482,109487328,109487328,0,0.0,0.09,-0.06345453,-0.08980327,0.092977546,0.0017322367,-0.0037146327,0,0,1
110156512,109966334,109966334,0,0.0,0.09,-0.1439575,-0.10883536,0.092887655,0.008924225,-0.0054626483,0,0,1
110635606,110445339,110445339,0,0.0,0.09,-0.13122359,-0.1256069,0.0928774,0.0074160686,-0.0070427214,0,0,1
111114531,110924344,110924344,0,0.0,0.09,-0.094697095,-0.11507925,0.092819974,0.0038644872,-0.0058721285,0,0,1
111593532,111403349,111403349,0,0.0,0.09,-0.115000196,-0.11181754,0.092723675,0.005705143,-0.0054723904,0,0,1
112072602,111882354,111882354,0,0.0,0.09,-0.12901868,-0.12874454,0.09257731,0.0071921814,-0.0073147453,0,0,1
112711241,112521027,112521027,0,0.0,0.09,-0.09327315,-0.10138042,0.09277999,0.003750757,-0.0047205626,0,0,1
