timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
69434012,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
70439496,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
71444531,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
72449756,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
73455025,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
74460607,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
75465508,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
76470810,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
77476060,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
78481230,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
79486680,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
80491698,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
81496967,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
82502195,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
83507609,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
84512623,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
85517900,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
86523298,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
87528550,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
88533581,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
89539229,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
90544006,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
91549243,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
92554410,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
93559625,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
94564862,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
95570034,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
96575468,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
97580450,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
98585706,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
99590901,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
100596574,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
101601362,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
102606465,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
103611668,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
104616858,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
105622133,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
106627447,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
107632485,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
108637647,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
109642846,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
110648223,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
111653669,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
112658522,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
113663595,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
114668836,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
115673971,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
116679219,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
117684343,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
118689556,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
119694797,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
120699908,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
121705289,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
122711027,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
123715547,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
124720661,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
125725843,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
126731034,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
127736366,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
128741345,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
129746521,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
130751702,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
131756910,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
132762095,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
133767999,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
134772505,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
135777839,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
136782793,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
137787930,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
138793100,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
139798297,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
140803456,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
141808639,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
142813985,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
143818973,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
144824825,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
145829671,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
146834740,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
147839717,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
148844857,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
149850179,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
150855350,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
151860334,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
152865552,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
153870734,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
154876075,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
155881225,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
156886299,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
157891571,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
158896730,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
159901892,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
160906877,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
161912017,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
162917219,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
163922763,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
164927719,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
165932713,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
166938077,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
167943138,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
168948402,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
169953338,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
170958506,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
171963715,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
172968881,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
173974000,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
174979225,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
175984328,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
176989528,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
177994986,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
178999957,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
180005232,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
181010374,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
182015312,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
183020681,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
184026052,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
185030811,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
186036384,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
187041133,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
188046327,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
189051723,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
190056721,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
191062027,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
192066953,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
193072121,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
194077302,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
195082459,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
196087607,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
197092806,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
198097938,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
199103094,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
200108536,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
201113528,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
202118596,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
203123931,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
204128902,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
205134065,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
206139285,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
207144439,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
208149646,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
209154750,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
210160109,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
211165652,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
212170273,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
213175367,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
214180541,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
215185927,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
216190822,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
217196249,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
218201339,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
219206690,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
220211474,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
221216621,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
222222086,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
223227020,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
224232125,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
225237250,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
226242445,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
227247765,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
228252760,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
229257874,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
230263033,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
231268195,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
232273534,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
233278890,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
234283760,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
235288830,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
236294008,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
237299212,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
238304320,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
239309528,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
240314608,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
241319970,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
242325112,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
243330078,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
244336015,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
245340873,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
246345601,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
247350708,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
248356098,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
249361237,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
250366187,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
251371327,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
252376712,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
253381686,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
254386806,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
255392415,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
256397190,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
257402271,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
258407578,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
259412546,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
260417737,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
261423052,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
262428004,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
263433156,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
264438327,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
265443464,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
266449273,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
267453861,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
268458951,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
269464055,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
270469224,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
271474376,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
272479695,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
273484659,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
274489805,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
275494947,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
276500155,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
277505819,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
278510500,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
279515610,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
280520927,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
281525887,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
282531263,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
283536461,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
284541374,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
285546531,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
286551725,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
287556868,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
288562549,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
289567333,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
290572423,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
291577716,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
292582715,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
293587866,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
294593056,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
295598258,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
296603387,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
297608629,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
298613942,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
299619819,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
300624193,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
301629685,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
302634450,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
303639641,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
304644816,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
305650198,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
306655157,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
307660337,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
308665589,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
309670733,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
310676344,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
311681172,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
312686305,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
313691460,20995134,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
