timestamp,lat_accel,lat_accel_ff,bearing_feas,bearing_feas_on_track,signed_track_error,track_error_bound,airspeed_ref,bearing,heading_ref,min_ground_speed_ref,adapted_period,p_gain,time_const,can_run_factor,wind_est_valid
990452,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,0.0,0
90327617,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
90357512,0.17338635,0.0,1.0,1.0,79.68681,33.372566,7.137229,0.36087206,0.33079034,5.0,10.0,0.87964594,7.0,1.0,1
90417295,0.1363381,0.0,1.0,1.0,79.4181,34.485218,7.138014,0.3553195,0.3268966,5.0,10.0,0.87964594,7.0,1.0,1
90517204,0.1746974,0.0,1.0,1.0,78.96381,33.114716,7.13779,0.34131816,0.32094505,5.0,10.0,0.87964594,7.0,1.0,1
90616823,0.25812748,0.0,1.0,1.0,78.52749,31.713882,7.1388903,0.33253577,0.31475675,5.0,10.0,0.87964594,7.0,1.0,1
90716756,0.38150004,0.0,1.0,1.0,78.12584,30.177362,7.1374583,0.31751722,0.3076282,5.0,10.0,0.87964594,7.0,1.0,1
90816439,0.51574874,0.0,1.0,1.0,77.73744,28.71265,7.139656,0.29561132,0.29234287,5.0,10.0,0.87964594,7.0,1.0,1
90916275,0.6266686,0.0,1.0,1.0,77.375496,27.522038,7.1419725,0.26940346,0.27758273,5.0,10.0,0.87964594,7.0,1.0,1
91016199,0.6300547,0.0,1.0,1.0,77.03122,26.634258,7.1419725,0.24295048,0.2624493,5.0,10.0,0.87964594,7.0,1.0,1
91115910,0.5513802,0.0,1.0,1.0,76.70681,26.357698,7.1420546,0.22349724,0.24723336,5.0,10.0,0.87964594,7.0,1.0,1
91215629,0.7687226,0.0,1.0,1.0,76.36004,30.294495,7.1420913,0.20062649,0.2335569,5.0,10.0,0.87964594,7.0,1.0,1
91315468,0.5989294,0.0,1.0,1.0,75.95291,31.09224,7.141744,0.17985882,0.22355267,5.0,10.0,0.87964594,7.0,1.0,1
91415181,0.6081186,0.0,1.0,1.0,75.54871,31.471277,7.1416616,0.16682582,0.2118058,5.0,10.0,0.87964594,7.0,1.0,1
91515042,0.82580245,0.0,1.0,1.0,75.126656,36.932877,7.1416163,0.14946938,0.2014025,5.0,10.0,0.87964594,7.0,1.0,1
91614781,0.7182379,0.0,1.0,1.0,74.63609,37.454746,7.1413064,0.1315616,0.18697305,5.0,10.0,0.87964594,7.0,1.0,1
91714751,0.89141595,0.0,1.0,1.0,74.145905,37.514816,7.1413064,0.11669098,0.17722583,5.0,10.0,0.87964594,7.0,1.0,1
91814386,1.0907553,0.0,1.0,1.0,73.64325,42.55584,7.14137,0.098367214,0.16461791,5.0,10.0,0.87964594,7.0,1.0,1
91914179,0.9997559,0.0,1.0,1.0,73.09258,42.074406,7.140867,0.07993225,0.14928262,5.0,10.0,0.87964594,7.0,1.0,1
92014147,1.1769017,0.0,1.0,1.0,72.55358,41.536583,7.1410875,0.061848246,0.13637657,5.0,10.0,0.87964594,7.0,1.0,1
92113810,1.1861633,0.0,1.0,1.0,71.98438,44.314697,7.140823,0.04227269,0.12151517,5.0,10.0,0.87964594,7.0,1.0,1
92213574,1.1371495,0.0,1.0,1.0,71.42174,43.516693,7.1407766,0.02535913,0.10750534,5.0,10.0,0.87964594,7.0,1.0,1
