timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,beta_innov,beta_innov_var
78222660,78032090,0.0,0.0,1.0,1.0,-4.32858,3.0421422,6.61449,0.0
78232194,78042070,0.0,0.0,1.0,1.0,-4.32858,3.0421422,6.61449,0.0
79220197,79030055,-1.5595363,0.020404113,0.07187248,0.061318886,2.1992874,2.071801,0.0915143,0.0
80218372,80028019,-1.8015621,0.005782872,0.068290405,0.05738928,1.9080095,2.0783617,0.09204619,0.0
81226134,81035962,-1.9613247,-0.06126929,0.0671996,0.056059025,1.8024311,2.0811098,0.09164565,0.0
82224410,82033923,-2.035542,-0.06971858,0.06640527,0.055584174,1.6780963,2.0825956,0.09130941,0.0
83221977,83031883,-2.0787184,-0.081070684,0.066468716,0.05602883,3.5975947,2.0853384,0.09151873,0.0
84219921,84029841,-2.1057065,-0.09485655,0.06675479,0.0557992,2.1645904,2.0903842,0.0916604,0.0
85217843,85027797,-2.086521,-0.06775069,0.06907808,0.057565443,0.97135067,2.0989916,0.11857527,0.0
86215832,86025753,-2.076825,-0.0591588,0.07189013,0.059282605,0.34181356,2.1075246,0.1031325,0.0
87223921,87033686,-2.0963056,-0.09181574,0.07534275,0.06190627,-0.20393229,2.1090531,0.10048659,0.0
88221719,88031639,-2.110877,-0.12618858,0.07871614,0.06375816,1.2652073,2.1225688,0.09702009,0.0
89219644,89029590,-2.1383371,-0.2705397,0.08215214,0.062971756,1.1136832,2.1264088,0.09344591,0.0
90217582,90027540,-2.0819821,-0.5220199,0.086102016,0.06294815,0.7001686,2.134245,0.09235819,0.0
91225770,91035469,-2.025731,-0.6513889,0.09028907,0.06410028,0.206851,2.1415906,0.092334956,0.0
92223505,92033417,-2.0295136,-0.63759434,0.09417958,0.062944666,0.02213192,2.1377447,0.09142158,0.0
93221396,93031363,-2.0311642,-0.589797,0.09720309,0.061674602,3.0186353,2.1406753,0.091461934,0.0
94219404,94029307,-2.048148,-0.65405816,0.10041233,0.060273644,2.9959142,2.1450667,0.092127874,0.0
95217292,95027250,-2.057058,-0.7504554,0.10413966,0.0594041,-0.57648325,2.1505585,0.09173389,0.0
96215285,96025193,-2.050175,-0.85265785,0.107937574,0.05939925,1.3696327,2.1547837,0.091532916,0.0
97223304,97033113,-2.0441718,-0.9482987,0.1118598,0.059315775,-2.0384088,2.1580794,0.09151417,0.0
98221275,98031053,-2.0487363,-1.033958,0.115854084,0.058961064,0.291327,2.163173,0.09179784,0.0
99219070,99028991,-2.0521631,-1.1117426,0.119845904,0.05912379,0.15485334,2.1677508,0.09150729,0.0
100216964,100026929,-2.06896,-1.1987493,0.123744324,0.05891664,-1.7453437,2.1639576,0.09183484,0.0
101225100,101034844,-2.1062531,-1.3157372,0.12734534,0.05738066,0.5062804,2.1727524,0.09158219,0.0
102223101,102032780,-2.1115031,-1.3584557,0.1314824,0.05786564,1.3854084,2.1753578,0.09125064,0.0
103220774,103030714,-2.1093595,-1.380579,0.13573146,0.05847687,0.8541775,2.177731,0.09140415,0.0
104218694,104028647,-2.1080058,-1.4275191,0.14016171,0.058817595,0.1064744,2.1863496,0.09165159,0.0
105216660,105026580,-2.10172,-1.5083989,0.14468344,0.05798133,-1.0311556,2.1942697,0.09191456,0.0
106224542,106034492,-2.082021,-1.5687097,0.1488738,0.058153037,-0.15642595,2.197804,0.09183649,0.0
107222516,107032422,-2.0418186,-1.6129159,0.15163971,0.058669448,1.0438566,2.192603,0.09194303,0.0
108220668,108030352,-1.95965,-1.6762885,0.14944938,0.06013042,-0.6050701,2.1719835,0.09216327,0.0
109218351,109028281,-1.8348349,-1.764803,0.13740838,0.06287684,-0.935627,2.1481674,0.092696875,0.0
110216245,110026209,-1.7290878,-1.810698,0.122044824,0.067162395,1.8582206,2.1403172,0.092887655,0.0
111224200,111034116,-1.605694,-1.823877,0.10778125,0.07186007,4.5377545,2.1343384,0.092819974,0.0
112222089,112032043,-1.5139871,-1.782934,0.096735545,0.07636611,11.016013,2.0495236,0.09257731,0.0
113220081,113029970,-1.4900175,-1.6976786,0.08653689,0.08056325,-1.1991081,2.1449661,0.09290136,0.0
114218172,114027895,-1.5435244,-1.6132218,0.07994705,0.08458735,3.4900463,2.1466978,0.093060106,0.0
115225840,115035800,-1.5212823,-1.5948085,0.07503206,0.088708624,-1.4422374,2.1530662,0.09229316,0.0
116223859,116033724,-1.5102354,-1.5873147,0.07155623,0.092756405,-0.55198574,2.154165,0.09212059,0.0
117221712,117031648,-1.4644816,-1.5996077,0.06865596,0.09716269,-2.7879238,2.1531491,0.09243549,0.0
118219622,118029572,-1.4724839,-1.599218,0.063905634,0.10141371,-1.2562008,2.1549566,0.092812456,0.0
119217755,119027495,-1.5132177,-1.6142085,0.05951821,0.10390596,2.7039335,2.151143,0.0925553,0.0
120215513,120025417,-1.5701592,-1.6493155,0.056649346,0.103531115,4.9594307,2.1498675,0.092363454,0.0
121223351,121033318,-1.5127306,-1.7083223,0.056425277,0.10152196,-1.0987043,2.1548548,0.091945715,0.0
122221515,122031240,-1.5012153,-1.8007272,0.056224678,0.1002127,0.37495136,2.1550555,0.09184322,0.0
123219222,123029160,-1.507774,-1.7993649,0.055570606,0.10459884,-0.010555267,2.1586173,0.09213264,0.0
124217121,124027081,-1.4882296,-1.8040409,0.053926986,0.109005585,-0.320364,2.1660523,0.092087835,0.0
125225058,125034980,-1.4816455,-1.8054783,0.05344252,0.11351137,0.015286446,2.1713445,0.091958374,0.0
126222939,126032899,-1.5245608,-1.9599496,0.053256176,0.11193079,-2.236802,2.1697905,0.09196817,0.0
127220949,127030818,-1.5507808,-1.9587754,0.053713966,0.11607984,1.2291017,2.1708794,0.09171007,0.0
128218804,128028737,-1.6563908,-2.0086334,0.05388957,0.11865985,0.4171629,2.1697757,0.091784745,0.0
129216741,129026655,-1.7045838,-2.0448992,0.055279322,0.120351784,0.1056838,2.1685305,0.09171617,0.0
130224754,130034551,-1.6909244,-2.0728629,0.057141196,0.11564045,4.1462946,2.152021,0.09151113,0.0
131222529,131032469,-1.6036087,-1.9483612,0.05949583,0.1092624,0.55522156,2.1189566,0.092878155,0.0
132220492,132030385,-1.5928458,-1.6888878,0.06125138,0.096382886,0.1386118,2.1190665,0.092772335,0.0
133218367,133028302,-1.6435026,-1.453506,0.05981567,0.09192098,2.6175256,2.1421,0.09187259,0.0
134216253,134026218,-1.7715571,-1.3543086,0.058257747,0.09139906,1.2792168,2.1485605,0.09177823,0.0
135224211,135034114,-1.966007,-1.313742,0.057327393,0.09442858,-0.8503909,2.148796,0.09149241,0.0
136222073,136032030,-2.0419896,-1.258889,0.059422307,0.09417225,0.9577327,2.135766,0.09172795,0.0
137220023,137029946,-2.0531526,-1.138714,0.06346354,0.087269336,-0.57863045,2.1255558,0.09238901,0.0
138218097,138027861,-2.0039532,-1.0339398,0.06596658,0.08204557,1.1962166,2.1347454,0.092637494,0.0
