timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
24528111,24527988,0.16296302,-0.16296302,0.0,nan,nan,nan,nan,nan
24530603,24530482,0.16296302,-0.16296302,0.0,nan,nan,nan,nan,nan
24630507,24630232,0.16296302,-0.16296302,0.0,nan,nan,nan,nan,nan
24727604,24727489,0.16296302,-0.16296302,0.0,nan,nan,nan,nan,nan
24829999,24829734,1.0,-0.32793194,0.16823946,nan,nan,nan,nan,nan
24927114,24926991,1.0,-0.38149452,0.15665042,nan,nan,nan,nan,nan
25029465,25029236,1.0,-0.34218723,0.20697936,nan,nan,nan,nan,nan
25126613,25126493,1.0,-0.4015271,0.2866681,nan,nan,nan,nan,nan
25228937,25228737,1.0,-0.4703614,0.26986977,nan,nan,nan,nan,nan
25331100,25330982,1.0,-0.499048,0.17701134,nan,nan,nan,nan,nan
25428404,25428239,-0.5000001,1.0,0.19129933,nan,nan,nan,nan,nan
25530604,25530483,-0.3024873,1.0,0.24848464,nan,nan,nan,nan,nan
25627886,25627740,1.0,-0.2840914,-0.014905884,nan,nan,nan,nan,nan
25730101,25729985,-0.69108194,1.0,0.31355086,nan,nan,nan,nan,nan
25829852,25829735,1.0,-0.64216316,0.33836263,nan,nan,nan,nan,nan
25929606,25929486,1.0,-0.5020077,0.27462336,nan,nan,nan,nan,nan
26029365,26029237,0.9554447,-0.43424296,0.18645008,nan,nan,nan,nan,nan
26129104,26128988,0.9475581,-0.51053756,0.15505421,nan,nan,nan,nan,nan
26228854,26228739,1.0,-0.61357874,0.21522816,nan,nan,nan,nan,nan
26328609,26328490,1.0,-0.55206764,0.27008808,nan,nan,nan,nan,nan
26428358,26428240,1.0,-0.52571994,0.2374665,nan,nan,nan,nan,nan
26530601,26530485,1.0,-0.5348822,0.27633828,nan,nan,nan,nan,nan
26630372,26630236,1.0,-0.36574924,0.1939648,nan,nan,nan,nan,nan
26730109,26729987,0.9903333,-0.335775,0.14716701,nan,nan,nan,nan,nan
26827377,26827244,1.0,-0.43719292,0.33522135,nan,nan,nan,nan,nan
26929609,26929489,0.9850481,-0.33298114,0.15753579,nan,nan,nan,nan,nan
27026862,27026746,0.8418614,-0.21361454,0.09310432,nan,nan,nan,nan,nan
27129114,27128990,0.73766977,-0.13269235,0.04012768,nan,nan,nan,nan,nan
27231353,27231235,0.7759497,-0.055760268,-0.027333159,nan,nan,nan,nan,nan
27328612,27328492,0.8593333,-0.07799011,-0.01167991,nan,nan,nan,nan,nan
27430852,27430737,0.8958845,-0.08494153,0.029383304,nan,nan,nan,nan,nan
