timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
72268131,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
73273057,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
74278202,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
75283412,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
76287904,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
77292718,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
78297643,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
79302551,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
80307717,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
81312389,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
82317333,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
83322308,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
84327388,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
85332117,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
86337514,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
87341980,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
88347096,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
89351898,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
90357484,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
91361568,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
92366517,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
93371402,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
94376317,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
95381231,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
96386150,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
97391089,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
98396001,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
99400970,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
100406320,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
101411639,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
102416089,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
103420706,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
104425622,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
105430519,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
106435407,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
107440311,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
108445242,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
109450304,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
110455069,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
111459951,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
112465131,20830421,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
113006937,112818942,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
