timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
25035101,24847460,24847460,0,-0.06973056,0.26682425,-0.9612192,1.0,1.0,1.0,0.013553493,-0.0033291876,-0.0018043518,0.0012667418,0.00048475925,9.708816e-05,1.0002238,1.000239,1.0000211,0.002938497,0.00017729346,5.208987e-05,0.00023330156,0.0013947369,5.887112e-05,1,0,1
25537795,25350083,25350083,0,-0.03013855,-0.055387765,-0.9980099,1.0,1.0,1.0,0.0022945423,-0.014436252,0.0008391738,0.004269915,-0.004435694,-0.00019644557,1.0002354,1.0002383,1.0000011,8.421896e-05,0.0033336913,1.1267391e-05,0.0010246186,-0.0007556255,1.4693604e-05,1,0,1
26030719,25842851,25842851,0,-0.009486306,-0.3887374,-0.92129976,1.0,1.0,1.0,0.02006409,0.0034462512,-0.001434803,-0.00046433488,-0.005642315,0.0011176826,1.000236,1.000192,1.0000341,0.006439563,0.00018998986,3.293743e-05,-0.0010190514,-0.0012060951,9.624048e-05,1,0,1
26533135,26345475,26345475,0,0.11035765,-0.16360708,-0.9803335,1.0,1.0,1.0,-0.00086276233,0.013717264,-0.0022874475,0.0070680655,0.0012438686,4.570095e-06,1.0002217,1.0002232,1.00001,1.1907101e-05,0.0030099421,8.3717816e-05,0.0020665722,0.0004940654,4.6076793e-06,1,0,1
27036025,26848100,26848100,0,0.0481455,0.14719807,-0.9879346,1.0,1.0,1.0,0.002421122,-0.0013359934,-7.7307224e-05,-0.004204206,-0.0014269599,-0.0005616448,1.000206,1.0002321,1.0000046,9.3769995e-05,2.8551423e-05,9.562206e-08,-0.0020459637,-0.0005818432,-3.2492935e-05,1,0,1
27538576,27350725,27350725,0,-0.0872182,0.09446466,-0.99170023,1.0,1.0,1.0,-0.05391548,-0.027602553,0.003970027,-0.016749645,-0.0053137927,-0.00068939733,1.0002022,1.000229,1.0000062,0.046500657,0.012187624,0.00025217625,-0.015902981,-0.0021726638,-6.125118e-05,1,0,1
28031520,27843495,27843495,0,-0.3944742,0.026887745,-0.91851354,1.0,1.0,1.0,0.028099477,0.013013251,-0.011097908,0.002999598,0.0018801863,-0.0047745625,1.0001705,1.0002208,1.0000284,0.012631137,0.0027089173,0.0019705612,-0.0022418732,-0.00010449154,-0.0008714039,1,0,1
28533775,28346120,28346120,0,0.25972694,-0.011119585,-0.96561813,1.0,1.0,1.0,-0.057452947,0.014536157,-0.013704956,0.011220474,0.0027876513,-0.004171883,1.0001637,1.0002195,1.0000069,0.052804817,0.003380056,0.0030051921,0.0077977837,-0.0002956477,-0.0006843335,1,0,1
29036600,28848747,28848747,0,0.48945674,-0.071700275,-0.8690749,1.0,1.0,1.0,-0.027854621,-0.000772357,-0.015046954,-0.011580274,-0.0065945527,-0.009525403,1.0001262,1.000211,1.0000379,0.012412512,9.542551e-06,0.003622436,-0.0092707835,-0.002844715,-0.003361891,1,0,1
29529404,29341518,29341518,0,0.49603358,-0.0943082,-0.86316663,1.0,1.0,1.0,-0.034211516,0.03600671,-0.021887839,-0.0077380626,-0.001192086,-0.0059465086,1.0001236,1.000204,1.0000364,0.018724531,0.020739501,0.0076649613,-0.006622769,-0.0008296475,-0.0025412762,1,0,1
30032149,29844145,29844145,0,0.2699317,-0.073732406,-0.9600523,1.0,1.0,1.0,0.030336529,-0.011388436,0.0100031495,0.00055897655,-0.012996838,-0.0007874017,1.0001312,1.0002072,1.0000161,0.014722947,0.002074714,0.0016009823,-0.001613055,-0.008494156,-0.00086269574,1,0,1
30534463,30346772,30346772,0,0.1107725,-0.08611582,-0.99010783,1.0,1.0,1.0,0.067246415,0.064022645,0.006328881,0.025120055,0.0062504173,0.0020649708,1.0001302,1.000211,1.0000045,0.07234386,0.06556855,0.0006408728,0.019449761,0.0038905304,-0.00013232017,1,0,1
31038307,30849400,30849400,0,0.5271385,-0.022190416,-0.84948957,1.0,1.0,1.0,-0.09253883,-0.0338924,-0.049386322,-0.01777638,-0.0066039963,-0.012780835,1.0001031,1.0002087,1.000026,0.13700084,0.018375283,0.039023127,-0.020872047,-0.0034769685,-0.0071376516,1,0,1
31539702,31352029,31352029,0,0.08322311,-0.023926554,-0.9962437,1.0,1.0,1.0,0.031984948,-0.017570531,0.0037693381,-0.0069013047,-0.0037459496,-0.0074147135,1.0001223,1.0002095,1.0000023,0.016366588,0.004938543,0.00022732605,-0.013363439,-0.0021771186,-0.00458847,1,0,1
32032745,31844802,31844802,0,0.019736296,0.035007954,-0.9991922,1.0,1.0,1.0,0.010402273,-0.0060330387,6.663799e-05,0.005446665,-0.0028240897,-0.0024239775,1.0001191,1.0002085,1.0000002,0.0017311105,0.0005822395,7.104994e-08,-0.002090376,-0.000866605,-0.0017184995,1,0,1
32535077,32347431,32347431,0,0.038053118,0.053883854,-0.9978219,1.0,1.0,1.0,-0.0138613675,-0.01751785,-0.0012236238,0.0025698221,-0.0062390007,-0.0011417805,1.0001203,1.0002038,1.0000004,0.0030738304,0.0049090004,2.3956072e-05,-0.0007162672,-0.0015985502,-0.0006385866,1,0,1
33038222,32850060,32850060,0,0.18899827,-0.0061125066,-0.98195845,1.0,1.0,1.0,-0.014389604,0.008135897,-0.002677381,0.019532027,0.0041150907,-1.160847e-05,1.0001159,1.0002007,1.0000036,0.0033125875,0.0010588727,0.0001146935,0.0128793055,0.0023614422,-0.0002206664,1,0,1
33530930,33342837,33342837,0,0.36547184,-0.014983074,-0.9307018,1.0,1.0,1.0,-0.017440945,-0.0073207086,-0.0065160394,-0.0072568674,-0.0026443661,-0.0048177936,1.0001049,1.000198,1.0000153,0.004866475,0.0008573147,0.00067932997,-0.0025848718,-0.00010430955,-0.0009217967,1,0,1
34033146,33845465,33845465,0,0.30365285,-0.0018903204,-0.9527809,1.0,1.0,1.0,0.004290104,0.017317485,0.001501143,-0.002514907,-0.002627639,-0.0017950204,1.0001085,1.0001968,1.000011,0.0002944479,0.0047973804,3.6054487e-05,-0.0011250079,-0.00044369214,-0.00037412829,1,0,1
