timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,beta_innov,beta_innov_var
78136050,77948142,0.0,0.0,1.0,1.0,6.518103,2.2909636,4.8434796,0.0
78145933,77957998,0.0,0.0,1.0,1.0,6.518103,2.2909636,4.8434796,0.0
79131511,78943550,-0.15863918,-0.3804042,0.97628033,0.16775504,12.737098,2.9408162,0.09610959,0.0
80136903,79948812,-0.0413392,-0.5190505,0.9145769,0.13450798,14.325869,2.831286,0.09551216,0.0
81132119,80944216,-0.24916478,-0.4932788,0.6439028,0.1316582,14.850378,2.4437883,0.09806094,0.0
82137593,81949473,-0.5203195,-0.5604604,0.43513474,0.12773778,3.567246,2.1896858,0.09373083,0.0
83132926,82944872,-3.0292544,-0.7060268,0.28334928,0.12699516,10.440382,2.1129642,0.11200818,0.0
84137956,83950128,-3.6280308,0.64661217,0.26737115,0.1008543,9.281175,2.1754322,0.09707365,0.0
85133325,84945530,-2.8586478,1.262744,0.23258938,0.06630398,8.815606,2.1257422,0.099768944,0.0
86128738,85940933,-2.4334886,1.5142214,0.1794182,0.049243893,8.837518,2.1026397,0.09923261,0.0
87134045,86946193,-2.2488754,1.5986153,0.13965198,0.044505786,8.837518,2.1026397,0.097000636,0.0
88139335,87951454,-2.1901693,1.620082,0.12163773,0.045277223,8.837518,2.1026397,0.09568265,0.0
89134665,88946861,-2.161332,1.6272944,0.11302267,0.047497105,8.837518,2.1026397,0.09504074,0.0
90130120,89942268,-2.1575522,1.6285776,0.1164698,0.051447283,8.837518,2.1026397,0.09504074,0.0
91135329,90947532,-2.1620781,1.6305114,0.12024817,0.055376966,8.837518,2.1026397,0.09504074,0.0
92140642,91952797,-2.1685548,1.633278,0.124034576,0.059204794,8.837518,2.1026397,0.09504074,0.0
93136047,92948207,-2.1724448,1.6360333,0.1276982,0.06288307,8.837518,2.1026397,0.09504074,0.0
94131440,93943618,-2.1745229,1.6388144,0.13125943,0.066454485,8.837518,2.1026397,0.09504074,0.0
95136696,94948886,-2.175364,1.6422359,0.13475786,0.06995862,8.837518,2.1026397,0.09504074,0.0
96132402,95944299,-2.1755571,1.6450913,0.13813385,0.073336765,8.837518,2.1026397,0.09504074,0.0
97137400,96949568,-2.1749072,1.6475892,0.14146265,0.07666454,8.837518,2.1026397,0.09504074,0.0
98132831,97944982,-2.1739144,1.64988,0.14468692,0.07988561,8.837518,2.1026397,0.09504074,0.0
98852252,98664440,-2.1731815,1.6513685,0.14697678,0.08217259,8.837518,2.1026397,0.09504074,0.0
113369790,113181808,-2.1731815,1.6513685,0.18826047,0.12345596,8.837518,2.1026397,0.09526078,0.0
113379585,113191664,-2.1731815,1.6513685,0.1882853,0.123480804,8.837518,2.1026397,0.09526078,0.0
114365032,114177232,-2.9960332,0.40394688,0.16642874,0.08397327,8.837518,2.1026397,0.099386185,0.0
115370403,115182513,-2.3405921,-0.7776264,0.14414191,0.044239756,8.837518,2.1026397,0.11056266,0.0
116365790,116177938,-1.9382237,-1.1026589,0.123828396,0.033562876,8.837518,2.1026397,0.111149296,0.0
117371276,117183220,-1.9300324,-1.1272216,0.1263932,0.035836354,8.837518,2.1026397,0.111149296,0.0
118366519,118178647,-1.9229575,-1.146971,0.12905471,0.038416818,8.837518,2.1026397,0.111149296,0.0
119371908,119183930,-1.3252312,-1.4830321,0.07831649,0.02056406,8.837518,2.1026397,0.1231953,0.0
120367211,120179357,-0.8531113,-1.4394743,0.033004526,0.022458363,8.837518,2.1026397,0.11611192,0.0
121372440,121184641,-0.6318145,-1.4718884,0.020785209,0.024350157,8.837518,2.1026397,0.098135635,0.0
122367894,122180068,-0.5062658,-1.4878051,0.019274049,0.02695512,8.837518,2.1026397,0.09826441,0.0
123373177,123185351,-0.49700937,-1.4866374,0.021328699,0.029681865,8.837518,2.1026397,0.09826441,0.0
124368780,124180778,-0.48817447,-1.4858863,0.023828484,0.032405566,8.837518,2.1026397,0.09826441,0.0
125363992,125176206,-0.4782978,-1.4855263,0.02649223,0.03514371,8.837518,2.1026397,0.09826441,0.0
126369296,126181489,-0.21407703,-1.64019,0.021871237,0.03594264,8.837518,2.1026397,0.10837607,0.0
127364706,127176918,0.48020473,-1.7361889,0.015867576,0.034039382,8.837518,2.1026397,0.10547375,0.0
128370088,128182202,0.4151986,-1.874849,0.014963388,0.025910996,8.837518,2.1026397,0.09431409,0.0
129365453,129177631,0.40280238,-1.8826145,0.016139446,0.02602618,8.837518,2.1026397,0.09433252,0.0
130370707,130182915,0.35634366,-1.9870172,0.017915707,0.025374006,8.837518,2.1026397,0.092512384,0.0
131366221,131178343,0.3577451,-2.0018363,0.019417536,0.025387665,8.837518,2.1026397,0.0929546,0.0
132371415,132183627,0.41979977,-1.9447454,0.020419907,0.025174169,8.837518,2.1026397,0.09518112,0.0
133367079,133179052,0.5202972,-1.8449854,0.021119082,0.0252726,8.837518,2.1026397,0.095071465,0.0
134362324,134174478,0.5287038,-1.8503698,0.022687653,0.0250348,8.837518,2.1026397,0.09336636,0.0
135367547,135179760,0.54047054,-1.8760437,0.023879923,0.024703743,8.837518,2.1026397,0.095001,0.0
136373309,136185042,0.6560532,-1.8939134,0.023582846,0.025537182,8.837518,2.1026397,0.0940555,0.0
137368383,137180469,0.64391375,-1.9583305,0.025082216,0.02581936,8.837518,2.1026397,0.09268516,0.0
138363988,138175895,0.63063014,-2.0428317,0.027317101,0.026496368,8.837518,2.1026397,0.09232184,0.0
139369019,139181177,0.6165569,-2.0715938,0.02908249,0.028091216,8.837518,2.1026397,0.092223175,0.0
140374251,140186460,0.7801472,-2.1153471,0.029949177,0.0302362,8.837518,2.1026397,0.093440756,0.0
141369724,141181888,0.9299308,-2.0558908,0.031850554,0.0326751,8.837518,2.1026397,0.109997086,0.0
142365116,142177317,0.93968785,-2.0508966,0.034329254,0.035241667,8.837518,2.1026397,0.12353813,0.0
143370402,143182603,0.9467704,-2.046607,0.036918335,0.03787539,8.837518,2.1026397,0.09812332,0.0
144365835,144178035,0.95350575,-2.043106,0.039528336,0.04050741,8.837518,2.1026397,0.09598317,0.0
145371188,145183323,0.95371723,-2.0435512,0.042170316,0.043159537,8.837518,2.1026397,0.09598317,0.0
146366601,146178756,0.95323205,-2.0432923,0.044803165,0.04579773,8.837518,2.1026397,0.09598317,0.0
147371857,147184045,0.95336235,-2.043347,0.047495432,0.048491936,8.837518,2.1026397,0.09598317,0.0
148367317,148179479,0.95316994,-2.0433114,0.05019395,0.051191192,8.837518,2.1026397,0.09598317,0.0
149372610,149184770,0.95398515,-2.0430796,0.052941117,0.053938713,8.837518,2.1026397,0.09598317,0.0
150368182,150180206,0.95350206,-2.0430436,0.055672888,0.056670845,8.837518,2.1026397,0.09598317,0.0
150664020,150475880,0.9537272,-2.0428276,0.056489132,0.057487123,8.837518,2.1026397,0.09598317,0.0
164077583,163889700,0.95378214,-2.0428069,1.0,1.0,8.837518,2.1026397,0.2180684,0.0
164087564,163899555,0.95378214,-2.0428069,1.0,1.0,8.837518,2.1026397,0.2180684,0.0
165073217,164885143,-3.93219,-2.7563121,0.36813956,0.38263378,8.837518,2.1026397,0.0928482,0.0
166078303,165890443,-4.012753,-1.9042356,0.36833984,0.30183092,8.837518,2.1026397,0.093244605,0.0
167073799,166885884,-3.8647344,-1.0683662,0.3673265,0.24013261,8.837518,2.1026397,0.09386509,0.0
168079249,167891180,-3.359946,-0.35570315,0.34814808,0.20593677,8.837518,2.1026397,0.09479486,0.0
169074492,168886619,-2.1358833,0.108528,0.26355073,0.1952547,8.837518,2.1026397,0.09852141,0.0
170079828,169891910,-1.2468224,-0.18346635,0.14051913,0.15888299,8.837518,2.1026397,0.10220856,0.0
171075195,170887344,-1.1695479,0.050464556,0.13551678,0.121613845,8.837518,2.1026397,0.09292915,0.0
172080497,171892631,-0.7822649,0.08105241,0.1245722,0.12218064,8.837518,2.1026397,0.09122815,0.0
173075972,172888059,-0.49177897,-0.13034017,0.12094382,0.12050238,8.837518,2.1026397,0.090844855,0.0
174081172,173893341,-0.45949858,-0.24146108,0.12288938,0.11573059,8.837518,2.1026397,0.09144512,0.0
175076573,174888764,-0.4619254,-0.26951113,0.1231085,0.11038674,8.837518,2.1026397,0.091876976,0.0
176072031,175884185,-0.4557575,-0.24697712,0.11133004,0.11120793,8.837518,2.1026397,0.094114445,0.0
177077264,176889460,-0.4054018,-0.22047995,0.1043691,0.102954485,8.837518,2.1026397,0.09277916,0.0
178082536,177894732,-0.30155578,-0.06479096,0.10410932,0.09456142,8.837518,2.1026397,0.09221929,0.0
179077956,178890147,0.0032137542,-0.04043583,0.09885893,0.09625731,8.837518,2.1026397,0.09092358,0.0
180073392,179885560,0.12107716,-0.15939596,0.10000542,0.096859396,8.837518,2.1026397,0.09048793,0.0
181078631,180890826,0.12480209,-0.20936759,0.10234255,0.09575712,8.837518,2.1026397,0.09089957,0.0
182074048,181886234,0.1496809,-0.20316733,0.09954617,0.0938875,8.837518,2.1026397,0.09225445,0.0
183079304,182891496,0.2548506,-0.1782774,0.087012105,0.09527553,8.837518,2.1026397,0.093835674,0.0
184074710,183886902,0.24313036,-0.15049013,0.074676,0.09406826,8.837518,2.1026397,0.09296591,0.0
185079980,184892162,0.30650055,-0.054234717,0.0755597,0.09195625,8.837518,2.1026397,0.09062707,0.0
186075378,185887563,0.44233438,-0.12366351,0.07566333,0.09375078,8.837518,2.1026397,0.09053748,0.0
187081024,186892818,0.51734525,-0.28723845,0.07766885,0.09415932,8.837518,2.1026397,0.090575255,0.0
188076060,187888216,1.6041797,0.20371932,0.032867867,0.053415895,8.837518,2.1026397,0.09850464,0.0
189071710,188883614,1.298423,0.7717883,0.02937807,0.032101896,8.837518,2.1026397,0.101855606,0.0
190076806,189888869,1.0404172,1.00998,0.02523032,0.029809432,8.837518,2.1026397,0.10677795,0.0
191081933,190894125,0.89949244,1.0996963,0.02241126,0.03071511,8.837518,2.1026397,0.10656699,0.0
192077333,191889527,0.83774287,1.1336083,0.021880047,0.03260745,8.837518,2.1026397,0.10671564,0.0
193072813,192884931,0.8059591,1.148783,0.02194418,0.034740686,8.837518,2.1026397,0.10798387,0.0
194077979,193890191,0.77902275,1.1585627,0.02187149,0.036992956,8.837518,2.1026397,0.10937718,0.0
195073565,194885597,0.76514333,1.1616819,0.022024427,0.039318003,8.837518,2.1026397,0.10951234,0.0
196078654,195890860,0.7580452,1.1618056,0.022142336,0.04170593,8.837518,2.1026397,0.11049539,0.0
197074281,196886268,0.7488616,1.1639333,0.022038018,0.04402508,8.837518,2.1026397,0.11043706,0.0
198079387,197891534,0.7452249,1.1646569,0.022213908,0.046361145,8.837518,2.1026397,0.1107514,0.0
199074748,198886945,0.73913884,1.1672205,0.022458674,0.048606683,8.837518,2.1026397,0.11016515,0.0
200080008,199892212,0.7326345,1.1701577,0.022607327,0.05081189,8.837518,2.1026397,0.10982887,0.0
201075463,200887625,0.7259514,1.173339,0.022986464,0.05297963,8.837518,2.1026397,0.10921613,0.0
202080854,201892895,0.7200427,1.1760154,0.02323305,0.05514237,8.837518,2.1026397,0.10824041,0.0
203076100,202888310,0.71795905,1.1767092,0.023601672,0.05733247,8.837518,2.1026397,0.107639074,0.0
204081394,203893582,0.71204174,1.1789232,0.024041478,0.05953253,8.837518,2.1026397,0.10686035,0.0
205077046,204889000,0.71078706,1.1790888,0.024233995,0.061710935,8.837518,2.1026397,0.10633912,0.0
206082257,205894277,0.71026635,1.1789603,0.024657635,0.06394095,8.837518,2.1026397,0.105765074,0.0
207077526,206889694,0.7057448,1.1804885,0.025119562,0.066117406,8.837518,2.1026397,0.105403,0.0
208073058,207885114,0.7021702,1.1819086,0.025437558,0.068245575,8.837518,2.1026397,0.105001345,0.0
209078246,208890391,0.70053744,1.1824608,0.025951846,0.07046609,8.837518,2.1026397,0.10455703,0.0
210073908,209885814,0.6972152,1.1835465,0.02645867,0.07266564,8.837518,2.1026397,0.10444047,0.0
211078888,210891093,0.6931136,1.1849586,0.026830174,0.07483463,8.837518,2.1026397,0.1043063,0.0
212074306,211886517,0.69179726,1.1850585,0.027346672,0.0770457,8.837518,2.1026397,0.104265325,0.0
213079794,212891798,0.6924757,1.1841893,0.027829256,0.07933714,8.837518,2.1026397,0.104442425,0.0
214075026,213887224,0.69109756,1.1841626,0.028062398,0.08158207,8.837518,2.1026397,0.104580514,0.0
215080533,214892509,0.6889194,1.1844245,0.028528009,0.083907194,8.837518,2.1026397,0.104508415,0.0
216075772,215887935,0.68366575,1.1860238,0.029020546,0.08617468,8.837518,2.1026397,0.10469439,0.0
217071185,216883364,0.67889017,1.1876345,0.029311907,0.088399194,8.837518,2.1026397,0.10480817,0.0
218076463,217888650,0.6728319,1.190141,0.029909756,0.09064955,8.837518,2.1026397,0.10449957,0.0
219081735,218893936,0.66809505,1.1919409,0.03050227,0.0929236,8.837518,2.1026397,0.10468116,0.0
220077158,219889367,0.66183156,1.1945136,0.03083274,0.09514657,8.837518,2.1026397,0.104640685,0.0
221072600,220884800,0.6552663,1.1971327,0.031376258,0.09741807,8.837518,2.1026397,0.10460701,0.0
222077877,221890089,0.64820886,1.1999948,0.03195857,0.09970537,8.837518,2.1026397,0.10484376,0.0
223073371,222885522,0.6415592,1.2026334,0.032261282,0.10194847,8.837518,2.1026397,0.105046764,0.0
224078651,223890813,0.6365857,1.2045027,0.032819375,0.104247704,8.837518,2.1026397,0.105115384,0.0
225074114,224886249,0.63476354,1.2047513,0.033261623,0.10657659,8.837518,2.1026397,0.10557525,0.0
226079397,225891541,0.63446915,1.2044486,0.033469446,0.10891282,8.837518,2.1026397,0.105919525,0.0
227074797,226886978,0.63582903,1.203458,0.033856764,0.111273184,8.837518,2.1026397,0.10603775,0.0
