timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
69343889,1,0,1,0,0,0,0
69851655,1,0,1,0,0,0,0
70357807,1,0,1,0,0,0,0
70545283,1,0,1,0,0,0,0
71050758,1,0,1,0,0,0,0
71556658,1,0,1,0,0,0,0
72062676,1,0,1,0,0,0,0
72568658,1,0,1,0,0,0,0
73074816,1,0,1,0,0,0,0
73580658,1,0,1,0,0,0,0
74087227,1,0,1,0,0,0,0
74592658,1,0,1,0,0,0,0
75098672,1,0,1,0,0,0,0
75604830,1,0,1,0,0,0,0
76110658,1,0,1,0,0,0,0
76616658,1,0,1,0,0,0,0
77123642,1,0,1,0,0,0,0
77629647,1,0,1,0,0,0,0
78135752,1,0,1,0,0,0,0
78641640,1,0,1,0,0,0,0
79148186,1,0,1,0,0,0,0
79653639,1,0,1,0,0,0,0
80159638,1,0,1,0,0,0,0
80665969,1,0,1,0,0,0,0
81171946,1,0,1,0,0,0,0
81677661,1,0,1,0,0,0,0
82183663,1,0,1,0,0,0,0
82689636,1,0,1,0,0,0,0
83195754,1,0,1,0,0,0,0
83701661,1,0,1,0,0,0,0
84207640,1,0,1,0,0,0,0
84713639,1,0,1,0,0,0,0
85219637,1,0,1,0,0,0,0
85725819,1,0,1,0,0,0,0
86231640,1,0,1,0,0,0,0
86737639,1,0,1,0,0,0,0
87243771,1,0,1,0,0,0,0
87749647,1,0,1,0,0,0,0
88255752,1,0,1,0,0,0,0
88761646,1,0,1,0,0,0,0
89202214,1,0,1,0,0,0,0
89212872,1,0,1,0,0,0,0
89554480,1,0,1,0,0,0,0
89564752,1,0,1,0,0,0,0
89641753,1,0,1,0,0,0,0
89652878,1,0,1,0,0,0,0
89740854,1,0,1,0,0,0,0
89751797,1,0,1,0,0,0,0
90257639,1,0,1,0,0,0,0
90763655,1,0,1,0,0,0,0
91269645,1,0,1,0,0,0,0
91775639,1,0,1,0,0,0,0
92281769,1,0,1,0,0,0,0
92787657,1,0,1,0,0,0,0
93293694,1,0,1,0,0,0,0
93799715,1,0,1,0,0,0,0
94305658,1,0,1,0,0,0,0
94811770,1,0,1,0,0,0,0
95319637,1,0,1,0,0,0,0
95825660,1,0,1,0,0,0,0
96331648,1,0,1,0,0,0,0
96837639,1,0,1,0,0,0,0
97343643,1,0,1,0,0,0,0
97850639,1,0,1,0,0,0,0
98356640,1,0,1,0,0,0,0
98862665,1,0,1,0,0,0,0
99248056,1,0,1,0,0,0,0
99753636,1,0,1,0,0,0,0
100259632,1,0,1,0,0,0,0
100766635,1,0,1,0,0,0,0
101273715,1,0,1,0,0,0,0
101779748,1,0,1,0,0,0,0
102285635,1,0,1,0,0,0,0
102791652,1,0,1,0,0,0,0
103298635,1,0,1,0,0,0,0
103804633,1,0,1,0,0,0,0
104310635,1,0,1,0,0,0,0
104387938,0,0,1,0,0,0,0
104399412,0,0,1,0,0,0,0
104411297,0,0,1,0,0,0,0
104916656,0,0,1,0,0,0,0
