timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,beta_innov,beta_innov_var
42794303,42604168,0.5425478,-0.1364704,1.0000248,1.0000272,-0.839481,2.964587,0.38705733,0.0
76232436,76042403,0.5425478,-0.1364704,1.0000248,1.0000272,32.350426,10.910854,0.13220431,0.0
76242415,76052382,0.5427764,-0.13602582,1.0000244,1.0000261,32.350426,10.910854,0.13220431,0.0
76731544,76541337,0.6695762,-0.29248962,0.99390566,0.9896198,39.87456,11.109053,0.13613541,0.0
77230284,77040270,0.671036,-0.2945879,0.992692,0.98627955,33.682518,10.917914,0.11288771,0.0
77729168,77539203,0.7318274,-0.3826199,0.9931197,0.9855232,37.701004,10.8373575,0.11540436,0.0
78228100,78038136,0.8759431,-0.5504998,0.99237436,0.98335475,37.245655,11.082913,0.112895176,0.0
78727105,78537069,0.9888313,-0.6519631,0.9897479,0.978832,27.775335,11.260702,0.106841594,0.0
79226211,79036002,1.1380584,-0.8204657,0.988485,0.97635704,25.574795,11.202568,0.102485895,0.0
79734880,79544914,1.2450918,-0.94668806,0.9873555,0.97394556,34.562065,11.090611,0.10125204,0.0
80223949,80033867,1.3749565,-1.1182446,0.9873411,0.973074,35.778675,10.94401,0.09757421,0.0
80732749,80542779,1.4635257,-1.2495296,0.98749024,0.97183174,34.628864,10.534426,0.15606815,0.0
81231783,81041712,1.4707501,-1.2614207,0.9884285,0.9717689,26.668842,10.654283,0.18743788,0.0
81730615,81540643,1.5093489,-1.3085929,0.9892552,0.9700635,24.372128,10.313126,0.15987116,0.0
82229633,82039575,1.5134497,-1.2930717,0.99030876,0.9681995,30.669748,9.773951,0.15172467,0.0
82728474,82538507,1.5083292,-1.2681205,0.9914459,0.96666664,22.9744,9.718374,0.13531058,0.0
83227458,83037439,1.5170577,-1.2999492,0.9927024,0.96630114,23.519062,9.7052355,0.12413991,0.0
83726340,83536371,1.5240322,-1.3118991,0.9940233,0.9661831,30.964764,9.7104645,0.13250303,0.0
84225312,84035302,1.5293803,-1.3179575,0.99540395,0.96610916,29.891949,9.823499,0.13179931,0.0
84724223,84534234,1.5319376,-1.3198656,0.99696237,0.9668043,31.00625,9.882502,0.13370894,0.0
85233141,85043145,1.5597235,-1.3960475,0.998649,0.9677098,30.496483,9.856003,0.12611447,0.0
85732284,85542075,1.5670422,-1.407123,1.000004,0.96865034,30.19462,9.973775,0.12077399,0.0
86231011,86041006,1.5737836,-1.4196185,1.0000064,0.9697808,24.075903,10.163929,0.122081876,0.0
86729937,86539937,1.588232,-1.458104,1.0000273,0.97078687,22.947954,10.226236,0.120056555,0.0
87228838,87038867,1.62179,-1.5654567,1.000013,0.9713968,30.709835,9.91595,0.123350225,0.0
87727880,87537798,1.6599011,-1.690401,0.9999602,0.97164637,22.362782,9.712359,0.1209107,0.0
88226975,88036728,1.6848489,-1.7983125,1.0000201,0.97213066,24.783525,9.502577,0.11915738,0.0
88725622,88535658,1.7124046,-1.8512594,1.0000148,0.9728352,24.497313,9.498638,0.11915738,0.0
89234592,89044567,1.71836,-1.7664984,1.0000252,0.9725685,23.413418,9.110338,0.09715239,0.0
89733540,89543497,2.0501359,-1.6056988,0.99676174,0.97140193,21.351885,9.048149,0.121672094,0.0
90232392,90042427,2.069409,-1.6654671,0.99798745,0.9723055,26.07899,8.72924,0.14035459,0.0
90731335,90541357,2.1392543,-1.6038064,0.999122,0.9729048,19.474821,9.392131,0.1407014,0.0
91230275,91040287,2.180301,-1.6070832,1.0000278,0.9746724,21.422888,9.755533,0.12183841,0.0
91729397,91539218,2.2301776,-1.5948759,1.0000336,0.9765692,22.830927,10.247447,0.11671963,0.0
92228322,92038148,2.2792587,-1.5732734,1.0000422,0.978743,25.922672,10.65403,0.11263056,0.0
92727237,92537079,2.3308132,-1.5519173,1.0000037,0.9812171,29.388617,10.971013,0.10902249,0.0
93226174,93036010,2.3803263,-1.5368593,1.0000458,0.9840287,32.51157,11.16555,0.10606114,0.0
93735075,93544920,2.432281,-1.5202054,1.0000271,0.98721206,35.111702,11.268198,0.1033336,0.0
94224030,94033872,2.4832485,-1.5084847,1.0000379,0.99043787,38.84938,11.295917,0.10178406,0.0
94733209,94542782,2.5352554,-1.5070237,1.0000539,0.9939961,42.013565,11.228762,0.10050313,0.0
95231822,95041714,2.5812635,-1.5112736,1.0000107,0.99765235,44.513523,11.138086,0.09960914,0.0
95730755,95540645,2.6291616,-1.5185786,1.000053,1.0000105,47.514526,11.016549,0.09883563,0.0
96229732,96039577,2.6740985,-1.5300411,1.000036,1.0000076,49.370476,10.891946,0.09820666,0.0
96728660,96538509,2.7137125,-1.5458024,1.0000128,1.0000042,52.529522,10.742511,0.097685084,0.0
97227894,97037442,2.7523572,-1.5631812,0.99999666,1.0000377,55.111282,10.593452,0.097164005,0.0
97726552,97536374,2.7837012,-1.5824349,1.0000002,1.0000211,57.072056,10.484433,0.09672137,0.0
98225413,98035307,2.808804,-1.599943,1.0000149,1.0000098,59.500813,10.377357,0.09645536,0.0
98724372,98534240,2.8305106,-1.6161528,1.0000404,1.0000408,60.50695,10.28641,0.096121706,0.0
99233352,99043151,2.8462424,-1.6292702,1.0000713,1.000065,62.61187,10.240215,0.09594974,0.0
99732173,99542085,2.854368,-1.6384685,1.0000352,1.0000284,63.979748,10.243029,0.095762275,0.0
100231211,100041018,2.8600032,-1.6455168,1.0000112,1.0000187,65.61352,10.254711,0.095562376,0.0
100730042,100539952,2.8616176,-1.6500752,1.000074,1.0000126,66.7312,10.299982,0.095437355,0.0
101229353,101038886,2.8549216,-1.6538761,1.000064,1.0000145,67.75938,10.3834915,0.09538785,0.0
101727917,101537822,2.8495908,-1.6516057,1.0000671,1.0000304,69.73265,10.486195,0.0952546,0.0
102226923,102036753,2.8420632,-1.6468605,1.000001,1.000032,69.95656,10.612332,0.09512461,0.0
102725877,102535688,2.835326,-1.6385579,1.0000193,1.0000385,70.49171,10.769853,0.09505927,0.0
103234752,103044601,2.8337462,-1.624579,1.0000386,1.0000327,70.760956,10.933067,0.09505927,0.0
103733630,103543536,2.8306808,-1.6094689,1.0000551,1.0000049,71.655365,11.104828,0.09505927,0.0
104232595,104042473,2.8269205,-1.5959564,1.0000067,1.0000478,72.00771,11.286223,0.09505927,0.0
104731506,104541405,2.822316,-1.5817868,1.0000306,1.0000085,72.80366,11.464355,0.09505927,0.0
105230528,105040340,2.8156185,-1.5648495,1.0000317,1.0000575,72.2654,11.617664,0.09505927,0.0
