timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
69396812,4259850,4259850,2490378,0,0,0.08185635,0.08185635,0.0,0.0,4325386,4325386,2490378,0,0,0.014936652,0.014936654,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
69401798,4259850,4259850,2490378,0,0,0.08151334,0.08151332,0.0,0.0,4325386,4325386,2490378,0,0,0.014600286,0.014600289,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
69601364,4259850,4259850,2490378,0,0,0.093145765,0.09314575,0.0,0.0,4325386,4325386,2490378,0,0,0.008877521,0.0088775195,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
69800981,4259850,4259850,2490378,0,0,0.08582492,0.08582501,0.0,0.0,4325386,4325386,2490378,0,0,0.009401766,0.0094017675,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
70000512,4259850,4259850,2490378,0,0,0.1250039,0.12500393,0.0,0.0,4325386,4325386,2490378,0,0,0.0057965573,0.0057965578,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
70200091,4259850,4259850,2490378,0,0,0.093275756,0.093275756,0.0,0.0,4325386,4325386,2490378,0,0,0.006177668,0.006177663,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
70399652,4259850,4259850,2490378,0,0,0.07566661,0.07566656,0.0,0.0,4325386,4325386,2490378,0,0,0.0024950283,0.0024950267,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
70599229,4259850,4259850,2490378,0,0,0.07617169,0.07617166,0.0,0.0,4325386,4325386,2490378,0,0,0.007041516,0.007041515,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
70798807,4259850,4259850,2490378,0,0,0.09069867,0.0906987,0.0,0.0,4325386,4325386,2490378,0,0,0.0072632963,0.007263298,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
71003366,4259850,4259850,2490378,0,0,0.09301272,0.09301281,0.0,0.0,4325386,4325386,2490378,0,0,0.006932924,0.0069329264,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
