timestamp,lat,lon,alt,x,y,z,yaw,update_count,valid_alt,valid_hpos,valid_lpos,manual_home
157815907,31.189953288749212,117.20103577426549,28.78769,-5.6276975,5.1548786,1.4770317,0.21659237,560,1,1,1,0
158480757,31.18995345045101,117.20103629200901,28.780882,-5.609717,5.2041273,1.483839,0.16744955,561,1,1,1,0
169591717,31.189957368419076,117.20103274726951,29.331835,-5.174059,4.8669434,0.9328861,1.3046117,562,1,1,1,0
209724974,31.189742855607623,117.20134477285325,28.213413,-29.02674,34.5476,2.0513077,0.895507,563,1,1,1,0
212102169,31.189770930597653,117.20132920884764,28.182419,-25.904947,33.067104,2.082302,-2.6990218,564,1,1,1,0
268140735,31.18996662850924,117.20102722023321,28.597183,-4.144384,4.341199,1.6675377,1.0542485,565,1,1,1,0
349697621,31.18996662850924,117.20102722023321,28.597183,-4.144384,4.341199,1.6675377,1.0738398,565,1,1,1,0
484713973,31.189972388101133,117.20118577449011,28.664848,-3.6122234,19.046495,1.6211262,-1.0275472,566,1,1,1,0
529351911,31.189776443674933,117.2013421754071,29.308725,-25.400211,33.92377,0.97724915,-0.6406387,567,1,1,1,0
534609927,31.1897339450743,117.2013187578395,29.979242,-30.125847,31.69625,0.30673218,0.38333502,568,1,1,1,0
