timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_filtered,innovation_variance,test_ratio,test_ratio_filtered,estimator_instance,innovation_rejected,fused
78574238,78384866,0,0,-4.659592,1.9599999,5.281104,4.389506,2.2417135,0.4976561,0.40983173,1,0,0
79076860,78884866,0,0,-4.896744,1.9599999,5.5965996,5.286323,2.758995,0.4541063,0.47936848,1,0,0
79579332,79384866,0,0,-4.345143,1.9599999,5.158434,5.2050543,2.679996,0.39715642,0.42841333,1,0,0
80081505,79884866,0,0,-6.2666564,1.9599999,9.479975,7.0986657,2.3237762,1.5469633,0.91969967,1,1,0
80574224,80384866,0,0,-4.3451753,1.9599999,9.420967,8.335239,2.3468435,1.512749,1.2271197,1,1,0
81076559,80884866,0,0,-4.8385806,1.9599999,11.175491,9.507907,2.3655505,2.11184,1.5739669,1,1,0
81579504,81384866,0,0,-7.1518064,1.9599999,13.649946,12.584672,2.3770506,3.1353314,2.8725152,1,1,0
82081470,81884866,0,0,-4.5356812,1.9599999,11.211054,12.70855,2.3781474,2.1140444,2.848072,1,1,0
82574054,82384866,0,0,-4.764048,1.9599999,11.477845,11.925928,2.3806982,2.213484,2.4514909,1,1,0
83076517,82884866,0,0,-4.5976343,1.9599999,11.015075,11.466418,2.3862832,2.0338218,2.2352304,1,1,0
83578961,83384867,0,0,-4.9382496,1.9599999,11.579182,11.078966,2.3867877,2.2469943,2.0750682,1,1,0
84081440,83884866,0,0,-4.8074994,1.9599999,11.375685,11.305818,2.38966,2.1661024,2.1491525,1,1,0
84573982,84384866,0,0,-4.717662,1.9599999,11.23694,11.165915,2.3904033,2.1129293,2.0914097,1,1,0
85076396,84884866,0,0,-5.064673,1.9599999,11.369364,11.318535,2.3897135,2.1636474,2.1464016,1,1,0
85578910,85384888,0,0,-4.7177153,1.9599999,11.594919,11.487811,2.3892229,2.2508097,2.2104313,1,1,0
86081293,85884866,0,0,-4.8059955,1.9599999,11.725853,11.576152,2.392093,2.2991686,2.2431836,1,1,0
86573888,86384920,0,0,-4.835252,1.9599999,11.553282,11.500122,2.3936603,2.2305307,2.2123742,1,1,0
87076615,86884866,0,0,-4.3421755,1.9599999,11.030154,11.243754,2.3955374,2.0315158,2.1139727,1,1,0
87578777,87384904,0,0,-4.62528,1.9599999,11.312775,11.17569,2.397119,2.1355448,2.0868938,1,1,0
88081300,87884866,0,0,-4.1923347,1.9599999,10.76753,11.0982275,2.398672,1.9333982,2.0564156,1,1,0
88573864,88384866,0,0,-4.5317903,1.9599999,11.074669,11.03723,2.3992963,2.0447378,2.0323825,1,1,0
89076463,88884866,0,0,-4.0996094,1.9599999,10.651551,10.950927,2.4009597,1.8901699,1.9999554,1,1,0
89578706,89384866,0,0,-4.29158,1.9599999,10.869245,10.892484,2.4017618,1.9675636,1.9772973,1,1,0
90081160,89884881,0,0,-4.8916526,1.9599999,11.506638,11.080753,2.4028301,2.2041125,2.046395,1,1,0
90573749,90384867,0,0,-4.7739472,1.9599999,11.423697,11.282069,2.4038641,2.1715183,2.1199815,1,1,0
91076218,90884866,0,0,-4.7143955,1.9599999,11.387409,11.370128,2.4055173,2.1562612,2.1515458,1,1,0
91578633,91384867,0,0,-4.3399158,1.9599999,11.0145035,11.211771,2.4064445,2.0165732,2.0910978,1,1,0
92081126,91884866,0,0,-4.5301943,1.9599999,11.197821,11.228894,2.407398,2.083431,2.096187,1,1,0
92573676,92384866,0,0,-4.8025637,1.9599999,11.572855,11.365882,2.4086308,2.2241843,2.1468272,1,1,0
93076105,92884867,0,0,-4.3392005,1.9599999,11.059441,11.370829,2.4096444,2.0303614,2.14813,1,1,0
93578550,93384867,0,0,-4.773034,1.9599999,11.457208,11.394356,2.4108293,2.177966,2.1557446,1,1,0
94080994,93884867,0,0,-4.8900223,1.9599999,11.381061,11.375766,2.4122453,2.14785,2.1475644,1,1,0
