timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_filtered,innovation_variance,test_ratio,test_ratio_filtered,estimator_instance,innovation_rejected,fused
79614176,79424101,79424101,0,0.0,0.09,-2.6910133,-2.6910133,1.6292324,0.17779054,0.17779054,0,0,1
79773941,79583719,79583719,0,0.0,0.09,-2.8457985,-2.7284691,1.9097284,0.16962765,0.09372037,0,0,1
80093037,79902955,79902955,0,0.0,0.09,-1.0421864,-2.1402028,0.123614684,0.35146388,-0.17370424,0,0,1
80571983,80381810,80381810,0,0.0,0.09,-0.7059977,-1.3240715,0.094936796,0.21000613,-0.1880699,0,0,1
81050744,80860664,80860664,0,0.0,0.09,-1.2787037,-1.2195067,0.09365304,0.6983577,-0.39848545,0,0,1
81529654,81339519,81339519,0,0.0,0.09,-1.2824619,-1.2708384,0.09322751,0.7056752,-0.5897723,0,0,1
81689261,81499137,81499137,0,0.0,0.09,-1.1835864,-1.2497246,0.093164854,0.6014614,-0.5926009,0,0,1
82916321,82726202,82726202,0,0.0,0.09,-1.1337917,-1.172436,0.090751305,0.5665962,-0.57526445,0,0,1
83075887,82885820,82885820,0,0.0,0.09,-1.1560231,-1.1684643,0.090516776,0.59055996,-0.5789657,0,0,1
83554950,83364675,83364675,0,0.0,0.09,-1.3084934,-1.1975745,0.09202019,0.74425185,-0.62108254,0,0,1
84113435,83923341,83364675,0,0.0,0.09,-1.6816598,-1.4978371,0.0920722,1.2285923,-0.9957008,0,1,0
84612151,84422146,83364675,0,0.0,0.09,-1.9689798,-1.7061203,0.092999965,1.6674767,-1.2792592,0,1,0
85111205,84920953,83364675,0,0.0,0.09,-1.9758384,-1.8914084,0.092945084,1.6801051,-1.5591985,0,1,0
85490164,85300047,83364675,0,0.0,0.09,-2.034414,-1.9543948,0.09259131,1.788004,-1.6564347,0,1,0
99307054,99117009,83364675,0,0.0,0.09,-2.5006998,-2.318598,0.0935323,2.6743698,-2.3350582,0,1,0
99317061,99126985,83364675,0,0.0,0.09,-2.495206,-2.3220527,0.11655418,2.1367073,-2.3311782,0,1,0
99805840,99615816,83364675,0,0.0,0.09,-2.3855033,-2.4103723,0.12249412,1.8582529,-2.1437712,0,1,0
100184996,99994909,99994909,0,0.0,0.09,-1.465658,-2.1113148,0.12055281,0.7127676,-1.615792,0,0,1
100663916,100473764,100473764,0,0.0,0.09,0.7636378,-1.078225,0.1872295,0.1245835,-0.80646175,0,0,1
101302376,101112237,101112237,0,0.0,0.09,-0.13970266,-0.36736408,0.116086006,0.0067249564,-0.2638989,0,0,1
101781204,101591091,101591091,0,0.0,0.09,-0.18560538,-0.2530784,0.10450498,0.013185729,-0.12135586,0,0,1
102260007,102069945,102069945,0,0.0,0.09,-0.2288968,-0.22717077,0.09497744,0.022065764,-0.06321934,0,0,1
102738871,102548798,102548798,0,0.0,0.09,0.00031079975,-0.14544281,0.09335425,4.1389217e-08,-0.030796543,0,0,1
103217751,103027652,103027652,0,0.0,0.09,0.11871587,0.003675687,0.09586733,0.0058804005,-0.010042478,0,0,1
103696661,103506504,103506504,0,0.0,0.09,-0.14822382,-0.04317211,0.09668648,0.009089296,-0.00685555,0,0,1
104175411,103985356,103985356,0,0.0,0.09,-0.15361005,-0.12070922,0.09409067,0.010031195,-0.010853756,0,0,1
104654538,104464208,104464208,0,0.0,0.09,-0.031581264,-0.09193981,0.09287498,0.00042955647,-0.006228115,0,0,1
105292830,105102678,105102678,0,0.0,0.09,-0.039571926,-0.019848512,0.09320177,0.0006720633,-0.0017788102,0,0,1
105771589,105581528,105581528,0,0.0,0.09,-0.14117897,-0.08739142,0.09292367,0.00857973,-0.0055048894,0,0,1
106250737,106060379,106060379,0,0.0,0.09,-0.07239063,-0.08450693,0.09260344,0.0022635893,-0.0041240733,0,0,1
106729374,106539230,106539230,0,0.0,0.09,-0.10963823,-0.086224586,0.0922293,0.0052133286,-0.0037924408,0,0,1
107208221,107018080,107018080,0,0.0,0.09,-0.11189839,-0.101093516,0.09204843,0.0054411576,-0.004753145,0,0,1
107687017,107496930,107496930,0,0.0,0.09,-0.10330108,-0.10457713,0.0924471,0.0046171756,-0.0048853364,0,0,1
108165991,107975779,107975779,0,0.0,0.09,-0.13765517,-0.118498504,0.093328625,0.008121386,-0.006216067,0,0,1
108804400,108614245,108614245,0,0.0,0.09,-0.18961439,-0.16262774,0.09390888,0.015314255,-0.011833416,0,0,1
109283201,109093093,109093093,0,0.0,0.09,-0.07869054,-0.13771252,0.09506834,0.002605368,-0.008807055,0,0,1
109762019,109571941,109571941,0,0.0,0.09,0.027075645,-0.04732024,0.09587912,0.00030583946,-0.003654015,0,0,1
110240939,110050792,110050792,0,0.0,0.09,-0.00878543,-0.013577123,0.09633268,3.204885e-05,-0.001369795,0,0,1
110719730,110529637,110529637,0,0.0,0.09,0.1277906,0.049584158,0.09757854,0.006694274,0.0018157893,0,0,1
111198721,111008484,111008484,0,0.0,0.09,0.18373115,0.12310149,0.097744875,0.013814386,0.008286418,0,0,1
111677412,111487331,111487331,0,0.0,0.09,0.097044475,0.11905229,0.09634207,0.00391008,0.006782042,0,0,1
112156280,111966177,111966177,0,0.0,0.09,0.17752105,0.13841403,0.09754262,0.012923058,0.008525847,0,0,1
112794693,112604638,112604638,0,0.0,0.09,0.16539125,0.14621367,0.09418001,0.011617865,0.009272928,0,0,1
113273571,113083484,113083484,0,0.0,0.09,0.20696525,0.17405306,0.09435445,0.018159024,0.0132460445,0,0,1
113752461,113562329,113562329,0,0.0,0.09,0.23512271,0.20658375,0.09311899,0.023747116,0.018894838,0,0,1
114231329,114041174,114041174,0,0.0,0.09,0.3230871,0.26796103,0.09307826,0.04485914,0.032311514,0,0,1
114710191,114520019,114520019,0,0.0,0.09,0.33845702,0.3037624,0.09461754,0.048427872,0.04061967,0,0,1
115189050,114998863,114998863,0,0.0,0.09,0.23540793,0.27875933,0.09500764,0.023331555,0.033868954,0,0,1
115667844,115477707,115477707,0,0.0,0.09,0.1386025,0.23482084,0.09570861,0.008028808,0.024921823,0,0,1
116306376,116116165,116116165,0,0.0,0.09,0.17172007,0.18821456,0.09473629,0.01245047,0.016135676,0,0,1
116785181,116595008,116595008,0,0.0,0.09,0.03696746,0.1467034,0.09477149,0.000576795,0.011452611,0,0,1
117264017,117073851,117073851,0,0.0,0.09,-0.05215882,0.042148527,0.09578809,0.0011360672,0.004602703,0,0,1
117742872,117552693,117552693,0,0.0,0.09,-0.09661579,-0.031026723,0.09420073,0.0039637107,0.0001510944,0,0,1
118221679,118031535,118031535,0,0.0,0.09,-0.025246983,-0.034911226,0.09350579,0.00027267195,-0.00037497247,0,0,1
118700513,118510376,118510376,0,0.0,0.09,-0.016485937,-0.030280307,0.09338034,0.000116421135,-0.0003604218,0,0,1
119179266,118989218,118989218,0,0.0,0.09,0.009819224,-0.0008376683,0.09360274,4.1202704e-05,8.357506e-06,0,0,1
119658175,119468059,119468059,0,0.0,0.09,-0.057588253,-0.015428662,0.09369289,0.0014158627,-0.00035106702,0,0,1
120296560,120106513,120106513,0,0.0,0.09,-0.026428387,-0.03798448,0.09445209,0.00029579422,-0.00093971234,0,0,1
120775429,120585353,120585353,0,0.0,0.09,-0.035722807,-0.024154577,0.093548246,0.00054565165,-0.0005325652,0,0,1
121254521,121064194,121064194,0,0.0,0.09,-0.042762436,-0.042084858,0.093263134,0.00078428676,-0.0010269824,0,0,1
121733146,121543034,121543034,0,0.0,0.09,0.036684714,-0.006304846,0.092667535,0.00058090175,-0.00025789035,0,0,1
122211923,122021873,122021873,0,0.0,0.09,0.0365234,0.03065475,0.09230099,0.00057809084,0.0008305063,0,0,1
122690843,122500712,122500712,0,0.0,0.09,0.015234652,0.032115027,0.092625186,0.00010022959,0.00069936836,0,0,1
123169703,122979551,122979551,0,0.0,0.09,0.06331735,0.037506215,0.093602695,0.0017132357,0.0008084468,0,0,1
123808180,123618003,123618003,0,0.0,0.09,0.11386527,0.089064755,0.09332557,0.0055570197,0.004230569,0,0,1
124286979,124096842,124096842,0,0.0,0.09,0.12165078,0.10211754,0.09304894,0.0063617756,0.004965481,0,0,1
124765855,124575679,124575679,0,0.0,0.09,0.092421874,0.106256686,0.092686765,0.0036863096,0.005120095,0,0,1
125244854,125054517,125054517,0,0.0,0.09,-0.001701661,0.06835704,0.092349574,1.2542127e-06,0.0030582258,0,0,1
125723492,125533354,125533354,0,0.0,0.09,0.011570117,0.031589072,0.092544496,5.7860867e-05,0.0013331724,0,0,1
126202367,126012191,126012191,0,0.0,0.09,0.043115083,0.029063314,0.09314842,0.0007982574,0.000867859,0,0,1
126681076,126491028,126491028,0,0.0,0.09,-0.015453107,0.015433533,0.0931767,0.000102514256,0.00042894145,0,0,1
127160005,126969865,126969865,0,0.0,0.09,-0.12591024,-0.04401529,0.09269554,0.0068410574,-0.0022224195,0,0,1
127798378,127608313,127608313,0,0.0,0.09,-0.048532605,-0.05934745,0.09214797,0.0010224484,-0.0021196124,0,0,1
128277259,128087149,128087149,0,0.0,0.09,-0.012614803,-0.03726424,0.092077814,6.912991e-05,-0.0010344757,0,0,1
128756075,128565985,128565985,0,0.0,0.09,-0.011332503,-0.022269806,0.09210462,5.5773795e-05,-0.00049163075,0,0,1
129234870,129044821,129044821,0,0.0,0.09,0.092137784,0.022400653,0.09258361,0.0036677644,0.00085395976,0,0,1
129713739,129523656,129523656,0,0.0,0.09,0.1775226,0.08430012,0.09320904,0.013524126,0.004988381,0,0,1
130192540,130002491,130002491,0,0.0,0.09,0.23994227,0.14135891,0.09288317,0.024793422,0.011094304,0,0,1
130671498,130481327,130481327,0,0.0,0.09,0.26921636,0.21913639,0.092395775,0.031376954,0.024023267,0,0,1
131150567,130960161,130960161,0,0.0,0.09,0.08693075,0.17124686,0.09213643,0.0032807677,0.015294088,0,0,1
131788782,131598607,131598607,0,0.0,0.09,0.12417697,0.12041991,0.09216323,0.0066924393,0.007858667,0,0,1
132267574,132077442,132077442,0,0.0,0.09,0.08302733,0.10468957,0.09209048,0.0029942456,0.0055847843,0,0,1
132746416,132556276,132556276,0,0.0,0.09,-0.019959629,0.04034003,0.092072874,0.00017307454,0.0023889632,0,0,1
133225287,133035110,133035110,0,0.0,0.09,-0.037157174,0.0014452611,0.09167499,0.00060241314,0.00081514113,0,0,1
133704217,133513944,133513944,0,0.0,0.09,-0.07509366,-0.037308227,0.09160072,0.0024624509,-0.00077257684,0,0,1
134182955,133992778,133992778,0,0.0,0.09,-0.08730251,-0.059373066,0.09165339,0.0033263268,-0.0017969634,0,0,1
134661858,134471612,134471612,0,0.0,0.09,-0.067036234,-0.07377229,0.0916424,0.001961475,-0.0026249706,0,0,1
135302447,135110058,135110058,0,0.0,0.09,-0.20868604,-0.1241579,0.092443496,0.018843884,-0.008178934,0,0,1
135778968,135588891,135588891,0,0.0,0.09,-0.1985648,-0.16784212,0.093093015,0.016941326,-0.013603723,0,0,1
136257777,136067724,136067724,0,0.0,0.09,-0.14552493,-0.1502979,0.09330842,0.009078497,-0.010474302,0,0,1
136736468,136546558,136546558,0,0.0,0.09,-0.16142894,-0.15236278,0.092778355,0.011235079,-0.010356897,0,0,1
137215270,137025390,137025390,0,0.0,0.09,-0.10608182,-0.14118369,0.09266276,0.0048577674,-0.008920783,0,0,1
137694141,137504223,137504223,0,0.0,0.09,-0.06513828,-0.100570224,0.09252504,0.0018343123,-0.005057277,0,0,1
138173001,137983055,137983055,0,0.0,0.09,0.033417612,-0.04108665,0.0926495,0.000482134,-0.002212367,0,0,1
138652037,138461890,138461890,0,0.0,0.09,-0.083870225,-0.043768823,0.093136884,0.003021022,-0.0017563767,0,0,1
139290233,139100330,139100330,0,0.0,0.09,-0.15222052,-0.10992809,0.09311278,0.009953987,-0.0064695263,0,0,1
139769295,139579161,139579161,0,0.0,0.09,-0.13644968,-0.124348626,0.09268386,0.008035278,-0.0073264735,0,0,1
140248125,140057994,140057994,0,0.0,0.09,-0.17931424,-0.15277164,0.09219061,0.01395092,-0.010732094,0,0,1
140726711,140536824,140536824,0,0.0,0.09,-0.1454205,-0.15802747,0.091685586,0.009225933,-0.01118125,0,0,1
141205695,141015655,141015655,0,0.0,0.09,-0.1592694,-0.17218424,0.09144712,0.011095699,-0.013248117,0,0,1
141684398,141494487,141494487,0,0.0,0.09,-0.045493115,-0.116856,0.09168662,0.0009029119,-0.0073869936,0,0,1
142163539,141973318,141973318,0,0.0,0.09,0.04348683,-0.0384425,0.0924042,0.00081862265,-0.00300815,0,0,1
142801642,142611759,142611759,0,0.0,0.09,0.07860728,0.040887013,0.092166945,0.002681701,0.0010571525,0,0,1
143280479,143090589,143090589,0,0.0,0.09,-0.030695228,0.031511918,0.09146992,0.00041202485,0.0009646597,0,0,1
143759462,143569420,143569420,0,0.0,0.09,-0.10140636,-0.036666185,0.090988226,0.0045206947,-0.0016780032,0,0,1
144238150,144048249,144048249,0,0.0,0.09,-0.11206889,-0.06639564,0.09099354,0.005521023,-0.0028606635,0,0,1
144717163,144527079,144527079,0,0.0,0.09,-0.20592059,-0.1307844,0.09124534,0.018588694,-0.0094977375,0,0,1
145195822,145005909,145005909,0,0.0,0.09,-0.27547732,-0.20418243,0.09147665,0.033183444,-0.021028383,0,0,1
145674627,145484739,145484739,0,0.0,0.09,-0.29793432,-0.2523462,0.09174986,0.038698636,-0.029839147,0,0,1
146153918,145963568,145963568,0,0.0,0.09,-0.31279024,-0.27991584,0.091779344,0.042640418,-0.035353117,0,0,1
146791889,146602008,146602008,0,0.0,0.09,-0.5842225,-0.4294836,0.09145361,0.14928484,-0.087888956,0,0,1
147270942,147080838,147080838,0,0.0,0.09,-0.7397382,-0.6028035,0.09139818,0.23948514,-0.17231879,0,0,1
