timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
77479155,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
78486797,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
79494354,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
80501943,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
81509518,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
82517166,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
83524781,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
84532353,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
85539913,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
86547723,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
87555141,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
88562743,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
89570245,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
90577886,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
91585430,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
92593039,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
93600656,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
94608251,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
95615805,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
96623409,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
97630978,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
98638568,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
99646390,20865128,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
100653871,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
101661421,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
102668964,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
103676560,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
104684187,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
105691722,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
106699264,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
107706874,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
108714415,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
109722088,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
110729566,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
111737170,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
112744969,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
113752418,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
114759925,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
115767495,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
116774974,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
117782573,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
118790173,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
119797720,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
120805224,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
121812836,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
122820371,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
123827979,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
124835454,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
125843225,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
126850778,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
127858354,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
128865714,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
129873302,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
130880763,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
131888304,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
132895910,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
133903590,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
134910844,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
135918372,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
136925916,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
137933494,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
138941021,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
139948548,100463788,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
