timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
558150659,558150517,0.42858866,0.119800426,nan,nan,nan,nan,nan,nan
558153137,558153010,0.4263254,0.121389665,nan,nan,nan,nan,nan,nan
558255427,558255304,0.38833693,0.14498326,nan,nan,nan,nan,nan,nan
558352736,558352609,0.33840033,0.20132598,nan,nan,nan,nan,nan,nan
558455026,558454904,0.3112397,0.23376225,nan,nan,nan,nan,nan,nan
558552333,558552209,0.89133435,-0.33018762,nan,nan,nan,nan,nan,nan
558654631,558654504,1.0,-0.74285907,nan,nan,nan,nan,nan,nan
558751932,558751809,1.0,-0.77030903,nan,nan,nan,nan,nan,nan
558854228,558854104,0.20107509,0.22303739,nan,nan,nan,nan,nan,nan
558951532,558951409,0.16066433,0.25727293,nan,nan,nan,nan,nan,nan
559053829,559053704,0.13499002,0.30655885,nan,nan,nan,nan,nan,nan
559153626,559153504,0.07791409,0.30191123,nan,nan,nan,nan,nan,nan
559250929,559250811,0.0705579,0.28330967,nan,nan,nan,nan,nan,nan
559353222,559353104,0.27887312,0.3000421,nan,nan,nan,nan,nan,nan
559450526,559450409,0.5137156,0.4588129,nan,nan,nan,nan,nan,nan
559552819,559552704,0.55807155,0.44192868,nan,nan,nan,nan,nan,nan
559655118,559654999,0.47925925,0.3117538,nan,nan,nan,nan,nan,nan
559752422,559752304,0.740495,0.2595052,nan,nan,nan,nan,nan,nan
559854718,559854599,0.7626302,0.23736998,nan,nan,nan,nan,nan,nan
559952020,559951904,0.75432456,0.24567571,nan,nan,nan,nan,nan,nan
560054320,560054199,0.48116893,0.31897753,nan,nan,nan,nan,nan,nan
560151630,560151504,0.24940473,0.2869624,nan,nan,nan,nan,nan,nan
560253919,560253799,0.1632769,0.29400182,nan,nan,nan,nan,nan,nan
560351220,560351104,0.12731892,0.24228255,nan,nan,nan,nan,nan,nan
560453517,560453399,0.14214444,0.1684622,nan,nan,nan,nan,nan,nan
560553317,560553199,0.16380702,0.105366424,nan,nan,nan,nan,nan,nan
560653117,560652999,0.19407302,0.060943224,nan,nan,nan,nan,nan,nan
560752935,560752799,0.12528971,0.08192502,nan,nan,nan,nan,nan,nan
560852721,560852599,-0.18531248,0.28854156,nan,nan,nan,nan,nan,nan
560952515,560952398,-0.48595783,0.74045783,nan,nan,nan,nan,nan,nan
561052339,561052198,-0.7780708,1.0,nan,nan,nan,nan,nan,nan
561152118,561151999,-0.77233285,1.0,nan,nan,nan,nan,nan,nan
561254420,561254293,-0.76145905,1.0,nan,nan,nan,nan,nan,nan
561351717,561351598,-0.56381077,1.0,nan,nan,nan,nan,nan,nan
561454017,561453894,0.0090483595,0.63062733,nan,nan,nan,nan,nan,nan
561551321,561551198,0.39966166,0.242672,nan,nan,nan,nan,nan,nan
561653620,561653494,0.7441141,-0.09620173,nan,nan,nan,nan,nan,nan
561750919,561750799,0.75572664,-0.2243638,nan,nan,nan,nan,nan,nan
561853220,561853093,0.6868587,-0.18476397,nan,nan,nan,nan,nan,nan
561953035,561952894,0.64655584,-0.054925103,nan,nan,nan,nan,nan,nan
562052965,562052694,0.57862496,-0.006675712,nan,nan,nan,nan,nan,nan
562152614,562152494,0.49096003,0.011282429,nan,nan,nan,nan,nan,nan
562252547,562252294,0.41530252,0.095894456,nan,nan,nan,nan,nan,nan
562352214,562352094,0.3702365,0.14911823,nan,nan,nan,nan,nan,nan
562454595,562454389,0.47728726,0.13606344,nan,nan,nan,nan,nan,nan
562551811,562551694,0.5231082,0.05983944,nan,nan,nan,nan,nan,nan
562654181,562653989,0.50632924,0.014208528,nan,nan,nan,nan,nan,nan
562751413,562751294,0.5652718,0.05059825,nan,nan,nan,nan,nan,nan
562853760,562853589,0.5764503,0.07603316,nan,nan,nan,nan,nan,nan
562951012,562950894,0.51154286,0.00062209513,nan,nan,nan,nan,nan,nan
563053340,563053189,0.41084552,0.013164332,nan,nan,nan,nan,nan,nan
563150615,563150494,0.42617297,0.06814054,nan,nan,nan,nan,nan,nan
563252920,563252790,0.3544313,0.16890332,nan,nan,nan,nan,nan,nan
563355216,563355084,0.318763,0.2108454,nan,nan,nan,nan,nan,nan
563452509,563452390,0.26250923,0.2673314,nan,nan,nan,nan,nan,nan
