timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_filtered,innovation_variance,test_ratio,test_ratio_filtered,estimator_instance,innovation_rejected,fused
134644148,134452645,134453749,0,-33.740852,0.5625,-0.15154266,-0.13647965,0.58853537,0.001560836,-0.0013587192,0,0,1
135102902,134903757,134912632,0,-33.684677,0.5625,-0.17035675,-0.1488044,0.58872133,0.0019718274,-0.0015562708,0,0,1
135502084,135310643,135311661,0,-33.766594,0.5625,-0.067733765,-0.12606889,0.58823556,0.00031197452,-0.0011970211,0,0,1
136100491,135902662,135910205,0,-33.68526,0.5625,-0.100917816,-0.097663425,0.58875746,0.0006919254,-0.00072671974,0,0,1
136639134,136448660,136448894,0,-33.642918,0.5625,-0.087501526,-0.10513513,0.58849144,0.00052041654,-0.0007963092,0,0,1
137107940,136907891,136917753,0,-33.548363,0.5625,-0.12991333,-0.11024209,0.5886868,0.0011467879,-0.00085308676,0,0,1
137507163,137307648,137316782,0,-33.504997,0.5625,-0.13307571,-0.12318487,0.58807635,0.0012045474,-0.0010554553,0,0,1
138095542,137904647,137905350,0,-33.446712,0.5625,-0.15313339,-0.12745634,0.58843154,0.0015940571,-0.0011262682,0,0,1
138654245,138459659,138463991,0,-33.454346,0.5625,-0.11748123,-0.116034806,0.5884809,0.00093813345,-0.00093437935,0,0,1
139103115,138906649,138912899,0,-33.398525,0.5625,-0.14008713,-0.12666513,0.5884824,0.0013338991,-0.0011064186,0,0,1
139502157,139304644,139311928,0,-33.34536,0.5625,-0.15699387,-0.13659953,0.58798516,0.001676714,-0.001285152,0,0,1
140100663,139908644,139910472,0,-33.283928,0.5625,-0.16069031,-0.14906314,0.58845735,0.0017551909,-0.001521756,0,0,1
140649334,140453647,140459137,0,-33.232346,0.5625,-0.17126465,-0.17085086,0.5884556,0.0019938007,-0.0020149853,0,0,1
141098249,140903643,140908046,0,-33.15783,0.5625,-0.18691254,-0.17219804,0.5884603,0.0023747599,-0.0020323556,0,0,1
141497322,141299652,141307075,0,-33.11843,0.5625,-0.2348404,-0.20376566,0.58793056,0.0037521445,-0.0028960938,0,0,1
142096006,141902643,141905619,0,-33.1089,0.5625,-0.26284027,-0.23858671,0.5884423,0.004696128,-0.003943738,0,0,1
142634566,142442643,142444309,0,-33.040237,0.5625,-0.296772,-0.26983762,0.58827305,0.0059886216,-0.005037456,0,0,1
143103365,142909647,142913168,0,-32.96574,0.5625,-0.3828659,-0.30093762,0.5885189,0.009963064,-0.006308675,0,0,1
143502431,143308642,143312197,0,-32.81476,0.5625,-0.4101181,-0.35534793,0.58797026,0.011442541,-0.008851081,0,0,1
144100780,143909645,143910741,0,-33.286934,0.5625,-0.3007965,-0.35763168,0.5886098,0.006148626,-0.008848703,0,0,1
144500056,144307643,144309770,0,-34.105717,0.5625,-0.3735428,-0.36186692,0.5883776,0.009486032,-0.008994756,0,0,1
145108311,144909647,144918289,0,-35.053642,0.5625,-0.38046646,-0.38133648,0.5892991,0.009825552,-0.010058693,0,0,1
145517323,145317644,145327294,0,-35.1561,0.5625,-0.35266876,-0.37789685,0.5889777,0.008446856,-0.009800632,0,0,1
146106073,145907808,145915865,0,-34.917023,0.5625,-0.41856384,-0.37886888,0.5895083,0.011887581,-0.009873344,0,0,1
146494973,146302640,146304914,0,-34.701332,0.5625,-0.47903824,-0.41801834,0.5887967,0.0155896,-0.012043572,0,0,1
147103456,146906647,146913432,0,-34.947777,0.5625,-0.4916916,-0.46769762,0.58947176,0.01640524,-0.01499036,0,0,1
147642197,147449773,147452120,0,-35.278385,0.5625,-0.5634537,-0.509799,0.58919984,0.021553302,-0.017801104,0,0,1
148101054,147907645,147911002,0,-35.45733,0.5625,-0.6068115,-0.5698692,0.5892761,0.02499475,-0.02231298,0,0,1
148649753,148453644,148459664,0,-35.58802,0.5625,-0.47784805,-0.542892,0.5892032,0.015501529,-0.020202892,0,0,1
149098740,148904642,148908570,0,-35.296856,0.5625,-0.5948334,-0.58708936,0.5891322,0.024023589,-0.023611028,0,0,1
149647381,149453646,149457232,0,-35.266567,0.5625,-0.4059868,-0.5313226,0.5890032,0.0111935055,-0.01961627,0,0,1
150106286,149906648,149916112,0,-34.727684,0.5625,-0.46134567,-0.53000087,0.5890703,0.0144525925,-0.01935278,0,0,1
150505550,150307640,150315139,0,-34.445896,0.5625,-0.47826004,-0.50501484,0.5884981,0.015546875,-0.01750368,0,0,1
151093873,150903646,150903702,0,-34.145744,0.5625,-0.46200562,-0.4620511,0.5887102,0.014502837,-0.014668759,0,0,1
151642430,151446657,151452363,0,-34.010857,0.5625,-0.37945175,-0.42386833,0.5885634,0.00978543,-0.012362972,0,0,1
152101333,151906646,151911243,0,-33.954178,0.5625,-0.26831436,-0.37208492,0.588574,0.0048926794,-0.009691799,0,0,1
152640158,152449644,152449927,0,-33.69491,0.5625,-0.11738968,-0.23791757,0.58831763,0.00093693176,-0.0047652633,0,0,1
153098906,152903886,152908805,0,-33.37214,0.5625,-0.13529968,-0.17409232,0.58836454,0.0012445349,-0.0026893648,0,0,1
153497903,153302895,153307831,0,-33.353382,0.5625,-0.017383575,-0.09704753,0.58780015,2.0564043e-05,-0.0013378153,0,0,1
154106388,153907649,153916345,0,-33.631496,0.5625,0.060894012,0.006407513,0.58835036,0.00025210017,-0.0002184069,0,0,1
154645397,154454657,154455027,0,-33.435875,0.5625,-0.062194824,0.0031286245,0.58822054,0.00026304394,-7.9944715e-05,0,0,1
155104150,154911748,154913905,0,-33.741497,0.5625,0.006828308,0.028899271,0.5883456,3.1699594e-06,8.851259e-05,0,0,1
155642775,155447702,155452588,0,-33.856125,0.5625,-0.13804626,-0.025013562,0.5881643,0.0012960167,-0.00026680826,0,0,1
156101541,155907643,155911465,0,-33.965103,0.5625,-0.13235474,-0.06454964,0.58828086,0.0011911164,-0.0005033895,0,0,1
156650334,156452643,156460123,0,-33.903713,0.5625,-0.18241882,-0.10489546,0.5882729,0.002262666,-0.00096837716,0,0,1
157099150,156903649,156909025,0,-33.72772,0.5625,-0.24626923,-0.1729118,0.5882648,0.004123893,-0.002393855,0,0,1
157637739,157447650,157447706,0,-33.784393,0.5625,-0.3503151,-0.26428935,0.588142,0.008346329,-0.0052605327,0,0,1
158096629,157903646,157906583,0,-33.70943,0.5625,-0.37919998,-0.30800477,0.58825755,0.009777528,-0.006811148,0,0,1
158625356,158433780,158435289,0,-33.595425,0.5625,-0.42410278,-0.37509975,0.5879915,0.012235767,-0.00991966,0,0,1
159094199,158897647,158904140,0,-33.623108,0.5625,-0.4179306,-0.40754396,0.5870855,0.011900549,-0.011536437,0,0,1
159632851,159442704,159442821,0,-33.798046,0.5625,-0.44372177,-0.42099974,0.5871916,0.01341225,-0.012188525,0,0,1
160101725,159907641,159911672,0,-33.483063,0.5625,-0.54657745,-0.5003376,0.5875912,0.02033706,-0.017466767,0,0,1
160620440,160427667,160430401,0,-33.197495,0.5625,-0.530426,-0.5324137,0.5873551,0.019160591,-0.019534511,0,0,1
161089296,160895652,160899252,0,-32.961372,0.5625,-0.5235748,-0.5354688,0.5866479,0.018691322,-0.019647157,0,0,1
161628209,161437644,161437931,0,-32.5584,0.5625,-0.49398804,-0.54234016,0.5868185,0.016633708,-0.020155896,0,0,1
162096908,161898650,161906782,0,-32.57537,0.5625,-0.49980164,-0.55257523,0.5872957,0.01701369,-0.020914208,0,0,1
162495868,162304647,162305803,0,-32.86148,0.5625,-0.44102478,-0.50747365,0.5869709,0.013254684,-0.017770506,0,0,1
163094692,162901659,162904335,0,-32.95488,0.5625,-0.37010956,-0.46141466,0.58765495,0.009323913,-0.014760367,0,0,1
163643042,163445648,163452988,0,-32.96266,0.5625,-0.24570847,-0.35462028,0.5877437,0.004108774,-0.009196965,0,0,1
164102101,163903646,163911862,0,-33.014988,0.5625,-0.27612305,-0.34106776,0.5879397,0.0051871943,-0.008276298,0,0,1
164650799,164457660,164460515,0,-33.224735,0.5625,-0.15294266,-0.25188053,0.58800244,0.001591249,-0.0048283366,0,0,1
165109558,164916671,164919388,0,-32.89111,0.5625,-0.23341751,-0.247403,0.5881714,0.0037052962,-0.004408178,0,0,1
165498664,165298648,165308433,0,-32.69249,0.5625,-0.15699005,-0.21173663,0.5875517,0.0016778694,-0.003277501,0,0,1
166097127,165906666,165906963,0,-32.18176,0.5625,-0.19171524,-0.19684793,0.5880887,0.002499945,-0.0029134536,0,0,1
166645710,166451650,166455615,0,-32.0276,0.5625,-0.13368225,-0.16100323,0.58806616,0.0012155736,-0.0019301518,0,0,1
167094584,166903641,166904512,0,-32.193924,0.5625,-0.14128494,-0.14728771,0.58812535,0.0013576314,-0.0015764185,0,0,1
167513599,167313646,167323482,0,-32.33199,0.5625,-0.18300629,-0.1424034,0.5878111,0.002279052,-0.0014717631,0,0,1
168122054,167923643,167931986,0,-33.431507,0.5625,-0.05189514,-0.106834754,0.5884041,0.00018307865,-0.0012139163,0,0,1
168521245,168321646,168331005,0,-34.036186,0.5625,-0.023303986,-0.059435576,0.58785754,3.695288e-05,-0.00060814444,0,0,1
169109568,168916655,168919557,0,-35.0828,0.5625,0.07051849,0.009407926,0.5882192,0.00033816358,-7.874973e-05,0,0,1
169508590,169311645,169318576,0,-35.55793,0.5625,0.11677551,0.06530082,0.58770454,0.0009281208,0.0004550538,0,0,1
170097171,169903641,169907128,0,-35.740738,0.5625,0.10913849,0.10245092,0.5880649,0.0008101969,0.0009770711,0,0,1
170496217,170305644,170306146,0,-35.588364,0.5625,0.09445572,0.09643389,0.587585,0.0006073595,0.00076212944,0,0,1
171104659,170907642,170914649,0,-35.269726,0.5625,0.104969025,0.10422501,0.5882505,0.00074923836,0.0008329777,0,0,1
171503718,171309236,171313667,0,-35.171864,0.5625,0.14396286,0.11369443,0.5877287,0.0014105354,0.0009453387,0,0,1
172102418,171908643,171912193,0,-34.724518,0.5625,-0.059070587,0.073768616,0.5882172,0.00023728203,0.0006768157,0,0,1
172650855,172451659,172460842,0,-34.779514,0.5625,-0.28822327,-0.0877341,0.5881318,0.0056499345,-0.0014911537,0,0,1
173109792,172911643,172919712,0,-35.071667,0.5625,-0.3082962,-0.18028383,0.5882453,0.0064630555,-0.0032097357,0,0,1
173498858,173308721,173308753,0,-35.15076,0.5625,-0.35481644,-0.27245694,0.58756804,0.008570562,-0.006098629,0,0,1
174097289,173906755,173907278,0,-35.531662,0.5625,-0.40073395,-0.3580998,0.5880773,0.010922897,-0.009440968,0,0,1
174645990,174451975,174455926,0,-35.51948,0.5625,-0.5675926,-0.45578322,0.5880047,0.021915564,-0.014875892,0,0,1
175104846,174907646,174914796,0,-36.08247,0.5625,-0.38302612,-0.43654317,0.5881325,0.009977956,-0.013362106,0,0,1
175493848,175300648,175303836,0,-36.48797,0.5625,-0.33317947,-0.40791863,0.5875508,0.0075573763,-0.01161138,0,0,1
176102370,175908663,175912336,0,-36.7525,0.5625,-0.30283356,-0.35494253,0.58812946,0.0062372773,-0.00883429,0,0,1
176501401,176310648,176311352,0,-37.029984,0.5625,-0.27439117,-0.3215664,0.58762985,0.00512503,-0.007237235,0,0,1
177100340,176907641,176909875,0,-37.44889,0.5625,-0.29240417,-0.31950822,0.588162,0.005814738,-0.0070601427,0,0,1
177638635,177441646,177448547,0,-37.904186,0.5625,-0.21529007,-0.26906016,0.5880275,0.003152901,-0.0051048505,0,0,1
178097593,177901645,177907414,0,-38.113277,0.5625,-0.080890656,-0.18524392,0.58824223,0.00044493904,-0.002829495,0,0,1
178646077,178451204,178456060,0,-38.089977,0.5625,-0.16629791,-0.16186406,0.58823097,0.0018805536,-0.0019977912,0,0,1
179095101,178902645,178904951,0,-38.18967,0.5625,-0.2300415,-0.20147587,0.588246,0.0035984328,-0.0029628705,0,0,1
179643645,179450661,179453597,0,-38.51721,0.5625,-0.37116623,-0.27221277,0.5882791,0.009367279,-0.0054068537,0,0,1
180092855,179899074,179902488,0,-38.811275,0.5625,-0.39974976,-0.33742875,0.5882833,0.010865505,-0.008167048,0,0,1
180631171,180435643,180441157,0,-39.402294,0.5625,-0.37967682,-0.36782536,0.58815825,0.009803789,-0.009409073,0,0,1
181100160,180900778,180909999,0,-39.843178,0.5625,-0.30381393,-0.3408538,0.5872503,0.0062871254,-0.00804002,0,0,1
181629030,181438653,181438692,0,-40.139603,0.5625,-0.3572464,-0.32831907,0.58725506,0.008692985,-0.0074440944,0,0,1
182097566,181898647,181907533,0,-40.359993,0.5625,-0.38492203,-0.35943314,0.58768725,0.010084613,-0.008894425,0,0,1
182646313,182448648,182456177,0,-40.545906,0.5625,-0.42152023,-0.39356795,0.5878568,0.012089971,-0.010644763,0,0,1
183095302,182901644,182905067,0,-40.741146,0.5625,-0.38265228,-0.3893817,0.5879605,0.009961403,-0.010365509,0,0,1
183623891,183429645,183433759,0,-41.075165,0.5625,-0.3058014,-0.34947664,0.5878155,0.006363527,-0.00843447,0,0,1
184092684,183896656,183902603,0,-41.351242,0.5625,-0.2120018,-0.28346923,0.5870046,0.0030626515,-0.005778724,0,0,1
184621470,184428649,184431291,0,-41.55506,0.5625,-0.16532135,-0.21621093,0.58708894,0.0018621471,-0.0034984308,0,0,1
185090333,184893193,184900131,0,-41.70228,0.5625,-0.09957123,-0.16293809,0.5865165,0.00067615695,-0.0021108917,0,0,1
185638816,185441647,185448773,0,-41.855602,0.5625,-0.067840576,-0.119239084,0.58697385,0.00031363196,-0.0011771481,0,0,1
186097660,185898012,185907637,0,-41.448483,0.5625,-0.41394806,-0.25343037,0.5873976,0.011668622,-0.005530021,0,0,1
186646306,186446729,186456279,0,-41.08844,0.5625,-0.52162933,-0.41793108,0.58764684,0.018521136,-0.01344327,0,0,1
187095205,186900648,186905168,0,-40.93787,0.5625,-0.5944443,-0.51130086,0.587843,0.024044786,-0.018961418,0,0,1
