timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,target_system,target_component,source_system,confirmation,from_external
16444650,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
21760443,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
29384000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
56411070,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
63186221,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
71687670,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
82984791,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
102456644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
135107829,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,0,1,0,0
135107857,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
135107858,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
164999983,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
167046874,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,0,1,0,0
167046876,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
167046877,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
182624649,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
194402167,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
217517312,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
272574865,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,0,1,0,0
272574867,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
272574868,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
293858639,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
304763650,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
316278650,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
336014924,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
343864860,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,0,1,0,0
343864862,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
343864863,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
