timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
134429035,134428810,4259850,4325386,2.7632977e-05,-0.0003800732,-0.00020437424,0.022702377,0.0023736148,-0.042890567,4988,4901,0,0,2,1
134927765,134927596,4259850,4325386,0.0005238381,-0.0015904283,-0.00035729643,0.04859867,-0.001795863,-0.006754669,4987,4897,0,0,2,1
135426562,135426382,4259850,4325386,0.001037272,-0.00062282436,-0.0024479746,0.004004949,0.0028271712,-0.049335822,4988,4900,0,0,2,1
135925329,135925168,4259850,4325386,0.00056334416,0.0017568838,-0.0003175544,0.010551055,-0.0065158796,-0.04718467,4988,4901,0,0,2,1
136424115,136423954,4259850,4325386,-0.0008918486,0.00033820877,-0.00035166903,0.0035341696,-0.0039341105,-0.04835052,4987,4899,0,0,2,1
136927883,136927728,4259850,4325386,0.00023945,0.0012576705,0.00015348119,0.017204197,-0.003243152,-0.04510266,4987,4900,0,0,2,1
137426685,137426515,4259850,4325386,-0.0007430759,-4.8679296e-05,0.00068624405,0.018290125,0.003937309,-0.04686297,4988,4900,0,0,2,1
137925462,137925303,4259850,4325386,-5.4456697e-05,-0.0023941956,-0.00033740795,0.024430437,0.0062638302,-0.04071296,4990,4901,0,0,2,1
138429245,138429075,4259850,4325386,-0.0004980069,0.00010783215,0.0008971863,0.016452342,0.004092691,-0.044510633,4987,4900,0,0,2,1
138923036,138922874,4259850,4325386,0.00026052532,-0.00038198958,-8.711931e-05,0.018122314,0.0036745884,-0.042629715,4988,4901,0,0,2,1
139426808,139426649,4259850,4325386,-0.00060988945,-0.0007701021,0.0018391884,0.015153278,-0.000108071916,-0.048744444,4988,4901,0,0,2,1
139925597,139925435,4259850,4325386,0.0001798286,-0.0007819829,-0.00085507054,0.024759311,-0.0039780973,-0.046934634,4988,4901,0,0,2,1
140424399,140424222,4259850,4325386,-0.00010384012,-0.0005884872,0.0009517517,0.015534187,-0.0030194286,-0.040208377,4988,4900,0,0,2,1
140928154,140927997,4259850,4325386,0.0039259302,0.0032284393,0.00036502877,0.013054845,0.0010375533,-0.0546107,4988,4900,0,0,2,1
141427086,141426784,4259850,4325386,0.0023505471,0.0029719633,-0.0033097246,0.028665723,-0.018863862,-0.010973681,4988,4900,0,0,2,1
141925744,141925570,4259850,4325386,-0.0037909579,-0.0034457196,0.00084593147,0.023487175,0.008877234,-0.055793032,4987,4901,0,0,2,1
142424523,142424357,4259850,4325386,0.001082782,0.003601186,0.000945034,-0.0063536414,0.0076413397,-0.03661823,4988,4902,0,0,2,1
142923354,142923144,4259850,4325386,0.0019591658,0.00031441424,-0.0020781406,0.018484496,-0.027490556,-0.0640475,4988,7352,0,0,2,1
143427016,143426919,4259850,4325386,-0.0015687876,0.0021176354,0.003421481,0.023824802,0.010185466,-0.011249012,4988,4900,0,0,2,1
