timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
21290342,1.3969839e-09,9.313226e-10,0.0960591,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
21297827,1.3969839e-09,9.313226e-10,0.0960591,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
21489877,1.3969839e-09,4.656613e-10,0.0960591,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
21689410,9.313226e-10,1.3969839e-09,0.0960591,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
21891431,1.3969839e-09,9.313226e-10,0.0960591,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
22088466,9.313226e-10,1.3969839e-09,0.0960591,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
22290492,1.3969839e-09,9.313226e-10,0.0960591,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
22495016,-1.8626451e-09,-2.3841858e-07,0.016440671,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
22694542,-7.450581e-09,-1.7881393e-07,-0.0023205213,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
22891576,2.2351742e-08,-8.940697e-08,0.034799393,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
23091109,5.9604645e-08,-5.9604645e-08,0.026619999,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
23290692,4.4703484e-08,5.5879354e-09,0.036786158,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
23492678,2.2351742e-08,-4.4703484e-08,-0.0061280425,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
23687221,9.313226e-09,-1.7881393e-07,0.027305169,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
23889244,1.4901161e-08,-2.3841858e-07,0.048455704,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
24093834,1.8626451e-08,-2.3841858e-07,0.04342414,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
24290854,2.2351742e-08,-2.3841858e-07,-0.0048929052,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
24490347,6.9849193e-09,-1.7881393e-07,-0.044455208,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
24689900,-1.1175871e-08,-8.940697e-08,0.016845856,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
24889390,-3.7252903e-09,-8.940697e-08,0.0538913,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
25086425,-5.5879354e-09,-8.940697e-08,0.032193586,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
25293441,-5.5879354e-09,-4.4703484e-08,0.03908308,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
25490478,-7.450581e-09,5.9604645e-08,0.022263374,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
25687516,0.0,1.1920929e-07,0.01444483,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
25889538,2.2351742e-08,1.7881393e-07,0.041018188,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
26086586,3.7252903e-08,1.7881393e-07,0.053611483,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
26291106,1.4901161e-08,2.3841858e-07,0.083279744,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
26488133,4.4703484e-08,2.3841858e-07,0.088390335,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
26690175,2.9802322e-08,2.3841858e-07,0.09343463,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
26892187,2.9802322e-08,2.3841858e-07,0.06993543,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
27094214,2.9802322e-08,1.7881393e-07,0.05722644,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
27291249,2.2351742e-08,8.940697e-08,0.027019722,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
27490784,2.9802322e-08,5.9604645e-08,0.05399871,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
27692808,5.9604645e-08,5.9604645e-08,0.07557959,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
27889850,8.940697e-08,2.9802322e-08,0.05974497,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
28091873,8.940697e-08,2.9802322e-08,0.051381633,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
28293898,5.9604645e-08,3.7252903e-08,0.050371703,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
28493444,5.9604645e-08,1.4901161e-08,0.0566551,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
28687976,5.9604645e-08,4.4703484e-08,0.051999804,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
28890006,4.4703484e-08,2.9802322e-08,0.044777717,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
29092027,1.4901161e-08,1.4901161e-08,0.04328023,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
29291561,-1.1175871e-08,-2.9802322e-08,0.030259682,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
29491093,-3.7252903e-09,-2.9802322e-08,0.030698832,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
29688148,1.1175871e-08,-2.2351742e-08,0.030142592,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
29890171,1.8626451e-08,-8.940697e-08,0.043774895,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
30087211,2.2351742e-08,-8.940697e-08,0.016698364,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
30286744,2.9802322e-08,-5.9604645e-08,0.0070343795,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
30491252,2.9802322e-08,-2.9802322e-08,-0.004034598,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
30688345,4.4703484e-08,-1.7881393e-07,0.022716762,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
30890327,1.4901161e-08,-1.7881393e-07,0.0049734465,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
31094845,2.9802322e-08,-1.1920929e-07,-0.031006994,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
31291876,4.4703484e-08,-4.4703484e-08,0.0037825825,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
31491440,2.2351742e-08,-2.9802322e-08,0.046661768,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
31690941,-5.9604645e-08,-4.4703484e-08,0.010760436,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
31890478,-1.1920929e-07,-5.9604645e-08,0.039147068,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
32092502,0.02206564,0.044131607,0.09684161,9.313226e-10,0.0,0.0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32292056,0.07454437,0.1490891,0.124726444,9.313226e-10,0.0,0.0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32491570,0.063346446,0.12669325,0.12980656,9.313226e-10,0.0,0.0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32688610,0.018080115,0.03616047,0.1346375,9.313226e-10,0.0,0.0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32888142,-1.1920929e-07,-1.1920929e-07,0.13132788,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
33090198,-4.4703484e-08,-1.7881393e-07,0.08076459,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
33292197,0.0,-1.1920929e-07,0.051994268,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
33491728,2.9802322e-08,-1.7881393e-07,0.008991671,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
33688791,5.9604645e-08,-1.7881393e-07,-0.025345113,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
33890811,1.1920929e-07,-1.1920929e-07,-0.040069647,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
34092988,-0.046929,0.09385824,-0.07662401,9.313226e-10,0.0,0.0,0,0,1,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
34290010,-0.12615132,0.25230289,-0.09809245,9.313226e-10,0.0,0.0,0,0,1,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
34489507,-0.14835656,0.2967134,-0.10024899,9.313226e-10,0.0,0.0,0,0,1,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
34689002,-0.14962792,0.29925615,-0.119013846,9.313226e-10,0.0,0.0,0,0,1,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
34888489,-0.15272903,0.3054585,-0.117940344,9.313226e-10,0.0,0.0,0,0,1,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
35090513,-0.09977603,0.19955236,-0.09076365,9.313226e-10,0.0,0.0,0,0,1,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
35292518,-0.05688256,0.11376524,-0.111694045,9.313226e-10,0.0,0.0,0,0,1,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
35489567,1.1920929e-07,-2.3841858e-07,-0.110787414,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
35686597,1.1920929e-07,-1.7881393e-07,-0.059375282,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
35891115,8.940697e-08,-1.7881393e-07,-0.020067226,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
36088157,8.940697e-08,-8.940697e-08,0.011469082,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
36285196,8.940697e-08,-1.7881393e-07,0.023628732,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
36492216,8.940697e-08,-7.4505806e-08,0.029742854,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
36689253,4.4703484e-08,-1.1920929e-07,0.01643229,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
36888794,4.4703484e-08,-8.940697e-08,-0.025489146,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
37088319,5.9604645e-08,-5.9604645e-08,-0.012275697,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
37292843,5.9604645e-08,-1.1920929e-07,0.002392413,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
37492375,8.940697e-08,-1.7881393e-07,0.0064257924,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
37691909,1.4901161e-07,-1.1920929e-07,0.0078120157,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
37888954,1.1920929e-07,-1.7881393e-07,-0.05635524,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
38090976,1.1920929e-07,-1.7881393e-07,-0.044601668,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
38288020,1.1920929e-07,-1.7881393e-07,-0.039592974,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
38487550,8.940697e-08,-1.1920929e-07,-0.02912798,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
38692074,5.9604645e-08,-1.1920929e-07,-0.036770377,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
38886630,5.9604645e-08,-1.7881393e-07,-0.0018014454,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
39088649,4.4703484e-08,-1.1920929e-07,0.02668689,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
39293171,4.4703484e-08,-1.1920929e-07,0.006987499,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
39490215,5.9604645e-08,-8.940697e-08,0.0073680053,9.313226e-10,0.0,0.0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
