timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
29919977,1,0,1,0,0,0,0
30420659,1,0,1,0,0,0,0
30926657,1,0,1,0,0,0,0
31432658,1,0,1,0,0,0,0
31939806,1,0,1,0,0,0,0
32445667,1,0,1,0,0,0,0
32951988,1,0,1,0,0,0,0
33458931,1,0,1,0,0,0,0
33964638,1,0,1,0,0,0,0
34470638,1,0,1,0,0,0,0
34976659,1,0,1,0,0,0,0
35482638,1,0,1,0,0,0,0
35988638,1,0,1,0,0,0,0
36494639,1,0,1,0,0,0,0
37000639,1,0,1,0,0,0,0
37506684,1,0,1,0,0,0,0
38012664,1,0,1,0,0,0,0
38518638,1,0,1,0,0,0,0
39024639,1,0,1,0,0,0,0
39530638,1,0,1,0,0,0,0
40036639,1,0,1,0,0,0,0
40542639,1,0,1,0,0,0,0
41048881,1,0,1,0,0,0,0
41554787,1,0,1,0,0,0,0
42060671,1,0,1,0,0,0,0
42566639,1,0,1,0,0,0,0
43072652,1,0,1,0,0,0,0
43578640,1,0,1,0,0,0,0
44085673,1,0,1,0,0,0,0
44591638,1,0,1,0,0,0,0
45097639,1,0,1,0,0,0,0
45603767,1,0,1,0,0,0,0
46109639,1,0,1,0,0,0,0
46615651,1,0,1,0,0,0,0
47122645,1,0,1,0,0,0,0
47628639,1,0,1,0,0,0,0
48134766,1,0,1,0,0,0,0
48640639,1,0,1,0,0,0,0
49146831,1,0,1,0,0,0,0
49652640,1,0,1,0,0,0,0
50158640,1,0,1,0,0,0,0
50664776,1,0,1,0,0,0,0
51170638,1,0,1,0,0,0,0
51676641,1,0,1,0,0,0,0
52182639,1,0,1,0,0,0,0
52688644,1,0,1,0,0,0,0
53195052,1,0,1,0,0,0,0
53700639,1,0,1,0,0,0,0
54206719,1,0,1,0,0,0,0
54712638,1,0,1,0,0,0,0
55218638,1,0,1,0,0,0,0
55724751,1,0,1,0,0,0,0
56230639,1,0,1,0,0,0,0
56736639,1,0,1,0,0,0,0
57242639,1,0,1,0,0,0,0
57605770,1,0,1,0,0,0,0
57616967,1,0,1,0,0,0,0
58001752,1,0,1,0,0,0,0
58507639,1,0,1,0,0,0,0
59013639,1,0,1,0,0,0,0
59519640,1,0,1,0,0,0,0
60025650,1,0,1,0,0,0,0
60531820,1,0,1,0,0,0,0
61037639,1,0,1,0,0,0,0
61543639,1,0,1,0,0,0,0
62049639,1,0,1,0,0,0,0
62556640,1,0,1,0,0,0,0
63062770,1,0,1,0,0,0,0
63568639,1,0,1,0,0,0,0
64074639,1,0,1,0,0,0,0
64580639,1,0,1,0,0,0,0
65086640,1,0,1,0,0,0,0
65592767,1,0,1,0,0,0,0
66098640,1,0,1,0,0,0,0
66605215,1,0,1,0,0,0,0
67110639,1,0,1,0,0,0,0
67616924,1,0,1,0,0,0,0
68122776,1,0,1,0,0,0,0
68628654,1,0,1,0,0,0,0
68859904,1,0,1,0,0,0,0
69365707,1,0,1,0,0,0,0
69871640,1,0,1,0,0,0,0
70377639,1,0,1,0,0,0,0
70883638,1,0,1,0,0,0,0
71390054,1,0,1,0,0,0,0
71895649,1,0,1,0,0,0,0
72401653,1,0,1,0,0,0,0
72910404,1,0,1,0,0,0,0
73415650,1,0,1,0,0,0,0
73921651,1,0,1,0,0,0,0
74427639,1,0,1,0,0,0,0
74933639,1,0,1,0,0,0,0
75439781,1,0,1,0,0,0,0
75945739,1,0,1,0,0,0,0
76451923,1,0,1,0,0,0,0
76957765,1,0,1,0,0,0,0
77464639,1,0,1,0,0,0,0
77970752,1,0,1,0,0,0,0
78477116,1,0,1,0,0,0,0
78983641,1,0,1,0,0,0,0
79490639,1,0,1,0,0,0,0
79996639,1,0,1,0,0,0,0
80503640,1,0,1,0,0,0,0
81009639,1,0,1,0,0,0,0
81516982,1,0,1,0,0,0,0
82022751,1,0,1,0,0,0,0
82528639,1,0,1,0,0,0,0
83034639,1,0,1,0,0,0,0
83540639,1,0,1,0,0,0,0
84046639,1,0,1,0,0,0,0
84553836,1,0,1,0,0,0,0
85059659,1,0,1,0,0,0,0
85566639,1,0,1,0,0,0,0
86073827,1,0,1,0,0,0,0
86579639,1,0,1,0,0,0,0
87085650,1,0,1,0,0,0,0
87591639,1,0,1,0,0,0,0
88097650,1,0,1,0,0,0,0
88384017,1,0,1,0,0,0,0
88394763,1,0,1,0,0,0,0
88900639,1,0,1,0,0,0,0
89407715,1,0,1,0,0,0,0
89913639,1,0,1,0,0,0,0
90419648,1,0,1,0,0,0,0
90925651,1,0,1,0,0,0,0
91431639,1,0,1,0,0,0,0
91937639,1,0,1,0,0,0,0
92289907,0,0,1,0,0,0,0
92312696,0,0,1,0,0,0,0
92713742,0,0,0,0,0,0,0
93208787,0,0,0,0,0,0,0
