timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
30316375,30316024,-0.0389742,-0.08287004,-0.009322285,0.9957544,0.8338463,-8.9674934e-10,1.4251574e-08,0.5519968,1
30820045,30819817,-0.051593628,-0.093754835,-0.012030613,0.9941848,0.8338463,-8.9674934e-10,1.4251574e-08,0.5519968,1
31318834,31318623,-0.07695419,-0.08706605,-0.014770848,0.993116,0.8338463,-8.9674934e-10,1.4251574e-08,0.5519968,1
31817648,31817430,-0.089628935,-0.10621624,0.032602765,0.98975855,0.8338463,-8.9674934e-10,1.4251574e-08,0.5519968,1
32321446,32321226,-0.102967,-0.11105343,0.02730952,0.9880886,0.8338463,-8.9674934e-10,1.4251574e-08,0.5519968,1
32820242,32820033,-0.07909355,-0.11578636,0.05532959,0.98857296,0.8338463,-8.9674934e-10,1.4251574e-08,0.5519968,1
33319099,33318840,-0.06935035,-0.1202575,0.055093348,0.9887838,0.8338463,-8.9674934e-10,1.4251574e-08,0.5519968,1
33817859,33817648,-0.09375322,-0.11956253,0.057267975,0.98672974,0.8338463,-8.9674934e-10,1.4251574e-08,0.5519968,1
34316670,34316456,-0.07966804,-0.08137277,0.05452119,0.99199754,0.8338463,-8.9674934e-10,1.4251574e-08,0.5519968,1
34820630,34820252,-0.07939714,-0.09914932,0.047290836,0.990772,0.8338463,-8.9674934e-10,1.4251574e-08,0.5519968,1
35319272,35319061,-0.09594051,-0.14481676,0.045559883,0.9837418,0.8338463,-8.9674934e-10,1.4251574e-08,0.5519968,1
35818090,35817870,-0.17214043,-0.16259721,0.07222696,0.96887213,0.8338463,-8.9674934e-10,1.4251574e-08,0.5519968,1
36321930,36321666,-0.045442257,-0.12596351,0.05879436,0.989248,0.8338463,-8.9674934e-10,1.4251574e-08,0.5519968,1
36815712,36815487,0.1752075,-0.47656778,0.016551834,0.86134297,0.8338463,-8.9674934e-10,1.4251574e-08,0.5519968,1
37319500,37319284,-0.2857782,-0.2412317,-0.17030448,0.91166586,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
37818308,37818093,-0.039518617,-0.12064972,-0.15377201,0.9799164,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
38317110,38316902,0.24942596,-0.008006386,-0.09359403,0.9638272,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
38820912,38820699,0.45402452,-0.073407196,-0.07620462,0.8846842,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
39319741,39319509,0.63011837,-0.19014,0.028799672,0.75230867,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
39818537,39818318,0.6862359,-0.19241463,0.05495819,0.69931144,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
40317384,40317128,0.7878664,-0.1918062,0.12292453,0.5721596,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
40816165,40815937,0.85715294,-0.20320275,0.104652435,0.46156853,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
41319953,41319736,0.9244848,-0.25196272,0.13261765,0.25348613,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
41818762,41818546,0.957719,-0.26321468,0.10458694,0.050537553,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
42317571,42317356,0.93966293,-0.2548529,0.13951264,-0.18060985,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
42821364,42821154,0.87282985,-0.20464343,0.21532077,-0.3872029,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
43320176,43319964,0.7568683,-0.115885906,0.2800015,-0.57906824,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
43819033,43818775,0.61368704,-0.0044862307,0.2902581,-0.73424685,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
44317800,44317585,0.427521,0.066355206,0.28093636,-0.85667825,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
44816766,44816396,0.18778533,0.12251208,0.25635365,-0.94021827,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
45320404,45320195,-0.02784033,0.17153616,0.2312061,-0.9572586,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
45819214,45819005,-0.25129527,0.20722401,0.18287651,-0.92761266,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
46318034,46317816,-0.45477408,0.24252959,0.122677855,-0.8481215,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
46821847,46821615,-0.6021917,0.27256483,0.06609628,-0.74746567,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
47315689,47315438,-0.74442244,0.29787412,0.021902492,-0.5971822,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
47819457,47819238,-0.8769168,0.30013028,-0.011316666,-0.37524772,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
48318303,48318049,-0.9432125,0.2879417,-0.08086926,-0.1445681,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
48817073,48816860,-0.95289344,0.24563093,-0.15025179,0.095310226,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
49320872,49320660,-0.89798737,0.20379509,-0.21051298,0.3282846,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
49819689,49819472,-0.7881439,0.12654415,-0.26827285,0.53930104,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
50318498,50318283,-0.63333136,0.029198576,-0.31901574,0.7044629,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
50817300,50817094,-0.43080956,-0.038868032,-0.32926172,0.8393326,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
51316119,51315906,-0.22384924,-0.11560775,-0.333905,0.90831375,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
51819921,51819706,0.024576636,-0.1797811,-0.31119257,0.9328633,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
52318737,52318518,0.26579484,-0.23101002,-0.26543874,0.8975132,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
52817547,52817330,0.48386618,-0.30474138,-0.18413779,0.79943705,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
53321336,53321130,0.65687054,-0.3469992,-0.13569206,0.6555153,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
53820204,53819943,0.8041713,-0.3495256,-0.039448664,0.47914943,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
54318968,54318755,0.9104116,-0.32339418,0.04237773,0.25450173,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
54817871,54817567,0.94349915,-0.29901886,0.13006538,0.05899326,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
55316656,55316379,0.9355301,-0.23820968,0.20923977,-0.1557511,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
55820387,55820180,0.8507256,-0.22039697,0.2976928,-0.3729212,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
