timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,beta_innov,beta_innov_var
27642031,27454333,0.04216146,-0.028011225,1.0000011,0.981844,0.79556894,29.67466,21.84042,0.0
36379599,36191968,0.042165887,-0.028056001,1.0000011,1.0000058,5.113066,40.657104,0.84932053,0.0
36389427,36201819,0.042165887,-0.028056001,1.0000011,1.0000058,5.113066,40.657104,0.84932053,0.0
36882121,36694360,0.22495979,0.15438522,0.9858255,0.993192,10.811425,36.484562,0.53237045,0.0
37374869,37186901,0.22975771,0.19863604,0.9870668,0.99421066,9.234238,41.302998,0.50783205,0.0
37876885,37689293,0.22284436,0.19492099,0.9882426,0.9956185,11.232356,42.95151,0.5607949,0.0
38379192,38191687,0.19990331,0.20190935,0.9895357,0.9970356,8.154532,42.54485,0.43599567,0.0
38881596,38694077,0.19791226,0.2158696,0.9907316,0.9983162,13.030121,43.375774,0.29249275,0.0
39383980,39196470,0.20595789,0.22059473,0.99195343,0.999567,13.600882,46.205635,0.26005352,0.0
39876525,39689011,0.21368554,0.22888955,0.99324703,1.0000024,11.518929,47.554146,0.26260638,0.0
40378938,40191404,0.22095507,0.23756774,0.9945809,1.0000192,13.140398,48.36484,0.29250503,0.0
40881312,40693797,0.22580056,0.24060905,0.99587166,1.0000142,14.095917,49.17116,0.2956968,0.0
41373866,41186339,0.2294694,0.23699147,0.9970781,1.0000153,19.362024,50.02364,0.3232769,0.0
41876658,41688732,0.22779787,0.23083407,0.99821454,1.0000168,8.151634,50.833984,0.43166205,0.0
42378706,42191125,0.21389714,0.22835489,0.9992622,1.0000168,6.5894947,51.427364,0.63998085,0.0
42881473,42693519,0.20670137,0.22711179,0.9999682,1.0000019,10.686371,51.785236,1.2361821,0.0
43383708,43195912,0.200981,0.22886586,1.0000063,1.0000188,5.40954,52.360085,2.8493426,0.0
43875969,43688455,0.20493942,0.23269613,1.0000135,0.99994767,-1.5666615,54.870758,8.460035,0.0
44378397,44190849,0.20305741,0.24456294,1.0000024,0.9999022,-2.6815283,50.575565,13.380349,0.0
44880757,44693243,0.21054068,0.26101413,1.0000266,1.0000091,3.530259,50.24135,2.4374852,0.0
45383150,45195637,0.22460882,0.27762014,1.0000145,0.9999881,7.484496,50.941586,0.7460022,0.0
45875753,45688180,0.23532574,0.2979257,1.0000083,0.9999434,13.734704,52.247986,0.3974527,0.0
46378137,46190574,0.24921454,0.31597924,1.0000114,1.0000143,15.847311,54.24798,0.28734306,0.0
46880481,46692969,0.25762883,0.32387733,1.000022,1.0000198,12.217453,56.505543,0.23472194,0.0
47373187,47185513,0.2550147,0.3396681,1.0000142,1.0000002,13.517048,58.699642,0.21526212,0.0
47875496,47687907,0.25545588,0.34294596,1.0000031,1.0000253,20.57698,60.56187,0.21100485,0.0
48378738,48190302,0.24956542,0.34735394,0.99999774,1.0000175,16.998337,61.816303,0.26320693,0.0
48880211,48692697,0.24714874,0.34593222,1.0000086,1.0000207,13.672377,62.518063,0.3762779,0.0
49382628,49195092,0.24138336,0.34602004,1.0000198,1.0000166,8.634091,62.657043,0.5641992,0.0
