timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
29933712,29908807,4028193,176.45674,99223.42,4.3234,1.2455456,2,1
29987763,29965550,4028193,176.77382,99219.67,4.3234,1.2454985,2,1
30160497,30138308,4028193,176.85838,99218.67,4.3234,1.245486,2,1
30333406,30311157,4028193,176.90065,99218.17,4.3234,1.2454798,2,1
30560331,30540826,4028193,176.83723,99218.92,4.3234,1.2454892,2,1
30733277,30713738,4028193,176.96407,99217.42,4.3234,1.2454703,2,1
30971009,30946092,4028193,176.79495,99219.42,4.3234,1.2454956,2,1
31143890,31118989,4028193,176.96407,99217.42,4.421104,1.2450318,2,1
31370694,31348479,4028193,176.9218,99217.92,4.3234,1.2454766,2,1
31543464,31521262,4028193,176.71042,99220.42,4.421104,1.2450696,2,1
31770334,31750840,4028193,176.71042,99220.42,4.421104,1.2450696,2,1
31943091,31923572,4028193,176.5413,99222.42,4.421104,1.2450947,2,1
32180662,32155773,4028193,176.66812,99220.92,4.421104,1.2450758,2,1
32353520,32328621,4028193,176.8161,99219.17,4.421104,1.2450539,2,1
32580365,32558159,4028193,176.5413,99222.42,4.421104,1.2450947,2,1
32753116,32730917,4028193,176.56242,99222.17,4.421104,1.2450916,2,1
32979879,32960376,4028193,176.68927,99220.67,4.421104,1.2450726,2,1
33152682,33133180,4028193,176.52016,99222.67,4.421104,1.2450979,2,1
33325506,33306003,4028193,176.71042,99220.42,4.421104,1.2450696,2,1
33563130,33538225,4028193,176.68927,99220.67,4.421104,1.2450726,2,1
33736140,33711195,4028193,176.22423,99226.17,4.421104,1.2451417,2,1
33962961,33940745,4028193,176.62585,99221.42,4.421104,1.2450821,2,1
34135711,34113513,4028193,176.56242,99222.17,4.421104,1.2450916,2,1
34362507,34343013,4028193,176.64699,99221.17,4.421104,1.2450789,2,1
34535354,34515855,4028193,176.71042,99220.42,4.421104,1.2450696,2,1
34772968,34748031,4028193,176.71042,99220.42,4.3234,1.2455081,2,1
34945711,34920817,4028193,176.56242,99222.17,4.421104,1.2450916,2,1
35172647,35150425,4028193,176.96407,99217.42,4.421104,1.2450318,2,1
